PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,Bojan Bogdanovic (6231040),Bojan Bogdanovic,6231040,3700,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,PG,Shane Larkin (6231024),Shane Larkin,6231024,3700,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,PG,Shelvin Mack (6231016),Shelvin Mack,6231016,3600,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Meyers Leonard (6231091),Meyers Leonard,6231091,3600,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,C,Joffrey Lauvergne (6231081),Joffrey Lauvergne,6231081,3600,Sac@Den 09:00PM ET,Den,
,,,,,,,,,PG,Ty Lawson (6231014),Ty Lawson,6231014,3400,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,C,Kosta Koufos (6231079),Kosta Koufos,6231079,3300,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,SG,Ben McLemore (6231029),Ben McLemore,6231029,3300,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PF,Noah Vonleh (6231076),Noah Vonleh,6231076,3300,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,SG,Markel Brown (6231039),Markel Brown,6231039,3200,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,PG,D.J. Augustin (6231010),D.J. Augustin,6231010,3100,Sac@Den 09:00PM ET,Den,
,,,,,,,,,SF,Chris Johnson (6231050),Chris Johnson,6231050,3100,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Thomas Robinson (6231075),Thomas Robinson,6231075,3100,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,PG,Jason Terry (6231013),Jason Terry,6231013,3000,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SG,Mike Miller (6231025),Mike Miller,6231025,3000,Sac@Den 09:00PM ET,Den,
,,,,,,,,,C,Chris Kaman (6231088),Chris Kaman,6231088,3000,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,SF,Caron Butler (6231042),Caron Butler,6231042,3000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PG,Brian Roberts (6231021),Brian Roberts,6231021,3000,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,SG,James Anderson (6231027),James Anderson,6231027,3000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,C,Jeff Withey (6231085),Jeff Withey,6231085,3000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Seth Curry (6231011),Seth Curry,6231011,3000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PF,Quincy Acy (6231062),Quincy Acy,6231062,3000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PF,Willie Reed (6231074),Willie Reed,6231074,3000,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,C,Tibor Pleiss (6231086),Tibor Pleiss,6231086,3000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Duje Dukan (6231047),Duje Dukan,6231047,3000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,SG,Joe Ingles (6231033),Joe Ingles,6231033,3000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Eric Moreland (6231064),Eric Moreland,6231064,3000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,SF,Pat Connaughton (6231056),Pat Connaughton,6231056,3000,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,SF,K.J. McDaniels (6231052),K.J. McDaniels,6231052,3000,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SF,Sergey Karasev (6231058),Sergey Karasev,6231058,3000,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,SF,Sam Dekker (6231053),Sam Dekker,6231053,3000,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,PF,Montrezl Harrell (6231069),Montrezl Harrell,6231069,3000,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,PG,Danté Exum (6231019),Danté Exum,6231019,3000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Cliff Alexander (6231077),Cliff Alexander,6231077,3000,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,PF,Trey Lyles (6231071),Trey Lyles,6231071,3000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Chris McCullough (6231078),Chris McCullough,6231078,3000,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,SF,Luis Montero (6231059),Luis Montero,6231059,3000,Bkn@Por 10:00PM ET,Por,
