PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,James Harden (6302415),James Harden,6302415,10500,Hou@Tor 06:30PM ET,Hou,
,,,,,,,,,PG,Damian Lillard (6302413),Damian Lillard,6302413,9200,Por@Det 06:00PM ET,Por,
,,,,,,,,,PG,Kyle Lowry (6302401),Kyle Lowry,6302401,8800,Hou@Tor 06:30PM ET,Tor,
,,,,,,,,,C,Hassan Whiteside (6302479),Hassan Whiteside,6302479,8400,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,C,Dwight Howard (6302473),Dwight Howard,6302473,7900,Hou@Tor 06:30PM ET,Hou,
,,,,,,,,,C,Andre Drummond (6302486),Andre Drummond,6302486,7700,Por@Det 06:00PM ET,Det,
,,,,,,,,,SG,DeMar DeRozan (6302416),DeMar DeRozan,6302416,7600,Hou@Tor 06:30PM ET,Tor,
,,,,,,,,,SG,Dwyane Wade (6302419),Dwyane Wade,6302419,7200,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Goran Dragic (6302406),Goran Dragic,6302406,7000,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,C.J. McCollum (6302427),C.J. McCollum,6302427,6900,Por@Det 06:00PM ET,Por,
,,,,,,,,,PF,Chris Bosh (6302460),Chris Bosh,6302460,6700,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Reggie Jackson (6302412),Reggie Jackson,6302412,6600,Por@Det 06:00PM ET,Det,
,,,,,,,,,PG,Ish Smith (6302405),Ish Smith,6302405,6400,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Tobias Harris (6302447),Tobias Harris,6302447,6200,Por@Det 06:00PM ET,Det,
,,,,,,,,,SF,Trevor Ariza (6302431),Trevor Ariza,6302431,6000,Hou@Tor 06:30PM ET,Hou,
,,,,,,,,,SF,Luol Deng (6302440),Luol Deng,6302440,5900,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PF,Nerlens Noel (6302465),Nerlens Noel,6302465,5900,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,C,Jahlil Okafor (6302481),Jahlil Okafor,6302481,5800,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Robert Covington (6302441),Robert Covington,6302441,5700,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Joe Johnson (6302439),Joe Johnson,6302439,5500,Phi@Mia 06:00PM ET,Mia,
