PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF,Carmelo Anthony (6308751),Carmelo Anthony,6308751,8400,NY@Den 09:00PM ET,NY,
,,,,,,,,,PF,Paul Millsap (6308812),Paul Millsap,6308812,8000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PF,Derrick Favors (6308815),Derrick Favors,6308815,7500,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Al Horford (6308866),Al Horford,6308866,7000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,SF,Gordon Hayward (6308750),Gordon Hayward,6308750,6800,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Rudy Gobert (6308871),Rudy Gobert,6308871,6600,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Kristaps Porzingis (6308822),Kristaps Porzingis,6308822,6500,NY@Den 09:00PM ET,NY,
,,,,,,,,,PF,Kenneth Faried (6308819),Kenneth Faried,6308819,6400,NY@Den 09:00PM ET,Den,
,,,,,,,,,SF,Danilo Gallinari (6308754),Danilo Gallinari,6308754,6400,NY@Den 09:00PM ET,Den,
,,,,,,,,,PG,Emmanuel Mudiay (6308637),Emmanuel Mudiay,6308637,6300,NY@Den 09:00PM ET,Den,
,,,,,,,,,C,Nikola Jokic (6308876),Nikola Jokic,6308876,6000,NY@Den 09:00PM ET,Den,
,,,,,,,,,SG,Will Barton (6308698),Will Barton,6308698,5900,NY@Den 09:00PM ET,Den,
,,,,,,,,,C,Robin Lopez (6308873),Robin Lopez,6308873,5800,NY@Den 09:00PM ET,NY,
,,,,,,,,,PG,Jeff Teague (6308627),Jeff Teague,6308627,5700,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,SF,Wilson Chandler (6308752),Wilson Chandler,6308752,5400,NY@Den 09:00PM ET,Den,
,,,,,,,,,SG,Rodney Hood (6308693),Rodney Hood,6308693,5300,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Kent Bazemore (6308748),Kent Bazemore,6308748,5200,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,SG,Gary Harris (6308699),Gary Harris,6308699,5000,NY@Den 09:00PM ET,Den,
,,,,,,,,,PG,Dennis Schroder (6308630),Dennis Schroder,6308630,4600,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,SG,Arron Afflalo (6308696),Arron Afflalo,6308696,4500,NY@Den 09:00PM ET,NY,
,,,,,,,,,PG,Shelvin Mack (6308628),Shelvin Mack,6308628,4300,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Kyle Korver (6308688),Kyle Korver,6308688,4100,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,SG,Alec Burks (6308690),Alec Burks,6308690,4100,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,D.J. Augustin (6308635),D.J. Augustin,6308635,4000,NY@Den 09:00PM ET,Den,
,,,,,,,,,PF,Darrell Arthur (6308818),Darrell Arthur,6308818,3800,NY@Den 09:00PM ET,Den,
,,,,,,,,,PG,Jose Calderon (6308634),Jose Calderon,6308634,3700,NY@Den 09:00PM ET,NY,
,,,,,,,,,SG,Langston Galloway (6308697),Langston Galloway,6308697,3700,NY@Den 09:00PM ET,NY,
,,,,,,,,,PG,Jameer Nelson (6308633),Jameer Nelson,6308633,3500,NY@Den 09:00PM ET,Den,
,,,,,,,,,PF,Trevor Booker (6308813),Trevor Booker,6308813,3500,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Jusuf Nurkic (6308875),Jusuf Nurkic,6308875,3500,NY@Den 09:00PM ET,Den,
,,,,,,,,,SF,Thabo Sefolosha (6308747),Thabo Sefolosha,6308747,3400,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PF,Kris Humphries (6308811),Kris Humphries,6308811,3300,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,SF,Derrick Williams (6308755),Derrick Williams,6308755,3300,NY@Den 09:00PM ET,NY,
,,,,,,,,,PF,Mike Scott (6308814),Mike Scott,6308814,3200,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PG,Trey Burke (6308629),Trey Burke,6308629,3200,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Kyle O'Quinn (6308820),Kyle O'Quinn,6308820,3100,NY@Den 09:00PM ET,NY,
,,,,,,,,,SF,Jakarr Sampson (6308756),Jakarr Sampson,6308756,3100,NY@Den 09:00PM ET,Den,
,,,,,,,,,C,Joffrey Lauvergne (6308874),Joffrey Lauvergne,6308874,3100,NY@Den 09:00PM ET,Den,
,,,,,,,,,SG,Mike Miller (6308694),Mike Miller,6308694,3000,NY@Den 09:00PM ET,Den,
,,,,,,,,,PG,Kirk Hinrich (6308626),Kirk Hinrich,6308626,3000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PF,Louis Amundson (6308817),Louis Amundson,6308817,3000,NY@Den 09:00PM ET,NY,
,,,,,,,,,SG,Sasha Vujacic (6308695),Sasha Vujacic,6308695,3000,NY@Den 09:00PM ET,NY,
,,,,,,,,,SF,Lance Thomas (6308753),Lance Thomas,6308753,3000,NY@Den 09:00PM ET,NY,
,,,,,,,,,C,Tiago Splitter (6308867),Tiago Splitter,6308867,3000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,C,Jeff Withey (6308868),Jeff Withey,6308868,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Chris Johnson (6308749),Chris Johnson,6308749,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Lamar Patterson (6308689),Lamar Patterson,6308689,3000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,C,Mike Muscala (6308869),Mike Muscala,6308869,3000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PF,Kevin Seraphin (6308821),Kevin Seraphin,6308821,3000,NY@Den 09:00PM ET,NY,
,,,,,,,,,C,Tibor Pleiss (6308870),Tibor Pleiss,6308870,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Tim Hardaway Jr. (6308691),Tim Hardaway Jr.,6308691,3000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PG,Jerian Grant (6308636),Jerian Grant,6308636,3000,NY@Den 09:00PM ET,NY,
,,,,,,,,,SG,Joe Ingles (6308692),Joe Ingles,6308692,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Cleanthony Early (6308757),Cleanthony Early,6308757,3000,NY@Den 09:00PM ET,NY,
,,,,,,,,,PG,Raul Neto (6308631),Raul Neto,6308631,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Danté Exum (6308632),Danté Exum,6308632,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Walter Tavares (6308872),Walter Tavares,6308872,3000,Atl@Uta 09:00PM ET,Atl,
,,,,,,,,,PF,Trey Lyles (6308816),Trey Lyles,6308816,3000,Atl@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Axel Toupane (6308758),Axel Toupane,6308758,3000,NY@Den 09:00PM ET,Den,
