C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,D,Kevin Shattenkirk (6197629),Kevin Shattenkirk,6197629,6500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Wayne Simmonds (6197468),Wayne Simmonds,6197468,6500,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,G,Linus Ullmark (6197691),Linus Ullmark,6197691,6500,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,G,Peter Budaj (6197667),Peter Budaj,6197667,6400,LA@Was 07:00PM ET,LA,
,,,,,,,,,,D,Dustin Byfuglien (6197566),Dustin Byfuglien,6197566,6400,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,G,Anton Forsberg (6197684),Anton Forsberg,6197684,6400,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,LW,Alexander Steen (6197448),Alexander Steen,6197448,6300,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Anze Kopitar (6197308),Anze Kopitar,6197308,6300,LA@Was 07:00PM ET,LA,
,,,,,,,,,,RW,Jakub Voracek (6197466),Jakub Voracek,6197466,6300,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,C,Logan Couture (6197358),Logan Couture,6197358,6300,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,G,Anton Khudobin (6197706),Anton Khudobin,6197706,6300,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,LW,Evander Kane (6197434),Evander Kane,6197434,6300,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,G,Michael Hutchinson (6197677),Michael Hutchinson,6197677,6300,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,C,Evgeny Kuznetsov (6197315),Evgeny Kuznetsov,6197315,6300,LA@Was 07:00PM ET,Was,
,,,,,,,,,,D,John Klingberg (6197637),John Klingberg,6197637,6300,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Corey Perry (6197523),Corey Perry,6197523,6200,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Drew Doughty (6197553),Drew Doughty,6197553,6200,LA@Was 07:00PM ET,LA,
,,,,,,,,,,D,Justin Faulk (6197573),Justin Faulk,6197573,6200,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,G,Daniel Altshuller (6197679),Daniel Altshuller,6197679,6200,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,G,Chris Driedger (6197690),Chris Driedger,6197690,6200,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,D,John Carlson (6197555),John Carlson,6197555,6100,LA@Was 07:00PM ET,Was,
