PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,DeMarcus Cousins (6135360),DeMarcus Cousins,6135360,11100,Chi@Sac 10:00PM ET,Sac,
,,,,,,,,,PG,Russell Westbrook (6135208),Russell Westbrook,6135208,11000,Orl@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Stephen Curry (6135191),Stephen Curry,6135191,10700,GS@Was 08:00PM ET,GS,
,,,,,,,,,SF,Kevin Durant (6135340),Kevin Durant,6135340,10400,Orl@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,LeBron James (6135330),LeBron James,6135330,9700,Cle@Cha 07:00PM ET,Cle,
,,,,,,,,,PG,Chris Paul (6135169),Chris Paul,6135169,9600,Min@LAC 10:30PM ET,LAC,
,,,,,,,,,PF,Anthony Davis (6135351),Anthony Davis,6135351,9500,NO@SA 08:30PM ET,NO,
,,,,,,,,,PG,John Wall (6135192),John Wall,6135192,9300,GS@Was 08:00PM ET,Was,
,,,,,,,,,PF,Draymond Green (6135393),Draymond Green,6135393,9000,GS@Was 08:00PM ET,GS,
,,,,,,,,,SG,Jimmy Butler (6135229),Jimmy Butler,6135229,8800,Chi@Sac 10:00PM ET,Chi,
,,,,,,,,,C,Pau Gasol (6135424),Pau Gasol,6135424,8700,Chi@Sac 10:00PM ET,Chi,
,,,,,,,,,PF,Blake Griffin (6135373),Blake Griffin,6135373,8600,Min@LAC 10:30PM ET,LAC,
,,,,,,,,,C,Andre Drummond (6135445),Andre Drummond,6135445,8600,Det@Bos 07:30PM ET,Det,
,,,,,,,,,PG,Kemba Walker (6135196),Kemba Walker,6135196,8500,Cle@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,Paul George (6135293),Paul George,6135293,8500,Ind@Bkn 07:30PM ET,Ind,
,,,,,,,,,PG,Rajon Rondo (6135157),Rajon Rondo,6135157,8400,Chi@Sac 10:00PM ET,Sac,
,,,,,,,,,C,Karl-Anthony Towns (6135440),Karl-Anthony Towns,6135440,8200,Min@LAC 10:30PM ET,Min,
,,,,,,,,,PF,Paul Millsap (6135365),Paul Millsap,6135365,8100,Atl@Phi 07:00PM ET,Atl,
,,,,,,,,,SF,Kawhi Leonard (6135287),Kawhi Leonard,6135287,8000,NO@SA 08:30PM ET,SA,
,,,,,,,,,C,DeAndre Jordan (6135436),DeAndre Jordan,6135436,7900,Min@LAC 10:30PM ET,LAC,
,,,,,,,,,PF,Chris Bosh (6135402),Chris Bosh,6135402,7700,Mia@Dal 08:30PM ET,Mia,
,,,,,,,,,PF,Kevin Love (6135398),Kevin Love,6135398,7600,Cle@Cha 07:00PM ET,Cle,
,,,,,,,,,C,Brook Lopez (6135420),Brook Lopez,6135420,7500,Ind@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PG,Isaiah Thomas (6135175),Isaiah Thomas,6135175,7500,Det@Bos 07:30PM ET,Bos,
,,,,,,,,,SG,Klay Thompson (6135261),Klay Thompson,6135261,7500,GS@Was 08:00PM ET,GS,
,,,,,,,,,SF,Gordon Hayward (6135323),Gordon Hayward,6135323,7500,Den@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Nikola Vucevic (6135470),Nikola Vucevic,6135470,7400,Orl@OKC 08:00PM ET,Orl,
,,,,,,,,,C,Hassan Whiteside (6135467),Hassan Whiteside,6135467,7400,Mia@Dal 08:30PM ET,Mia,
,,,,,,,,,SG,Dwyane Wade (6135270),Dwyane Wade,6135270,7300,Mia@Dal 08:30PM ET,Mia,
,,,,,,,,,SF,Rudy Gay (6135299),Rudy Gay,6135299,7200,Chi@Sac 10:00PM ET,Sac,
,,,,,,,,,PG,Ish Smith (6135161),Ish Smith,6135161,7100,Atl@Phi 07:00PM ET,Phi,
,,,,,,,,,PF,LaMarcus Aldridge (6135349),LaMarcus Aldridge,6135349,7000,NO@SA 08:30PM ET,SA,
,,,,,,,,,PG,Jrue Holiday (6135149),Jrue Holiday,6135149,7000,NO@SA 08:30PM ET,NO,
,,,,,,,,,SG,Monta Ellis (6135220),Monta Ellis,6135220,6900,Ind@Bkn 07:30PM ET,Ind,
,,,,,,,,,SG,Tyreke Evans (6135217),Tyreke Evans,6135217,6900,NO@SA 08:30PM ET,NO,
,,,,,,,,,PF,Derrick Favors (6135387),Derrick Favors,6135387,6900,Den@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Rudy Gobert (6135448),Rudy Gobert,6135448,6900,Den@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Chandler Parsons (6135336),Chandler Parsons,6135336,6800,Mia@Dal 08:30PM ET,Dal,
,,,,,,,,,SF,Danilo Gallinari (6135321),Danilo Gallinari,6135321,6800,Den@Uta 09:00PM ET,Den,
,,,,,,,,,PG,Reggie Jackson (6135176),Reggie Jackson,6135176,6800,Det@Bos 07:30PM ET,Det,
,,,,,,,,,PG,Kyrie Irving (6135199),Kyrie Irving,6135199,6800,Cle@Cha 07:00PM ET,Cle,
,,,,,,,,,PF,Nerlens Noel (6135369),Nerlens Noel,6135369,6800,Atl@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Marcin Gortat (6135453),Marcin Gortat,6135453,6700,GS@Was 08:00PM ET,Was,
,,,,,,,,,C,Al Horford (6135430),Al Horford,6135430,6600,Atl@Phi 07:00PM ET,Atl,
,,,,,,,,,SF,Nicolas Batum (6135331),Nicolas Batum,6135331,6600,Cle@Cha 07:00PM ET,Cha,
,,,,,,,,,PG,Ricky Rubio (6135170),Ricky Rubio,6135170,6500,Min@LAC 10:30PM ET,Min,
,,,,,,,,,SG,Victor Oladipo (6135280),Victor Oladipo,6135280,6500,Orl@OKC 08:00PM ET,Orl,
,,,,,,,,,PF,Ryan Anderson (6135350),Ryan Anderson,6135350,6400,NO@SA 08:30PM ET,NO,
,,,,,,,,,PG,Jarrett Jack (6135151),Jarrett Jack,6135151,6300,Ind@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Andrew Wiggins (6135242),Andrew Wiggins,6135242,6300,Min@LAC 10:30PM ET,Min,
,,,,,,,,,C,Myles Turner (6135423),Myles Turner,6135423,6300,Ind@Bkn 07:30PM ET,Ind,
,,,,,,,,,SF,Robert Covington (6135306),Robert Covington,6135306,6200,Atl@Phi 07:00PM ET,Phi,
,,,,,,,,,PF,Dirk Nowitzki (6135400),Dirk Nowitzki,6135400,6100,Mia@Dal 08:30PM ET,Dal,
,,,,,,,,,PF,Thaddeus Young (6135352),Thaddeus Young,6135352,6100,Ind@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Bradley Beal (6135264),Bradley Beal,6135264,6100,GS@Was 08:00PM ET,Was,
,,,,,,,,,C,Jahlil Okafor (6135435),Jahlil Okafor,6135435,6100,Atl@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Zaza Pachulia (6135465),Zaza Pachulia,6135465,6000,Mia@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,Derrick Rose (6135159),Derrick Rose,6135159,6000,Chi@Sac 10:00PM ET,Chi,
,,,,,,,,,SF,Jae Crowder (6135318),Jae Crowder,6135318,6000,Det@Bos 07:30PM ET,Bos,
,,,,,,,,,SF,Tobias Harris (6135343),Tobias Harris,6135343,6000,Orl@OKC 08:00PM ET,Orl,
,,,,,,,,,SG,Rodney Hood (6135255),Rodney Hood,6135255,6000,Den@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Jeff Teague (6135162),Jeff Teague,6135162,5900,Atl@Phi 07:00PM ET,Atl,
,,,,,,,,,PG,Norris Cole (6135147),Norris Cole,6135147,5800,NO@SA 08:30PM ET,NO,
,,,,,,,,,PF,Serge Ibaka (6135410),Serge Ibaka,6135410,5800,Orl@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Deron Williams (6135202),Deron Williams,6135202,5700,Mia@Dal 08:30PM ET,Dal,
,,,,,,,,,C,Al Jefferson (6135457),Al Jefferson,6135457,5700,Cle@Cha 07:00PM ET,Cha,
,,,,,,,,,PF,Kenneth Faried (6135386),Kenneth Faried,6135386,5700,Den@Uta 09:00PM ET,Den,
,,,,,,,,,SG,Avery Bradley (6135245),Avery Bradley,6135245,5700,Det@Bos 07:30PM ET,Bos,
,,,,,,,,,SG,Will Barton (6135253),Will Barton,6135253,5700,Den@Uta 09:00PM ET,Den,
,,,,,,,,,C,Gorgui Dieng (6135439),Gorgui Dieng,6135439,5700,Min@LAC 10:30PM ET,Min,
,,,,,,,,,SF,Otto Porter (6135327),Otto Porter,6135327,5700,GS@Was 08:00PM ET,Was,
,,,,,,,,,C,Nikola Jokic (6135451),Nikola Jokic,6135451,5700,Den@Uta 09:00PM ET,Den,
,,,,,,,,,PF,Marvin Williams (6135396),Marvin Williams,6135396,5600,Cle@Cha 07:00PM ET,Cha,
,,,,,,,,,PF,Taj Gibson (6135358),Taj Gibson,6135358,5600,Chi@Sac 10:00PM ET,Chi,
,,,,,,,,,SF,Omri Casspi (6135300),Omri Casspi,6135300,5600,Chi@Sac 10:00PM ET,Sac,
,,,,,,,,,SG,Kentavious Caldwell-Pope (6135247),Kentavious Caldwell-Pope,6135247,5600,Det@Bos 07:30PM ET,Det,
