PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF,P.J. Tucker (6123721),P.J. Tucker,6123721,5300,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PF,Nikola Mirotic (6123751),Nikola Mirotic,6123751,5300,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,PF,Marvin Williams (6123742),Marvin Williams,6123742,5200,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,C,Spencer Hawes (6123788),Spencer Hawes,6123788,5200,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,SF,Derrick Williams (6123717),Derrick Williams,6123717,5200,GS@NY 07:30PM ET,NY,
,,,,,,,,,PG,Marcus Smart (6123631),Marcus Smart,6123631,5200,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,PG,Zach LaVine (6123647),Zach LaVine,6123647,5200,Min@Por 09:00PM ET,Min,
,,,,,,,,,SG,J.J. Redick (6123662),J.J. Redick,6123662,5100,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,SG,Arron Afflalo (6123675),Arron Afflalo,6123675,5100,GS@NY 07:30PM ET,NY,
,,,,,,,,,PF,Amir Johnson (6123756),Amir Johnson,6123756,5100,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,SF,Aaron Gordon (6123713),Aaron Gordon,6123713,5100,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,C,Kelly Olynyk (6123800),Kelly Olynyk,6123800,5000,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,C,Gorgui Dieng (6123816),Gorgui Dieng,6123816,5000,Min@Por 09:00PM ET,Min,
,,,,,,,,,C,Cody Zeller (6123791),Cody Zeller,6123791,5000,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,C,Alex Len (6123811),Alex Len,6123811,5000,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,SG,Evan Fournier (6123670),Evan Fournier,6123670,5000,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PG,Dennis Schroder (6123612),Dennis Schroder,6123612,5000,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,PG,D'Angelo Russell (6123620),D'Angelo Russell,6123620,5000,Cha@LAL 09:30PM ET,LAL,
