PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Stephen Curry (6268897),Stephen Curry,6268897,10900,Atl@GS 10:30PM ET,GS,
,,,,,,,,,PF,Draymond Green (6268930),Draymond Green,6268930,8600,Atl@GS 10:30PM ET,GS,
,,,,,,,,,PF,Paul Millsap (6268928),Paul Millsap,6268928,7800,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,SG,Klay Thompson (6268908),Klay Thompson,6268908,7600,Atl@GS 10:30PM ET,GS,
,,,,,,,,,C,Brook Lopez (6268949),Brook Lopez,6268949,7500,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,C,Al Horford (6268942),Al Horford,6268942,7300,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,PF,Thaddeus Young (6268934),Thaddeus Young,6268934,6900,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,PG,Jarrett Jack (6268900),Jarrett Jack,6268900,6300,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,PF,Julius Randle (6268938),Julius Randle,6268938,6200,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Jeff Teague (6268898),Jeff Teague,6268898,6100,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,PG,Jordan Clarkson (6268902),Jordan Clarkson,6268902,6000,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,SG,Kobe Bryant (6268912),Kobe Bryant,6268912,5700,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,D'Angelo Russell (6268905),D'Angelo Russell,6268905,5600,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Donald Sloan (6268901),Donald Sloan,6268901,5100,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,SF,Kent Bazemore (6268922),Kent Bazemore,6268922,5100,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,PG,Dennis Schroder (6268899),Dennis Schroder,6268899,5000,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,SG,Lou Williams (6268914),Lou Williams,6268914,4800,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Harrison Barnes (6268923),Harrison Barnes,6268923,4800,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Rondae Hollis-Jefferson (6268919),Rondae Hollis-Jefferson,6268919,4600,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,SG,Kyle Korver (6268906),Kyle Korver,6268906,4400,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,C,Andrew Bogut (6268940),Andrew Bogut,6268940,4400,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SF,Andre Iguodala (6268920),Andre Iguodala,6268920,4200,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Bojan Bogdanovic (6268918),Bojan Bogdanovic,6268918,4200,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,SG,Wayne Ellington (6268915),Wayne Ellington,6268915,4100,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,PF,Brandon Bass (6268933),Brandon Bass,6268933,3800,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Thabo Sefolosha (6268921),Thabo Sefolosha,6268921,3700,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,C,Festus Ezeli (6268945),Festus Ezeli,6268945,3700,Atl@GS 10:30PM ET,GS,
,,,,,,,,,PG,Shane Larkin (6268904),Shane Larkin,6268904,3600,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,PG,Shaun Livingston (6268896),Shaun Livingston,6268896,3500,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Markel Brown (6268917),Markel Brown,6268917,3500,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,PF,Larry Nance Jr. (6268937),Larry Nance Jr.,6268937,3500,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,C,Roy Hibbert (6268948),Roy Hibbert,6268948,3400,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Mike Scott (6268929),Mike Scott,6268929,3400,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,SG,Nick Young (6268913),Nick Young,6268913,3200,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,C,Marreese Speights (6268943),Marreese Speights,6268943,3200,Atl@GS 10:30PM ET,GS,
,,,,,,,,,C,Tarik Black (6268951),Tarik Black,6268951,3200,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Leandro Barbosa (6268895),Leandro Barbosa,6268895,3100,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Brandon Rush (6268907),Brandon Rush,6268907,3100,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Tim Hardaway Jr. (6268911),Tim Hardaway Jr.,6268911,3100,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,SF,Anthony Brown (6268926),Anthony Brown,6268926,3100,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Metta World Peace (6268924),Metta World Peace,6268924,3000,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Kirk Hinrich (6268894),Kirk Hinrich,6268894,3000,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,C,Anderson Varejao (6268941),Anderson Varejao,6268941,3000,Atl@GS 10:30PM ET,GS,
,,,,,,,,,C,Tiago Splitter (6268944),Tiago Splitter,6268944,3000,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,C,Robert Sacre (6268950),Robert Sacre,6268950,3000,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Willie Reed (6268935),Willie Reed,6268935,3000,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,SG,Ian Clark (6268909),Ian Clark,6268909,3000,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Lamar Patterson (6268910),Lamar Patterson,6268910,3000,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,SF,Ryan Kelly (6268925),Ryan Kelly,6268925,3000,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,SG,Sean Kilpatrick (6268916),Sean Kilpatrick,6268916,3000,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,PF,Thomas Robinson (6268936),Thomas Robinson,6268936,3000,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,C,Mike Muscala (6268946),Mike Muscala,6268946,3000,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,PG,Marcelo Huertas (6268903),Marcelo Huertas,6268903,3000,Bkn@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,James Michael McAdoo (6268931),James Michael McAdoo,6268931,3000,Atl@GS 10:30PM ET,GS,
,,,,,,,,,SF,Sergey Karasev (6268927),Sergey Karasev,6268927,3000,Bkn@LAL 10:30PM ET,Bkn,
,,,,,,,,,C,Walter Tavares (6268947),Walter Tavares,6268947,3000,Atl@GS 10:30PM ET,Atl,
,,,,,,,,,PF,Kevon Looney (6268932),Kevon Looney,6268932,3000,Atl@GS 10:30PM ET,GS,
,,,,,,,,,PF,Chris McCullough (6268939),Chris McCullough,6268939,3000,Bkn@LAL 10:30PM ET,Bkn,
