PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,James Harden (6141889),James Harden,6141889,10800,Hou@Pho 09:00PM ET,Hou,
,,,,,,,,,PF,Anthony Davis (6141952),Anthony Davis,6141952,10000,LAL@NO 09:30PM ET,NO,
,,,,,,,,,PG,Damian Lillard (6141867),Damian Lillard,6141867,8900,Tor@Por 10:00PM ET,Por,
,,,,,,,,,PG,Kyle Lowry (6141866),Kyle Lowry,6141866,8700,Tor@Por 10:00PM ET,Tor,
,,,,,,,,,SG,Eric Bledsoe (6141890),Eric Bledsoe,6141890,8300,Hou@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,DeMar DeRozan (6141895),DeMar DeRozan,6141895,8000,Tor@Por 10:00PM ET,Tor,
,,,,,,,,,C,Dwight Howard (6141984),Dwight Howard,6141984,7400,Hou@Pho 09:00PM ET,Hou,
,,,,,,,,,PG,Jrue Holiday (6141857),Jrue Holiday,6141857,7200,LAL@NO 09:30PM ET,NO,
,,,,,,,,,PG,Brandon Knight (6141865),Brandon Knight,6141865,7200,Hou@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,C.J. McCollum (6141896),C.J. McCollum,6141896,7000,Tor@Por 10:00PM ET,Por,
,,,,,,,,,SG,Tyreke Evans (6141886),Tyreke Evans,6141886,6900,LAL@NO 09:30PM ET,NO,
,,,,,,,,,PF,Julius Randle (6141954),Julius Randle,6141954,6700,LAL@NO 09:30PM ET,LAL,
,,,,,,,,,PF,Ryan Anderson (6141951),Ryan Anderson,6141951,6400,LAL@NO 09:30PM ET,NO,
,,,,,,,,,SF,Trevor Ariza (6141920),Trevor Ariza,6141920,6200,Hou@Pho 09:00PM ET,Hou,
,,,,,,,,,C,Jonas Valanciunas (6141989),Jonas Valanciunas,6141989,6100,Tor@Por 10:00PM ET,Tor,
,,,,,,,,,SG,Devin Booker (6141893),Devin Booker,6141893,6000,Hou@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Kobe Bryant (6141882),Kobe Bryant,6141882,5900,LAL@NO 09:30PM ET,LAL,
,,,,,,,,,SG,Archie Goodwin (6141892),Archie Goodwin,6141892,5900,Hou@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Lou Williams (6141884),Lou Williams,6141884,5800,LAL@NO 09:30PM ET,LAL,
,,,,,,,,,PG,Norris Cole (6141856),Norris Cole,6141856,5800,LAL@NO 09:30PM ET,NO,
,,,,,,,,,PF,Markieff Morris (6141957),Markieff Morris,6141957,5700,Hou@Pho 09:00PM ET,Pho,
,,,,,,,,,PG,Jordan Clarkson (6141858),Jordan Clarkson,6141858,5500,LAL@NO 09:30PM ET,LAL,
,,,,,,,,,PF,Clint Capela (6141961),Clint Capela,6141961,5500,Hou@Pho 09:00PM ET,Hou,
,,,,,,,,,SF,P.J. Tucker (6141919),P.J. Tucker,6141919,5400,Hou@Pho 09:00PM ET,Pho,
,,,,,,,,,C,Mason Plumlee (6141987),Mason Plumlee,6141987,5300,Tor@Por 10:00PM ET,Por,
,,,,,,,,,SF,Al-Farouq Aminu (6141929),Al-Farouq Aminu,6141929,5200,Tor@Por 10:00PM ET,Por,
,,,,,,,,,PG,Patrick Beverley (6141864),Patrick Beverley,6141864,4900,Hou@Pho 09:00PM ET,Hou,
,,,,,,,,,PF,Josh Smith (6141955),Josh Smith,6141955,4800,Hou@Pho 09:00PM ET,Hou,
,,,,,,,,,SF,DeMarre Carroll (6141927),DeMarre Carroll,6141927,4800,Tor@Por 10:00PM ET,Tor,
