C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Karri Ramo (6207572),Karri Ramo,6207572,7500,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,G,Steve Mason (6207566),Steve Mason,6207566,7500,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,G,Michal Neuvirth (6207567),Michal Neuvirth,6207567,7300,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,G,Ryan Miller (6207571),Ryan Miller,6207571,7100,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,G,Carey Price (6207565),Carey Price,6207565,7000,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,LW,Johnny Gaudreau (6207511),Johnny Gaudreau,6207511,7000,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,G,Mike Condon (6207570),Mike Condon,6207570,7000,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,LW,Max Pacioretty (6207500),Max Pacioretty,6207500,6900,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,G,Ben Scrivens (6207568),Ben Scrivens,6207568,6900,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,G,Jacob Markstrom (6207575),Jacob Markstrom,6207575,6900,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,C,Claude Giroux (6207474),Claude Giroux,6207474,6800,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,G,Jonas Hiller (6207573),Jonas Hiller,6207573,6800,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,D,Mark Giordano (6207551),Mark Giordano,6207551,6600,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,RW,Wayne Simmonds (6207515),Wayne Simmonds,6207515,6600,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,G,Richard Bachman (6207574),Richard Bachman,6207574,6500,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,G,Joni Ortio (6207576),Joni Ortio,6207576,6500,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,LW,Daniel Sedin (6207506),Daniel Sedin,6207506,6300,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,RW,Jakub Voracek (6207513),Jakub Voracek,6207513,6300,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,D,P.K. Subban (6207538),P.K. Subban,6207538,6200,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,G,Jason LaBarbera (6207564),Jason LaBarbera,6207564,6000,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,RW,Brendan Gallagher (6207518),Brendan Gallagher,6207518,6000,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,G,Joe Cannata (6207577),Joe Cannata,6207577,6000,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,G,Anthony Stolarz (6207569),Anthony Stolarz,6207569,6000,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,G,Jon Gillies (6207578),Jon Gillies,6207578,6000,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,C,Sean Monahan (6207494),Sean Monahan,6207494,5900,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,D,Shayne Gostisbehere (6207546),Shayne Gostisbehere,6207546,5600,Phi@Mon 07:30PM ET,Phi,
,,,,,,,,,,C,Tomas Plekanec (6207472),Tomas Plekanec,6207472,5100,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,C,Henrik Sedin (6207487),Henrik Sedin,6207487,5000,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,D,Alexander Edler (6207554),Alexander Edler,6207554,5000,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,D,Dougie Hamilton (6207561),Dougie Hamilton,6207561,4900,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,RW,Radim Vrbata (6207521),Radim Vrbata,6207521,4700,Van@Cgy 09:00PM ET,Van,
,,,,,,,,,,D,T.J. Brodie (6207557),T.J. Brodie,6207557,4700,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,C,Alex Galchenyuk (6207485),Alex Galchenyuk,6207485,4700,Phi@Mon 07:30PM ET,Mon,
,,,,,,,,,,D,Dennis Wideman (6207550),Dennis Wideman,6207550,4500,Van@Cgy 09:00PM ET,Cgy,
,,,,,,,,,,D,Kris Russell (6207553),Kris Russell,6207553,4500,Van@Cgy 09:00PM ET,Cgy,
