C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,D,Brent Burns (6187716),Brent Burns,6187716,8200,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,C,Joe Pavelski (6187658),Joe Pavelski,6187658,7800,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,G,Cam Talbot (6187731),Cam Talbot,6187731,7300,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,G,Martin Jones (6187736),Martin Jones,6187736,7200,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,G,Connor Hellebuyck (6187734),Connor Hellebuyck,6187734,7200,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,RW,Blake Wheeler (6187678),Blake Wheeler,6187678,6900,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Connor McDavid (6187650),Connor McDavid,6187650,6900,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,LW,Taylor Hall (6187668),Taylor Hall,6187668,6700,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,G,Alex Stalock (6187737),Alex Stalock,6187737,6600,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,G,Louis Domingue (6187739),Louis Domingue,6187739,6600,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Dustin Byfuglien (6187699),Dustin Byfuglien,6187699,6500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,G,Ondrej Pavelec (6187730),Ondrej Pavelec,6187730,6500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,G,Anders Lindback (6187738),Anders Lindback,6187738,6400,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,G,Mike Smith (6187735),Mike Smith,6187735,6300,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,C,Logan Couture (6187659),Logan Couture,6187659,6300,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,G,Michael Hutchinson (6187732),Michael Hutchinson,6187732,6300,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Oliver Ekman-Larsson (6187720),Oliver Ekman-Larsson,6187720,6000,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,G,Laurent Brossoit (6187733),Laurent Brossoit,6187733,6000,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,G,Troy Grosenick (6187740),Troy Grosenick,6187740,6000,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,LW,Patrick Marleau (6187669),Patrick Marleau,6187669,5800,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,Jordan Eberle (6187681),Jordan Eberle,6187681,5700,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Joe Thornton (6187652),Joe Thornton,6187652,5400,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,C,Bryan Little (6187640),Bryan Little,6187640,5400,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Mark Scheifele (6187646),Mark Scheifele,6187646,5300,Wpg@Edm 10:00PM ET,Wpg,
