PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,DeMarcus Cousins (6302968),DeMarcus Cousins,6302968,10200,Sac@NO 08:00PM ET,Sac,
,,,,,,,,,PF,Anthony Davis (6302970),Anthony Davis,6302970,10000,Sac@NO 08:00PM ET,NO,
,,,,,,,,,SG,Jimmy Butler (6302826),Jimmy Butler,6302826,8400,Mil@Chi 08:00PM ET,Chi,
,,,,,,,,,C,Pau Gasol (6303022),Pau Gasol,6303022,8300,Mil@Chi 08:00PM ET,Chi,
,,,,,,,,,SF,Giannis Antetokounmpo (6302893),Giannis Antetokounmpo,6302893,8200,Mil@Chi 08:00PM ET,Mil,
,,,,,,,,,PG,Rajon Rondo (6302766),Rajon Rondo,6302766,8000,Sac@NO 08:00PM ET,Sac,
,,,,,,,,,PG,Jrue Holiday (6302770),Jrue Holiday,6302770,7700,Sac@NO 08:00PM ET,NO,
,,,,,,,,,SG,Khris Middleton (6302827),Khris Middleton,6302827,7500,Mil@Chi 08:00PM ET,Mil,
,,,,,,,,,SG,Tyreke Evans (6302832),Tyreke Evans,6302832,6700,Sac@NO 08:00PM ET,NO,
,,,,,,,,,PG,Derrick Rose (6302763),Derrick Rose,6302763,6600,Mil@Chi 08:00PM ET,Chi,
,,,,,,,,,PF,Jabari Parker (6302965),Jabari Parker,6302965,6500,Mil@Chi 08:00PM ET,Mil,
,,,,,,,,,C,Greg Monroe (6303025),Greg Monroe,6303025,6300,Mil@Chi 08:00PM ET,Mil,
,,,,,,,,,SF,Rudy Gay (6302896),Rudy Gay,6302896,5900,Sac@NO 08:00PM ET,Sac,
,,,,,,,,,PF,Ryan Anderson (6302966),Ryan Anderson,6302966,5500,Sac@NO 08:00PM ET,NO,
