PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,Josh McRoberts (6302201),Josh McRoberts,6302201,3500,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PF,Richaun Holmes (6302202),Richaun Holmes,6302202,3500,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,C,Jusuf Nurkic (6302226),Jusuf Nurkic,6302226,3500,Dal@Den 05:00PM ET,Den,
,,,,,,,,,SG,Gerald Green (6302162),Gerald Green,6302162,3400,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Allen Crabbe (6302175),Allen Crabbe,6302175,3400,Por@Det 06:00PM ET,Por,
,,,,,,,,,C,Meyers Leonard (6302231),Meyers Leonard,6302231,3300,Por@Det 06:00PM ET,Por,
,,,,,,,,,PG,T.J. McConnell (6302148),T.J. McConnell,6302148,3300,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SG,Nik Stauskas (6302166),Nik Stauskas,6302166,3300,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,C,Joffrey Lauvergne (6302225),Joffrey Lauvergne,6302225,3200,Dal@Den 05:00PM ET,Den,
,,,,,,,,,SF,Reggie Bullock (6302192),Reggie Bullock,6302192,3100,Por@Det 06:00PM ET,Det,
,,,,,,,,,SF,Jakarr Sampson (6302187),Jakarr Sampson,6302187,3100,Dal@Den 05:00PM ET,Den,
,,,,,,,,,C,Elton Brand (6302217),Elton Brand,6302217,3000,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SG,Mike Miller (6302167),Mike Miller,6302167,3000,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PG,Steve Blake (6302156),Steve Blake,6302156,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,C,Chris Kaman (6302228),Chris Kaman,6302228,3000,Por@Det 06:00PM ET,Por,
,,,,,,,,,PG,Devin Harris (6302151),Devin Harris,6302151,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PF,Udonis Haslem (6302199),Udonis Haslem,6302199,3000,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PF,Charlie Villanueva (6302207),Charlie Villanueva,6302207,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PF,Carl Landry (6302200),Carl Landry,6302200,3000,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,PG,Brian Roberts (6302157),Brian Roberts,6302157,3000,Por@Det 06:00PM ET,Por,
,,,,,,,,,PF,Joel Anthony (6302212),Joel Anthony,6302212,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,C,Aron Baynes (6302229),Aron Baynes,6302229,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,SG,Jodie Meeks (6302172),Jodie Meeks,6302172,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,C,JaVale McGee (6302223),JaVale McGee,6302223,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Jeremy Evans (6302184),Jeremy Evans,6302184,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PF,Justin Harper (6302213),Justin Harper,6302213,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,PF,Dwight Powell (6302210),Dwight Powell,6302210,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PG,Kendall Marshall (6302149),Kendall Marshall,6302149,3000,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,C,Salah Mejri (6302224),Salah Mejri,6302224,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Pat Connaughton (6302194),Pat Connaughton,6302194,3000,Por@Det 06:00PM ET,Por,
,,,,,,,,,SG,Darrun Hilliard (6302176),Darrun Hilliard,6302176,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,PG,Spencer Dinwiddie (6302160),Spencer Dinwiddie,6302160,3000,Por@Det 06:00PM ET,Det,
,,,,,,,,,SF,Justin Anderson (6302188),Justin Anderson,6302188,3000,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PF,Christian Wood (6302204),Christian Wood,6302204,3000,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,PF,Noah Vonleh (6302215),Noah Vonleh,6302215,3000,Por@Det 06:00PM ET,Por,
,,,,,,,,,C,Joel Embiid (6302220),Joel Embiid,6302220,3000,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,PF,Cliff Alexander (6302216),Cliff Alexander,6302216,3000,Por@Det 06:00PM ET,Por,
,,,,,,,,,SF,Luis Montero (6302197),Luis Montero,6302197,3000,Por@Det 06:00PM ET,Por,
,,,,,,,,,SF,Axel Toupane (6302189),Axel Toupane,6302189,3000,Dal@Den 05:00PM ET,Den,
