PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF,Ryan Kelly (6290527),Ryan Kelly,6290527,3000,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,SG,Sean Kilpatrick (6290518),Sean Kilpatrick,6290518,3000,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,PF,Thomas Robinson (6290543),Thomas Robinson,6290543,3000,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,C,Mike Muscala (6290549),Mike Muscala,6290549,3000,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,SG,Tim Hardaway Jr. (6290515),Tim Hardaway Jr.,6290515,3000,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,SF,Anthony Brown (6290528),Anthony Brown,6290528,3000,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Marcelo Huertas (6290501),Marcelo Huertas,6290501,3000,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Sergey Karasev (6290532),Sergey Karasev,6290532,3000,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,C,Walter Tavares (6290551),Walter Tavares,6290551,3000,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,PF,Chris McCullough (6290544),Chris McCullough,6290544,3000,Bkn@Den 09:00PM ET,Bkn,
