C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RW,Ales Hemsky (6198358),Ales Hemsky,6198358,3700,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Jay Bouwmeester (6198375),Jay Bouwmeester,6198375,3600,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Troy Brouwer (6198360),Troy Brouwer,6198360,3600,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Patrik Berglund (6198317),Patrik Berglund,6198317,3600,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Cody Eakin (6198321),Cody Eakin,6198321,3600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Nail Yakupov (6198374),Nail Yakupov,6198374,3600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Justin Schultz (6198406),Justin Schultz,6198406,3600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Johnny Oduya (6198377),Johnny Oduya,6198377,3500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Jori Lehtera (6198320),Jori Lehtera,6198320,3500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Valeri Nichushkin (6198365),Valeri Nichushkin,6198365,3500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Mattias Janmark (6198326),Mattias Janmark,6198326,3500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Robby Fabbri (6198327),Robby Fabbri,6198327,3500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Kevin Bieksa (6198393),Kevin Bieksa,6198393,3400,Anh@Edm 09:00PM ET,Anh,
