C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,LW,Alex Ovechkin (6213817),Alex Ovechkin,6213817,9000,NJ@Was 07:00PM ET,Was,
,,,,,,,,,,G,Braden Holtby (6214360),Braden Holtby,6214360,8600,NJ@Was 07:00PM ET,Was,
,,,,,,,,,,C,Tyler Seguin (6213684),Tyler Seguin,6213684,8600,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Brian Elliott (6214378),Brian Elliott,6214378,8500,StL@Ari 09:00PM ET,StL,
,,,,,,,,,,LW,Jamie Benn (6213838),Jamie Benn,6213838,8400,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Cory Schneider (6214358),Cory Schneider,6214358,8200,NJ@Was 07:00PM ET,NJ,
,,,,,,,,,,G,Roberto Luongo (6214352),Roberto Luongo,6214352,8100,Wpg@Fla 07:00PM ET,Fla,
,,,,,,,,,,G,Tuukka Rask (6214372),Tuukka Rask,6214372,8100,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,G,Semyon Varlamov (6214385),Semyon Varlamov,6214385,8000,Col@Edm 10:00PM ET,Col,
,,,,,,,,,,G,Jonathan Quick (6214366),Jonathan Quick,6214366,8000,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,D,Erik Karlsson (6214177),Erik Karlsson,6214177,8000,Det@Ott 07:00PM ET,Ott,
,,,,,,,,,,G,Craig Anderson (6214346),Craig Anderson,6214346,7900,Det@Ott 07:00PM ET,Ott,
,,,,,,,,,,G,Petr Mrazek (6214348),Petr Mrazek,6214348,7700,Det@Ott 07:00PM ET,Det,
,,,,,,,,,,G,Al Montoya (6214353),Al Montoya,6214353,7500,Wpg@Fla 07:00PM ET,Fla,
