PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,James Harden (6241612),James Harden,6241612,10500,Hou@Por 10:30PM ET,Hou,
,,,,,,,,,PG,Damian Lillard (6241597),Damian Lillard,6241597,9700,Hou@Por 10:30PM ET,Por,
,,,,,,,,,SG,Eric Bledsoe (6241606),Eric Bledsoe,6241606,8300,Bkn@Pho 09:00PM ET,Pho,
,,,,,,,,,C,Brook Lopez (6241661),Brook Lopez,6241661,7700,Bkn@Pho 09:00PM ET,Bkn,
,,,,,,,,,SG,C.J. McCollum (6241613),C.J. McCollum,6241613,7500,Hou@Por 10:30PM ET,Por,
,,,,,,,,,C,Dwight Howard (6241664),Dwight Howard,6241664,7400,Hou@Por 10:30PM ET,Hou,
,,,,,,,,,SF,Kawhi Leonard (6241617),Kawhi Leonard,6241617,7400,SA@Uta 10:30PM ET,SA,
,,,,,,,,,PF,Derrick Favors (6241639),Derrick Favors,6241639,7300,SA@Uta 10:30PM ET,Uta,
,,,,,,,,,SF,Gordon Hayward (6241616),Gordon Hayward,6241616,7100,SA@Uta 10:30PM ET,Uta,
,,,,,,,,,PG,Brandon Knight (6241590),Brandon Knight,6241590,7000,Bkn@Pho 09:00PM ET,Pho,
,,,,,,,,,PF,LaMarcus Aldridge (6241637),LaMarcus Aldridge,6241637,6900,SA@Uta 10:30PM ET,SA,
,,,,,,,,,PF,Thaddeus Young (6241642),Thaddeus Young,6241642,6700,Bkn@Pho 09:00PM ET,Bkn,
,,,,,,,,,C,Rudy Gobert (6241659),Rudy Gobert,6241659,6400,SA@Uta 10:30PM ET,Uta,
,,,,,,,,,PG,Jarrett Jack (6241587),Jarrett Jack,6241587,6300,Bkn@Pho 09:00PM ET,Bkn,
,,,,,,,,,SF,Trevor Ariza (6241625),Trevor Ariza,6241625,6100,Hou@Por 10:30PM ET,Hou,
,,,,,,,,,SG,Rodney Hood (6241603),Rodney Hood,6241603,6100,SA@Uta 10:30PM ET,Uta,
,,,,,,,,,PG,Archie Goodwin (6241592),Archie Goodwin,6241592,5700,Bkn@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Devin Booker (6241610),Devin Booker,6241610,5600,Bkn@Pho 09:00PM ET,Pho,
,,,,,,,,,SF,Joe Johnson (6241620),Joe Johnson,6241620,5200,Bkn@Pho 09:00PM ET,Bkn,
,,,,,,,,,PG,Tony Parker (6241579),Tony Parker,6241579,5100,SA@Uta 10:30PM ET,SA,
,,,,,,,,,C,Alex Len (6241662),Alex Len,6241662,5000,Bkn@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Danny Green (6241600),Danny Green,6241600,4900,SA@Uta 10:30PM ET,SA,
,,,,,,,,,C,Tim Duncan (6241655),Tim Duncan,6241655,4800,SA@Uta 10:30PM ET,SA,
