"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",11000,"Cha@Sac 10:00PM ET",50.293,"Sac"
"PG","Stephen Curry",10600,"SA@GS 10:30PM ET",52.387,"GS"
"SG","James Harden",10100,"Hou@NO 08:00PM ET",49.194,"Hou"
"PF","Anthony Davis",10000,"Hou@NO 08:00PM ET",46.408,"NO"
"SF","LeBron James",9900,"Min@Cle 07:00PM ET",47.098,"Cle"
"PG","John Wall",9200,"Bos@Was 07:00PM ET",44.866,"Was"
"PF","Draymond Green",9100,"SA@GS 10:30PM ET",43.407,"GS"
"PG","Kemba Walker",8600,"Cha@Sac 10:00PM ET",37.955,"Cha"
"C","Andre Drummond",8600,"Det@Uta 09:00PM ET",44.455,"Det"
"C","Pau Gasol",8500,"Mia@Chi 08:00PM ET",40.091,"Chi"
"PG","Rajon Rondo",8500,"Cha@Sac 10:00PM ET",40.848,"Sac"
"SG","Jimmy Butler",8400,"Mia@Chi 08:00PM ET",39.965,"Chi"
"PF","Paul Millsap",8300,"Atl@Den 09:00PM ET",40.869,"Atl"
"SF","Kawhi Leonard",8000,"SA@GS 10:30PM ET",38.631,"SA"
"C","Dwight Howard",7800,"Hou@NO 08:00PM ET",36.628,"Hou"
"PG","Isaiah Thomas",7800,"Bos@Was 07:00PM ET",37.864,"Bos"
"PF","Chris Bosh",7700,"Mia@Chi 08:00PM ET",35.864,"Mia"
"C","Nikola Vucevic",7700,"Orl@Mem 08:00PM ET",35.231,"Orl"
"C","Marc Gasol",7500,"Orl@Mem 08:00PM ET",34.900,"Mem"
"SG","Tyreke Evans",7500,"Hou@NO 08:00PM ET",35.177,"NO"
"SF","Gordon Hayward",7500,"Det@Uta 09:00PM ET",34.174,"Uta"
"C","Hassan Whiteside",7500,"Mia@Chi 08:00PM ET",35.384,"Mia"
"PF","LaMarcus Aldridge",7200,"SA@GS 10:30PM ET",31.231,"SA"
"PF","Kevin Love",7200,"Min@Cle 07:00PM ET",36.298,"Cle"
"SG","Klay Thompson",7200,"SA@GS 10:30PM ET",32.107,"GS"
"SG","Victor Oladipo",7200,"Orl@Mem 08:00PM ET",29.434,"Orl"
"C","Marcin Gortat",7100,"Bos@Was 07:00PM ET",32.379,"Was"
"SF","Danilo Gallinari",7000,"Atl@Den 09:00PM ET",32.737,"Den"
"PF","Derrick Favors",7000,"Det@Uta 09:00PM ET",34.942,"Uta"
"C","Al Horford",6900,"Atl@Den 09:00PM ET",33.467,"Atl"
"SF","Nicolas Batum",6900,"Cha@Sac 10:00PM ET",33.770,"Cha"
"PG","Reggie Jackson",6900,"Det@Uta 09:00PM ET",34.756,"Det"
"C","Karl-Anthony Towns",6900,"Min@Cle 07:00PM ET",34.622,"Min"
"SF","Rudy Gay",6800,"Cha@Sac 10:00PM ET",31.881,"Sac"
"SG","Andrew Wiggins",6700,"Min@Cle 07:00PM ET",30.392,"Min"
"PG","Ricky Rubio",6600,"Min@Cle 07:00PM ET",31.962,"Min"
"PG","Kyrie Irving",6600,"Min@Cle 07:00PM ET",26.828,"Cle"
"SG","Dwyane Wade",6500,"Mia@Chi 08:00PM ET",31.591,"Mia"
"SF","Otto Porter",6500,"Bos@Was 07:00PM ET",26.691,"Was"
"PG","Jrue Holiday",6400,"Hou@NO 08:00PM ET",26.919,"NO"
"SF","Jae Crowder",6400,"Bos@Was 07:00PM ET",28.869,"Bos"
"SF","Tobias Harris",6400,"Orl@Mem 08:00PM ET",29.244,"Orl"
"SG","Bradley Beal",6400,"Bos@Was 07:00PM ET",31.857,"Was"
"C","Rudy Gobert",6400,"Det@Uta 09:00PM ET",30.630,"Uta"
"PG","Elfrid Payton",6300,"Orl@Mem 08:00PM ET",27.132,"Orl"
"PG","Mike Conley",6200,"Orl@Mem 08:00PM ET",30.609,"Mem"
"SF","Omri Casspi",6000,"Cha@Sac 10:00PM ET",25.243,"Sac"
"PF","Clint Capela",6000,"Hou@NO 08:00PM ET",21.795,"Hou"
"PF","Zach Randolph",5900,"Orl@Mem 08:00PM ET",27.306,"Mem"
"PG","Derrick Rose",5900,"Mia@Chi 08:00PM ET",27.304,"Chi"
"SG","Rodney Hood",5900,"Det@Uta 09:00PM ET",23.835,"Uta"
"PF","Ryan Anderson",5800,"Hou@NO 08:00PM ET",28.250,"NO"
"PF","Kenneth Faried",5800,"Atl@Den 09:00PM ET",27.993,"Den"
"PG","Goran Dragic",5800,"Mia@Chi 08:00PM ET",25.635,"Mia"
"PG","Emmanuel Mudiay",5800,"Atl@Den 09:00PM ET",25.717,"Den"
"C","Al Jefferson",5700,"Cha@Sac 10:00PM ET",26.053,"Cha"
"SG","Kentavious Caldwell-Pope",5700,"Det@Uta 09:00PM ET",26.045,"Det"
"PF","Taj Gibson",5600,"Mia@Chi 08:00PM ET",21.157,"Chi"
"SF","Kent Bazemore",5600,"Atl@Den 09:00PM ET",25.581,"Atl"
"SG","Avery Bradley",5600,"Bos@Was 07:00PM ET",25.026,"Bos"
"PF","Ersan Ilyasova",5500,"Det@Uta 09:00PM ET",22.960,"Det"
"SF","Wilson Chandler",5500,"Atl@Den 09:00PM ET",0,"Den"
"PG","Mario Chalmers",5500,"Orl@Mem 08:00PM ET",21.482,"Mem"
"SG","Will Barton",5500,"Atl@Den 09:00PM ET",29.358,"Den"
"C","Jared Sullinger",5500,"Bos@Was 07:00PM ET",27.174,"Bos"
"SG","Tyler Johnson",5500,"Mia@Chi 08:00PM ET",17.956,"Mia"
"SG","J.R. Smith",5400,"Min@Cle 07:00PM ET",21.849,"Cle"
"C","Joakim Noah",5400,"Mia@Chi 08:00PM ET",23.353,"Chi"
"PG","Jeremy Lin",5400,"Cha@Sac 10:00PM ET",23.286,"Cha"
"PG","Jeff Teague",5400,"Atl@Den 09:00PM ET",28.208,"Atl"
"SF","Marcus Morris",5400,"Det@Uta 09:00PM ET",25.890,"Det"
"SG","Evan Fournier",5400,"Orl@Mem 08:00PM ET",24.214,"Orl"
"PG","Tony Parker",5300,"SA@GS 10:30PM ET",25.150,"SA"
"PF","Nikola Mirotic",5300,"Mia@Chi 08:00PM ET",23.070,"Chi"
"C","Tim Duncan",5200,"SA@GS 10:30PM ET",26.655,"SA"
"SF","Matt Barnes",5200,"Orl@Mem 08:00PM ET",22.018,"Mem"
"SF","Trevor Ariza",5200,"Hou@NO 08:00PM ET",24.455,"Hou"
"PF","Terrence Jones",5200,"Hou@NO 08:00PM ET",20.147,"Hou"
"PG","Dennis Schroder",5200,"Atl@Den 09:00PM ET",23.244,"Atl"
"C","Kelly Olynyk",5100,"Bos@Was 07:00PM ET",21.331,"Bos"
"SF","Tony Allen",5000,"Orl@Mem 08:00PM ET",17.092,"Mem"
"PF","Amir Johnson",5000,"Bos@Was 07:00PM ET",21.616,"Bos"
"PF","Cody Zeller",5000,"Cha@Sac 10:00PM ET",20.425,"Cha"
"PG","Norris Cole",4900,"Hou@NO 08:00PM ET",17.702,"NO"
"SF","Harrison Barnes",4900,"SA@GS 10:30PM ET",23.232,"GS"
"PG","Marcus Smart",4900,"Bos@Was 07:00PM ET",22.728,"Bos"
"SF","Luol Deng",4800,"Mia@Chi 08:00PM ET",20.716,"Mia"
"PF","Marvin Williams",4800,"Cha@Sac 10:00PM ET",23.807,"Cha"
"SG","Eric Gordon",4800,"Hou@NO 08:00PM ET",24.537,"NO"
"C","Frank Kaminsky",4800,"Cha@Sac 10:00PM ET",16.919,"Cha"
"SF","Aaron Gordon",4800,"Orl@Mem 08:00PM ET",17.738,"Orl"
"PF","Trey Lyles",4800,"Det@Uta 09:00PM ET",12.372,"Uta"
"SG","Manu Ginobili",4700,"SA@GS 10:30PM ET",21.421,"SA"
"PF","Tristan Thompson",4700,"Min@Cle 07:00PM ET",21.756,"Cle"
"C","Nikola Jokic",4700,"Atl@Den 09:00PM ET",20.506,"Den"
"PG","Jameer Nelson",4600,"Atl@Den 09:00PM ET",20.931,"Den"
"SF","Andre Iguodala",4600,"SA@GS 10:30PM ET",21.256,"GS"
"SF","Jared Dudley",4600,"Bos@Was 07:00PM ET",18.669,"Was"
"SG","Garrett Temple",4600,"Bos@Was 07:00PM ET",17.006,"Was"
"SF","Jeff Green",4600,"Orl@Mem 08:00PM ET",20.906,"Mem"
"PG","Trey Burke",4600,"Det@Uta 09:00PM ET",20.837,"Uta"
"SG","Gary Harris",4600,"Atl@Den 09:00PM ET",19.862,"Den"
"SG","Kyle Korver",4500,"Atl@Den 09:00PM ET",19.767,"Atl"
"PF","Nene Hilario",4500,"Bos@Was 07:00PM ET",17.964,"Was"
"C","Andrew Bogut",4500,"SA@GS 10:30PM ET",21.081,"GS"
"SG","Gerald Green",4500,"Mia@Chi 08:00PM ET",17.480,"Mia"
"PG","Darren Collison",4500,"Cha@Sac 10:00PM ET",23.382,"Sac"
"PF","Darrell Arthur",4500,"Atl@Den 09:00PM ET",17.354,"Den"
"SG","Evan Turner",4500,"Bos@Was 07:00PM ET",22.142,"Bos"
"SG","Jeremy Lamb",4500,"Cha@Sac 10:00PM ET",20.803,"Cha"
"SF","Shabazz Muhammad",4500,"Min@Cle 07:00PM ET",14.822,"Min"
"C","Willie Cauley-Stein",4500,"Cha@Sac 10:00PM ET",16.569,"Sac"
"PG","Ty Lawson",4400,"Hou@NO 08:00PM ET",16.743,"Hou"
"C","Jusuf Nurkic",4400,"Atl@Den 09:00PM ET",17.250,"Den"
"SF","Justise Winslow",4400,"Mia@Chi 08:00PM ET",14.768,"Mia"
"C","Gorgui Dieng",4300,"Min@Cle 07:00PM ET",21.489,"Min"
"PG","Zach LaVine",4300,"Min@Cle 07:00PM ET",21.378,"Min"
"PF","Trevor Booker",4200,"Det@Uta 09:00PM ET",17.933,"Uta"
"SG","Alec Burks",4200,"Det@Uta 09:00PM ET",23.018,"Uta"
"SG","Danny Green",4100,"SA@GS 10:30PM ET",17.261,"SA"
"C","Spencer Hawes",4100,"Cha@Sac 10:00PM ET",15.000,"Cha"
"PF","David West",4000,"SA@GS 10:30PM ET",16.250,"SA"
"PF","Josh Smith",4000,"Hou@NO 08:00PM ET",15.727,"Hou"
"PG","Beno Udrih",4000,"Mia@Chi 08:00PM ET",10.563,"Mia"
"SG","Courtney Lee",4000,"Orl@Mem 08:00PM ET",18.110,"Mem"
"PG","Ramon Sessions",4000,"Bos@Was 07:00PM ET",18.848,"Was"
"SF","Alonzo Gee",4000,"Hou@NO 08:00PM ET",11.355,"NO"
"SF","Thabo Sefolosha",4000,"Atl@Den 09:00PM ET",18.686,"Atl"
"PG","Patrick Beverley",4000,"Hou@NO 08:00PM ET",19.074,"Hou"
"SG","Marco Belinelli",4000,"Cha@Sac 10:00PM ET",17.355,"Sac"
"SF","Corey Brewer",3900,"Hou@NO 08:00PM ET",14.567,"Hou"
"PF","Mike Scott",3900,"Atl@Den 09:00PM ET",12.353,"Atl"
"PG","Patty Mills",3900,"SA@GS 10:30PM ET",15.881,"SA"
"SF","Stanley Johnson",3900,"Det@Uta 09:00PM ET",16.722,"Det"
"PF","Amar'e Stoudemire",3800,"Mia@Chi 08:00PM ET",8.969,"Mia"
"PF","Boris Diaw",3800,"SA@GS 10:30PM ET",16.000,"SA"
"C","Festus Ezeli",3800,"SA@GS 10:30PM ET",19.212,"GS"
"PG","Brandon Jennings",3800,"Det@Uta 09:00PM ET",15.962,"Det"
"PG","Matthew Dellavedova",3800,"Min@Cle 07:00PM ET",20.061,"Cle"
"SG","Ben McLemore",3800,"Cha@Sac 10:00PM ET",13.477,"Sac"
"SF","P.J. Hairston",3800,"Cha@Sac 10:00PM ET",12.659,"Cha"
"SG","Iman Shumpert",3700,"Min@Cle 07:00PM ET",15.550,"Cle"
"SG","Josh Richardson",3700,"Mia@Chi 08:00PM ET",6.012,"Mia"
"SF","Kelly Oubre Jr.",3700,"Bos@Was 07:00PM ET",9.456,"Was"
"PG","Kirk Hinrich",3600,"Mia@Chi 08:00PM ET",9.152,"Chi"
"SG","Gary Neal",3600,"Bos@Was 07:00PM ET",16.076,"Was"
"SF","Marcus Thornton",3600,"Hou@NO 08:00PM ET",17.908,"Hou"
"PF","Bobby Portis",3600,"Mia@Chi 08:00PM ET",14.087,"Chi"
