PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,James Harden (6131067),James Harden,6131067,10300,Mia@Hou 08:00PM ET,Hou,
,,,,,,,,,PG,Damian Lillard (6131048),Damian Lillard,6131048,9200,Mil@Por 10:00PM ET,Por,
,,,,,,,,,PG,Kyle Lowry (6131032),Kyle Lowry,6131032,8700,Tor@Pho 09:00PM ET,Tor,
,,,,,,,,,SF,Carmelo Anthony (6131103),Carmelo Anthony,6131103,8400,Bos@NY 07:30PM ET,NY,
,,,,,,,,,SG,Eric Bledsoe (6131059),Eric Bledsoe,6131059,8300,Tor@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,DeMar DeRozan (6131058),DeMar DeRozan,6131058,8100,Tor@Pho 09:00PM ET,Tor,
,,,,,,,,,C,Karl-Anthony Towns (6131155),Karl-Anthony Towns,6131155,7800,Min@LAL 10:30PM ET,Min,
,,,,,,,,,PF,Chris Bosh (6131126),Chris Bosh,6131126,7700,Mia@Hou 08:00PM ET,Mia,
,,,,,,,,,PG,Isaiah Thomas (6131042),Isaiah Thomas,6131042,7500,Bos@NY 07:30PM ET,Bos,
,,,,,,,,,C,Hassan Whiteside (6131163),Hassan Whiteside,6131163,7400,Mia@Hou 08:00PM ET,Mia,
,,,,,,,,,SG,Dwyane Wade (6131065),Dwyane Wade,6131065,7300,Mia@Hou 08:00PM ET,Mia,
,,,,,,,,,C,Dwight Howard (6131162),Dwight Howard,6131162,7300,Mia@Hou 08:00PM ET,Hou,
,,,,,,,,,SF,Giannis Antetokounmpo (6131112),Giannis Antetokounmpo,6131112,7300,Mil@Por 10:00PM ET,Mil,
,,,,,,,,,PG,Brandon Knight (6131034),Brandon Knight,6131034,7200,Tor@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Khris Middleton (6131079),Khris Middleton,6131079,7100,Mil@Por 10:00PM ET,Mil,
,,,,,,,,,C,Greg Monroe (6131170),Greg Monroe,6131170,7000,Mil@Por 10:00PM ET,Mil,
,,,,,,,,,PF,Kristaps Porzingis (6131142),Kristaps Porzingis,6131142,7000,Bos@NY 07:30PM ET,NY,
,,,,,,,,,SG,C.J. McCollum (6131080),C.J. McCollum,6131080,6900,Mil@Por 10:00PM ET,Por,
