C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RW,Patrick Kane (6191557),Patrick Kane,6191557,8700,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,C,Tyler Seguin (6191258),Tyler Seguin,6191258,8600,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,G,Corey Crawford (6191926),Corey Crawford,6191926,8400,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,LW,Jamie Benn (6191416),Jamie Benn,6191416,8400,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,G,Scott Darling (6191929),Scott Darling,6191929,7600,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,G,Pekka Rinne (6191920),Pekka Rinne,6191920,7300,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Carter Hutton (6191922),Carter Hutton,6191922,7300,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Kari Lehtonen (6191919),Kari Lehtonen,6191919,7200,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,G,Jonathan Bernier (6191927),Jonathan Bernier,6191927,7000,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,G,Antti Niemi (6191921),Antti Niemi,6191921,7000,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Roman Josi (6191783),Roman Josi,6191783,6900,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,James Reimer (6191928),James Reimer,6191928,6800,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,LW,Patrick Sharp (6191413),Patrick Sharp,6191413,6600,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,John Klingberg (6191786),John Klingberg,6191786,6300,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,LW,Artemi Panarin (6191434),Artemi Panarin,6191434,6300,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,C,Jason Spezza (6191253),Jason Spezza,6191253,6100,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Duncan Keith (6191794),Duncan Keith,6191794,6100,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,G,Antoine Bibeau (6191930),Antoine Bibeau,6191930,6100,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,G,Michael Leighton (6191925),Michael Leighton,6191925,6000,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,D,Shea Weber (6191777),Shea Weber,6191777,6000,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,C,Jonathan Toews (6191264),Jonathan Toews,6191264,6000,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,LW,James van Riemsdyk (6191425),James van Riemsdyk,6191425,6000,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,G,John Muse (6191923),John Muse,6191923,6000,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,G,Juuse Saros (6191924),Juuse Saros,6191924,6000,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,D,Brent Seabrook (6191795),Brent Seabrook,6191795,5900,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,C,Ryan Johansen (6191259),Ryan Johansen,6191259,5900,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,RW,James Neal (6191548),James Neal,6191548,5800,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,LW,Filip Forsberg (6191419),Filip Forsberg,6191419,5600,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,RW,Marian Hossa (6191553),Marian Hossa,6191553,5500,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,C,Nazem Kadri (6191269),Nazem Kadri,6191269,5500,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,C,Artem Anisimov (6191266),Artem Anisimov,6191266,4900,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,D,Alex Goligoski (6191779),Alex Goligoski,6191779,4600,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Morgan Rielly (6191804),Morgan Rielly,6191804,4600,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,C,Tyler Bozak (6191268),Tyler Bozak,6191268,4400,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,C,Leo Komarov (6191275),Leo Komarov,6191275,4300,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,D,Ryan Ellis (6191782),Ryan Ellis,6191782,4100,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,RW,Andrew Shaw (6191559),Andrew Shaw,6191559,4100,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,RW,Pierre-Alexandre Parenteau (6191555),Pierre-Alexandre Parenteau,6191555,4000,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,RW,Patrick Eaves (6191547),Patrick Eaves,6191547,3900,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Jason Demers (6191780),Jason Demers,6191780,3900,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Mattias Ekholm (6191788),Mattias Ekholm,6191788,3900,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,RW,Craig Smith (6191550),Craig Smith,6191550,3900,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,LW,Teuvo Teravainen (6191431),Teuvo Teravainen,6191431,3800,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,C,Mike Ribeiro (6191250),Mike Ribeiro,6191250,3700,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,RW,Ales Hemsky (6191546),Ales Hemsky,6191546,3700,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Niklas Hjalmarsson (6191798),Niklas Hjalmarsson,6191798,3700,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,D,Jake Gardiner (6191800),Jake Gardiner,6191800,3700,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,C,Peter Holland (6191270),Peter Holland,6191270,3600,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,C,Cody Eakin (6191257),Cody Eakin,6191257,3600,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,LW,Joffrey Lupul (6191421),Joffrey Lupul,6191421,3500,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,RW,Valeri Nichushkin (6191552),Valeri Nichushkin,6191552,3500,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Trevor van Riemsdyk (6191807),Trevor van Riemsdyk,6191807,3500,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,C,Mike Fisher (6191251),Mike Fisher,6191251,3400,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,LW,Milan Michalek (6191422),Milan Michalek,6191422,3400,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,D,Johnny Oduya (6191778),Johnny Oduya,6191778,3400,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,C,Mattias Janmark (6191263),Mattias Janmark,6191263,3400,Dal@Nsh 08:00PM ET,Dal,
,,,,,,,,,,D,Erik Gustafsson (6191805),Erik Gustafsson,6191805,3300,Tor@Chi 08:30PM ET,Chi,
,,,,,,,,,,LW,Colin Wilson (6191415),Colin Wilson,6191415,3100,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,C,Calle Jarnkrok (6191260),Calle Jarnkrok,6191260,3100,Dal@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,RW,Michael Grabner (6191556),Michael Grabner,6191556,3000,Tor@Chi 08:30PM ET,Tor,
,,,,,,,,,,LW,Antoine Roussel (6191418),Antoine Roussel,6191418,3000,Dal@Nsh 08:00PM ET,Dal,
