PG,SG,SF,PF,C,G,F,UTIL
Zach LaVine (6123647),Dwyane Wade (6123650),Carmelo Anthony (6123714),Marvin Williams (6123742),Karl-Anthony Towns (6123817),Jeff Teague (6123609),Luol Deng (6123693),Al Horford (6123781)
Zach LaVine (6123647),Dwyane Wade (6123650),P.J. Tucker (6123721),Marvin Williams (6123742),Karl-Anthony Towns (6123817),Jeff Teague (6123609),Julius Randle (6123745),Carmelo Anthony (6123714)
Jeff Teague (6123609),Dwyane Wade (6123650),Carmelo Anthony (6123714),Marvin Williams (6123742),Karl-Anthony Towns (6123817),Evan Fournier (6123670),Al-Farouq Aminu (6123728),Al Horford (6123781)
Ricky Rubio (6123645),Dwyane Wade (6123650),Carmelo Anthony (6123714),Marvin Williams (6123742),Mason Plumlee (6123814),Jeff Teague (6123609),Al-Farouq Aminu (6123728),Karl-Anthony Towns (6123817)
Jeff Teague (6123609),Dwyane Wade (6123650),Carmelo Anthony (6123714),Marvin Williams (6123742),Mason Plumlee (6123814),Evan Fournier (6123670),Julius Randle (6123745),Karl-Anthony Towns (6123817)
