"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14579-12362","C","DeMarcus","Cousins","46.6","39","11100","MIL@SAC","SAC","MIL","GTD","Ankle","",""
"14579-9642","PG","Russell","Westbrook","48.7","49","10900","WAS@OKC","OKC","WAS","","","",""
"14579-9646","SF","Kevin","Durant","44.9","42","10700","WAS@OKC","OKC","WAS","","","",""
"14579-15755","PF","Anthony","Davis","43.1","40","10100","MEM@NO","NO","MEM","","","",""
"14579-9488","SF","LeBron","James","44","45","10000","CLE@IND","CLE","IND","","","",""
"14579-12332","PG","John","Wall","40.9","45","9800","WAS@OKC","WAS","OKC","","","",""
"14579-9535","PG","Kyle","Lowry","39","47","9000","TOR@DEN","TOR","DEN","","","",""
"14579-14528","SG","Jimmy","Butler","37.8","46","9000","CHI@UTA","CHI","UTA","","","",""
"14579-9570","C","Pau","Gasol","37.9","44","8900","CHI@UTA","CHI","UTA","","","",""
"14579-9621","C","Brook","Lopez","35.7","48","8800","DET@BKN","BKN","DET","","","",""
"14579-9455","PG","Rajon","Rondo","37.2","45","8600","MIL@SAC","SAC","MIL","","","",""
"14579-15557","C","Andre","Drummond","40.7","48","8500","DET@BKN","DET","BKN","","","",""
"14579-9729","PF","Paul","Millsap","37.5","48","8400","DAL@ATL","ATL","DAL","","","",""
"14579-12341","SF","Paul","George","38.5","47","8400","CLE@IND","IND","CLE","","","",""
"14579-9581","C","Marc","Gasol","33.6","48","8300","MEM@NO","MEM","NO","GTD","Knee","",""
"14579-9714","SG","DeMar","DeRozan","35.1","47","8200","TOR@DEN","TOR","DEN","","","",""
"14579-12366","SF","Gordon","Hayward","31.6","46","8000","CHI@UTA","UTA","CHI","","","",""
"14579-12337","C","Greg","Monroe","33.3","47","7900","MIL@SAC","MIL","SAC","","","",""
"14579-14514","C","Nikola","Vucevic","33.6","43","7700","ORL@SA","ORL","SA","","","",""
"14579-9874","PF","Kevin","Love","33.4","46","7600","CLE@IND","CLE","IND","","","",""
"14579-9577","SF","Rudy","Gay","31.1","41","7600","MIL@SAC","SAC","MIL","","","",""
"14579-9453","C","Al","Horford","31.5","49","7500","DAL@ATL","ATL","DAL","","","",""
"14579-40199","SF","Giannis","Antetokounmpo","30.4","47","7500","MIL@SAC","MIL","SAC","","","",""
"14579-16261","SG","Khris","Middleton","28.9","49","7300","MIL@SAC","MIL","SAC","","","",""
"14579-14513","SF","Kawhi","Leonard","35.9","45","7300","ORL@SA","SA","ORL","","","",""
"14579-12351","PF","Derrick","Favors","32.4","29","7200","CHI@UTA","UTA","CHI","","","",""
"14579-9637","SF","Danilo","Gallinari","30.8","42","7200","TOR@DEN","DEN","TOR","","","",""
"14579-40203","C","Rudy","Gobert","29.5","26","7200","CHI@UTA","UTA","CHI","","","",""
"14579-9526","SG","Monta","Ellis","27.3","47","7100","CLE@IND","IND","CLE","","","",""
"14579-9663","PG","Jrue","Holiday","26.5","40","7100","MEM@NO","NO","MEM","","","",""
"14579-14523","PG","Reggie","Jackson","32","48","7000","DET@BKN","DET","BKN","","","",""
"14579-9661","C","Marcin","Gortat","29.9","39","7000","WAS@OKC","WAS","OKC","","","",""
"14579-9500","PF","Dirk","Nowitzki","29.7","44","6800","DAL@ATL","DAL","ATL","","","",""
"14579-14498","PG","Kyrie","Irving","26.2","20","6800","CLE@IND","CLE","IND","","","",""
"14579-14537","SF","Chandler","Parsons","21.1","42","6700","DAL@ATL","DAL","ATL","","","",""
"14579-9692","SG","Tyreke","Evans","31.5","25","6700","MEM@NO","NO","MEM","GTD","Knee","",""
"14579-9688","PF","LaMarcus","Aldridge","29.2","43","6700","ORL@SA","SA","ORL","","","",""
"14579-9666","PF","Thaddeus","Young","30.2","48","6600","DET@BKN","BKN","DET","","","",""
"14579-9772","PF","Ryan","Anderson","27.2","44","6500","MEM@NO","NO","MEM","","","",""
"14579-14503","C","Jonas","Valanciunas","26.5","30","6500","TOR@DEN","TOR","DEN","","","",""
"14579-9575","PG","Mike","Conley","28.8","42","6500","MEM@NO","MEM","NO","","","",""
"14579-9454","C","Zaza","Pachulia","27.1","45","6300","DAL@ATL","DAL","ATL","","","",""
"14579-16201","PG","Michael","Carter-Williams","27.5","44","6200","MIL@SAC","MIL","SAC","","","",""
"14579-14521","PF","Kenneth","Faried","26.4","41","6200","TOR@DEN","DEN","TOR","","","",""
"14579-15595","SG","Brad","Beal","27.4","24","6000","WAS@OKC","WAS","OKC","","","",""
"14579-15636","SG","Kentavious","Caldwell-Pope","24.4","48","5900","DET@BKN","DET","BKN","","","",""
"14579-15684","SG","Victor","Oladipo","26.7","42","5900","ORL@SA","ORL","SA","","","",""
"14579-9475","PG","Derrick","Rose","25.3","40","5900","CHI@UTA","CHI","UTA","","","",""
"14579-15904","SG","Rodney","Hood","22.6","44","5900","CHI@UTA","UTA","CHI","","","",""
"14579-19138","PG","Elfrid","Payton","24.4","42","5800","ORL@SA","ORL","SA","","","",""
"14579-17333","SG","Will","Barton","27.2","48","5800","TOR@DEN","DEN","TOR","","","",""
"14579-9710","C","Tim","Duncan","25.1","37","5800","ORL@SA","SA","ORL","O","Knee","",""
"14579-14518","SF","Tobias","Harris","26.9","46","5700","ORL@SA","ORL","SA","","","",""
"14579-9579","PF","Zach","Randolph","25.5","43","5700","MEM@NO","MEM","NO","","","",""
"14579-55062","C","Nikola","Jokic","20.5","46","5700","TOR@DEN","DEN","TOR","","","",""
"14579-9446","PG","Jeff","Teague","26.2","46","5600","DAL@ATL","ATL","DAL","","","",""
"14579-9703","PG","George","Hill","23.8","40","5600","CLE@IND","IND","CLE","","","",""
"14579-9702","PG","Tony","Parker","23.8","43","5600","ORL@SA","SA","ORL","","","",""
"14579-15628","SF","Otto","Porter","24.5","38","5500","WAS@OKC","WAS","OKC","","","",""
"14579-9957","PF","Serge","Ibaka","25.7","49","5500","WAS@OKC","OKC","WAS","","","",""
"14579-9648","SF","Jeff","Green","20.7","48","5500","MEM@NO","MEM","NO","","","",""
"14579-9722","PG","Deron","Williams","26","42","5500","DAL@ATL","DAL","ATL","","","",""
"14579-9787","SF","DeMarre","Carroll","21.5","23","5400","TOR@DEN","TOR","DEN","O","Knee","",""
"14579-9598","PF","Ersan","Ilyasova","21.1","47","5400","DET@BKN","DET","BKN","GTD","Thigh","",""
"14579-63124","PG","Emmanuel","Mudiay","23.1","34","5200","TOR@DEN","DEN","TOR","","","",""
"14579-58253","PF","Myles","Turner","17.7","25","5200","CLE@IND","IND","CLE","","","",""
"14579-9960","SF","Omri","Casspi","22.8","42","5200","MIL@SAC","SAC","MIL","","","",""
"14579-9447","SG","Joe","Johnson","21.5","48","5200","DET@BKN","BKN","DET","","","",""
"14579-42550","PF","Jabari","Parker","20.5","43","5200","MIL@SAC","MIL","SAC","","","",""
"14579-19781","SG","Kent","Bazemore","23.4","44","5100","DAL@ATL","ATL","DAL","","","",""
"14579-14512","SF","Marcus","Morris","23.7","47","5100","DET@BKN","DET","BKN","","","",""
"14579-14516","C","Enes","Kanter","21.8","49","5100","WAS@OKC","OKC","WAS","","","",""
"14579-9953","C","Ian","Mahinmi","21.8","41","5000","CLE@IND","IND","CLE","GTD","Back","",""
"14579-9481","PF","Taj","Gibson","20.3","46","5000","CHI@UTA","CHI","UTA","","","",""
"14579-9556","SG","Eric","Gordon","22.4","41","5000","MEM@NO","NO","MEM","O","Finger","",""
"14579-9583","PG","Mario","Chalmers","20.6","39","5000","MEM@NO","MEM","NO","","","",""
"14579-9506","SG","J.R.","Smith","20.1","42","4900","CLE@IND","CLE","IND","","","",""
"14579-9657","SF","Matt","Barnes","20.1","45","4900","MEM@NO","MEM","NO","","","",""
"14579-40201","PG","Dennis","Schroder","21.1","47","4900","DAL@ATL","ATL","DAL","","","",""
"14579-23096","SG","Evan","Fournier","22.5","46","4800","ORL@SA","ORL","SA","","","",""
"14579-14522","SF","Nikola","Mirotic","21.2","44","4800","CHI@UTA","CHI","UTA","O","Illness","",""
"14579-9799","SG","Wesley","Matthews","20.4","46","4700","DAL@ATL","DAL","ATL","","","",""
"14579-24544","SG","Gary","Harris","18.6","42","4700","TOR@DEN","DEN","TOR","","","",""
"14579-9458","SG","Tony","Allen","16.9","41","4700","MEM@NO","MEM","NO","","","",""
"14579-14527","PG","Norris","Cole","17.4","29","4700","MEM@NO","NO","MEM","","","",""
"14579-14501","PF","Tristan","Thompson","20.9","46","4700","CLE@IND","CLE","IND","","","",""
"14579-11074","SG","Garrett","Temple","16.2","43","4700","WAS@OKC","WAS","OKC","","","",""
"14579-9652","PG","Jameer","Nelson","18.8","38","4700","TOR@DEN","DEN","TOR","","","",""
"14579-15843","PG","Trey","Burke","18.9","46","4600","CHI@UTA","UTA","CHI","","","",""
"14579-9624","PG","Darren","Collison","21.6","42","4600","MIL@SAC","SAC","MIL","","","",""
"14579-9677","PF","Jared","Dudley","17.6","44","4600","WAS@OKC","WAS","OKC","","","",""
"14579-9752","C","Jordan","Hill","20.4","43","4500","CLE@IND","IND","CLE","","","",""
"14579-41594","PF","Aaron","Gordon","18","45","4500","ORL@SA","ORL","SA","","","",""
"14579-9512","PF","Nene","Hilario","18.3","24","4500","WAS@OKC","WAS","OKC","","","",""
"14579-9704","SG","Manu","Ginobili","19.5","41","4500","ORL@SA","SA","ORL","","","",""
"14579-12350","PF","Trevor","Booker","17.1","44","4400","CHI@UTA","UTA","CHI","","","",""
"14579-23169","C","Steven","Adams","18","47","4400","WAS@OKC","OKC","WAS","","","",""
"14579-20064","PG","Matthew","Dellavedova","18.8","45","4300","CLE@IND","CLE","IND","","","",""
"14579-12832","PG","Donald","Sloan","14","28","4300","DET@BKN","BKN","DET","","","",""
"14579-9605","PG","Ramon","Sessions","17.8","45","4300","WAS@OKC","WAS","OKC","","","",""
"14579-16405","SG","Terrence","Ross","14.2","41","4200","TOR@DEN","TOR","DEN","","","",""
"14579-9514","SG","Rodney","Stuckey","18.3","33","4200","CLE@IND","IND","CLE","O","Ankle","",""
"14579-9547","SF","Mike","Dunleavy","0","0","4200","CHI@UTA","CHI","UTA","O","Back","",""
"14579-9629","PF","David","West","15.4","46","4200","ORL@SA","SA","ORL","","","",""
"14579-9647","SF","Thabo","Sefolosha","17.2","43","4200","DAL@ATL","ATL","DAL","","","",""
"14579-58350","SF","Stanley","Johnson","15.8","48","4100","DET@BKN","DET","BKN","","","",""
"14579-23823","PF","Willie","Cauley-Stein","16.2","33","4100","MIL@SAC","SAC","MIL","","","",""
"14579-9465","PG","Raymond","Felton","18.8","49","4100","DAL@ATL","DAL","ATL","","","",""
"14579-9615","SG","Courtney","Lee","17.2","46","4100","MEM@NO","MEM","NO","","","",""
"14579-9758","SG","Danny","Green","16.2","47","4000","ORL@SA","SA","ORL","","","",""
"14579-15834","PG","Shane","Larkin","16.2","44","4000","DET@BKN","BKN","DET","","","",""
"14579-9870","SG","Kyle","Korver","17.8","47","4000","DAL@ATL","ATL","DAL","","","",""
"14579-9495","PG","Jose Juan","Barea","17.2","44","4000","DAL@ATL","DAL","ATL","","","",""
"14579-14505","C","Bismack","Biyombo","18.4","47","4000","TOR@DEN","TOR","DEN","","","",""
"14579-9542","PF","Luis","Scola","19","47","4000","TOR@DEN","TOR","DEN","","","",""
"14579-11104","SF","Alonzo","Gee","11.3","46","4000","MEM@NO","NO","MEM","","","",""
"14579-42148","SF","Rondae","Hollis-Jefferson","17.2","19","4000","DET@BKN","BKN","DET","O","Ankle","",""
"14579-37931","C","Aron","Baynes","13","47","3900","DET@BKN","DET","BKN","","","",""
"14579-9956","SG","Wayne","Ellington","11.5","47","3900","DET@BKN","BKN","DET","","","",""
"14579-16220","SG","Dion","Waiters","16.8","49","3900","WAS@OKC","OKC","WAS","","","",""
"14579-14529","PG","Cory","Joseph","17.2","47","3900","TOR@DEN","TOR","DEN","","","",""
"14579-9580","PF","Darrell","Arthur","16","45","3900","TOR@DEN","DEN","TOR","","","",""
"14579-9574","SG","O.J.","Mayo","17.9","29","3900","MIL@SAC","MIL","SAC","O","Hamstring","",""
"14579-12423","C","Omer","Asik","11.6","39","3900","MEM@NO","NO","MEM","","","",""
"14579-9810","PG","Jerryd","Bayless","19.4","31","3800","MIL@SAC","MIL","SAC","","","",""
