PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (6157204),Russell Westbrook,6157204,11200,OKC@GS 09:00PM ET,OKC,
,,,,,,,,,PG,Stephen Curry (6157205),Stephen Curry,6157205,10800,OKC@GS 09:00PM ET,GS,
,,,,,,,,,SF,Kevin Durant (6157322),Kevin Durant,6157322,10500,OKC@GS 09:00PM ET,OKC,
,,,,,,,,,SG,James Harden (6157311),James Harden,6157311,10400,Por@Hou 05:00PM ET,Hou,
,,,,,,,,,PF,Anthony Davis (6157393),Anthony Davis,6157393,10200,NO@Cle 07:30PM ET,NO,
,,,,,,,,,SF,LeBron James (6157327),LeBron James,6157327,9800,NO@Cle 07:30PM ET,Cle,
,,,,,,,,,PG,John Wall (6157246),John Wall,6157246,9700,Was@Cha 07:00PM ET,Was,
,,,,,,,,,PG,Damian Lillard (6157252),Damian Lillard,6157252,9200,Por@Hou 05:00PM ET,Por,
,,,,,,,,,PF,Draymond Green (6157386),Draymond Green,6157386,9100,OKC@GS 09:00PM ET,GS,
,,,,,,,,,C,Pau Gasol (6157438),Pau Gasol,6157438,8700,Chi@Min 08:00PM ET,Chi,
,,,,,,,,,SG,Jimmy Butler (6157256),Jimmy Butler,6157256,8600,Chi@Min 08:00PM ET,Chi,
,,,,,,,,,C,Andre Drummond (6157470),Andre Drummond,6157470,8500,Det@Ind 07:00PM ET,Det,
,,,,,,,,,SF,Paul George (6157347),Paul George,6157347,8400,Det@Ind 07:00PM ET,Ind,
,,,,,,,,,PG,Kemba Walker (6157245),Kemba Walker,6157245,8300,Was@Cha 07:00PM ET,Cha,
,,,,,,,,,SG,Eric Bledsoe (6157297),Eric Bledsoe,6157297,8300,Uta@Pho 09:00PM ET,Pho,
,,,,,,,,,C,Karl-Anthony Towns (6157442),Karl-Anthony Towns,6157442,8100,Chi@Min 08:00PM ET,Min,
,,,,,,,,,PF,Kevin Love (6157391),Kevin Love,6157391,7900,NO@Cle 07:30PM ET,Cle,
,,,,,,,,,SG,Klay Thompson (6157260),Klay Thompson,6157260,7800,OKC@GS 09:00PM ET,GS,
,,,,,,,,,SF,Kawhi Leonard (6157334),Kawhi Leonard,6157334,7800,LAL@SA 08:30PM ET,SA,
