"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14555-9642","PG","Russell","Westbrook","48.6","48","10800","HOU@OKC","OKC","HOU","","","",""
"14555-9646","SF","Kevin","Durant","44.7","41","10600","HOU@OKC","OKC","HOU","","","",""
"14555-9644","SG","James","Harden","45.1","48","10200","HOU@OKC","HOU","OKC","","","",""
"14555-9623","PG","Chris","Paul","39.4","41","9900","LAL@LAC","LAC","LAL","","","",""
"14555-9488","SF","LeBron","James","43.8","43","9800","CLE@DET","CLE","DET","","","",""
"14555-20848","PG","Damian","Lillard","39.3","40","8800","CHA@POR","POR","CHA","","","",""
"14555-9508","SF","Carmelo","Anthony","36.6","42","8800","PHO@NY","NY","PHO","GTD","Knee","",""
"14555-14507","PG","Kemba","Walker","35.7","46","8800","CHA@POR","CHA","POR","","","",""
"14555-15557","C","Andre","Drummond","41","46","8500","CLE@DET","DET","CLE","","","",""
"14555-12366","SF","Gordon","Hayward","31.8","45","8300","MIN@UTA","UTA","MIN","","","",""
"14555-58462","C","Karl-Anthony","Towns","32.9","47","8200","MIN@UTA","MIN","UTA","","","",""
"14555-9621","C","Brook","Lopez","34.8","46","8100","BKN@DAL","BKN","DAL","","","",""
"14555-9660","C","Dwight","Howard","33.8","38","8100","HOU@OKC","HOU","OKC","","","",""
"14555-14559","PG","Isaiah","Thomas","34.8","47","8000","ORL@BOS","BOS","ORL","GTD","Ankle","",""
"14555-12337","C","Greg","Monroe","33.3","46","8000","MIA@MIL","MIL","MIA","","","",""
"14555-12363","C","Hassan","Whiteside","33","41","7900","MIA@MIL","MIA","MIL","O","Oblique","",""
"14555-9561","C","DeAndre","Jordan","33.9","44","7900","LAL@LAC","LAC","LAL","","","",""
"14555-14514","C","Nikola","Vucevic","33.4","41","7800","ORL@BOS","ORL","BOS","","","",""
"14555-16261","SG","Khris","Middleton","29.1","48","7600","MIA@MIL","MIL","MIA","","","",""
"14555-19067","SG","C.J.","McCollum","32","45","7600","CHA@POR","POR","CHA","","","",""
"14555-9718","PF","Chris","Bosh","33.5","46","7600","MIA@MIL","MIA","MIL","","","",""
"14555-9585","SG","Dwyane","Wade","30.8","43","7500","MIA@MIL","MIA","MIL","","","",""
"14555-40199","SF","Giannis","Antetokounmpo","30","46","7500","MIA@MIL","MIL","MIA","","","",""
"14555-9874","PF","Kevin","Love","33.1","44","7300","CLE@DET","CLE","DET","","","",""
"14555-12351","PF","Derrick","Favors","32.3","28","7200","MIN@UTA","UTA","MIN","","","",""
"14555-14523","PG","Reggie","Jackson","32.5","46","7100","CLE@DET","DET","CLE","","","",""
"14555-40203","C","Rudy","Gobert","29.2","25","7100","MIN@UTA","UTA","MIN","","","",""
"14555-63122","PF","Kristaps","Porzingis","28.9","47","6900","PHO@NY","NY","PHO","GTD","Illness","",""
"14555-9500","PF","Dirk","Nowitzki","29.6","43","6700","BKN@DAL","DAL","BKN","","","",""
"14555-49116","SG","Andrew","Wiggins","28.6","46","6700","MIN@UTA","MIN","UTA","","","",""
"14555-14496","PG","Ricky","Rubio","29.9","41","6700","MIN@UTA","MIN","UTA","","","",""
"14555-14537","SF","Chandler","Parsons","20.8","40","6600","BKN@DAL","DAL","BKN","","","",""
"14555-14498","PG","Kyrie","Irving","25.1","18","6600","CLE@DET","CLE","DET","","","",""
"14555-14506","PG","Brandon","Knight","31.6","42","6500","PHO@NY","PHO","NY","O","Groin","",""
"14555-15800","SF","Jae","Crowder","26.8","47","6400","ORL@BOS","BOS","ORL","","","",""
"14555-16201","PG","Michael","Carter-Williams","27.5","43","6400","MIA@MIL","MIL","MIA","","","",""
"14555-9666","PF","Thaddeus","Young","30.1","46","6400","BKN@DAL","BKN","DAL","","","",""
"14555-9809","SF","Nicolas","Batum","30.2","38","6300","CHA@POR","CHA","POR","","","",""
"14555-9454","C","Zaza","Pachulia","27","43","6200","BKN@DAL","DAL","BKN","GTD","Leg","",""
"14555-15684","SG","Victor","Oladipo","27","40","6000","ORL@BOS","ORL","BOS","","","",""
"14555-19138","PG","Elfrid","Payton","24.8","40","5900","ORL@BOS","ORL","BOS","","","",""
"14555-14518","SF","Tobias","Harris","27.2","44","5900","ORL@BOS","ORL","BOS","","","",""
"14555-9957","PF","Serge","Ibaka","26.1","48","5800","HOU@OKC","OKC","HOU","","","",""
"14555-12334","SG","Avery","Bradley","23.6","42","5800","ORL@BOS","BOS","ORL","","","",""
"14555-42669","PF","Julius","Randle","25.1","47","5800","LAL@LAC","LAL","LAC","","","",""
"14555-15904","SG","Rodney","Hood","22.5","43","5800","MIN@UTA","UTA","MIN","","","",""
"14555-15636","SG","Kentavious","Caldwell-Pope","24.2","46","5700","CLE@DET","DET","CLE","","","",""
"14555-20640","PG","Jordan","Clarkson","24.2","46","5700","LAL@LAC","LAL","LAC","","","",""
"14555-9538","SF","Trevor","Ariza","23.3","47","5700","HOU@OKC","HOU","OKC","","","",""
"14555-9662","SG","Louis","Williams","23.7","45","5700","LAL@LAC","LAL","LAC","GTD","Illness","",""
"14555-16008","PF","Jared","Sullinger","25.3","46","5600","ORL@BOS","BOS","ORL","","","",""
"14555-9566","SG","Kobe","Bryant","25.6","39","5600","LAL@LAC","LAL","LAC","O","Rest","",""
"14555-15590","C","Mason","Plumlee","24.3","47","5600","CHA@POR","POR","CHA","","","",""
