Player,Team,Min,Pts, Reb,Ast,Stl,FP,Cost,Value
Tobias Harris (F- ORL),PHI,30.7,13.0,6.4,1.8,1.2,25.08,$5600,4.48
Derrick Rose (PG- CHI),GS,32.5,14.8,3.2,4.5,0.7,24.39,$6000,4.07
Kentavious Caldwell-Pope (SG- DET),HOU,35.7,14.5,3.4,2.2,1.6,23.98,$5900,4.06
Dennis Schroder (PG- ATL),POR,26,11.9,3.1,5.3,1.1,23.97,$5200,4.61
Mason Plumlee (FC- POR),ATL,26.8,9.7,7.8,2.1,0.7,23.81,$5300,4.49
Robert Covington (F- PHI),ORL,27.9,12.1,5,2.3,1.6,23.65,$4800,4.93
Al-Farouq Aminu (F- POR),ATL,29.8,10.9,6.6,1.5,1.0,22.87,$5000,4.57
Evan Fournier (GF- ORL),PHI,31.7,13.6,3.4,2.5,1.3,22.83,$4800,4.76
Kent Bazemore (GF- ATL),POR,28.5,11.7,4.7,2.1,1.4,22.49,$5000,4.5
Nikola Mirotic (F- CHI),GS,26.8,11.7,6.2,1.3,0.9,22.49,$4800,4.69
Marcus Morris (F- DET),HOU,34.2,13.1,4.8,2.0,0.8,22.46,$5200,4.32
Trevor Ariza (GF- HOU),DET,32.4,11.1,4.8,2.0,1.6,22.16,$5200,4.26
Rodney Hood (GF- UTAH),NY,31.2,13.7,3.4,2.6,0.8,21.98,$5100,4.31
Tristan Thompson (FC- CLE),BKN,27.4,8.6,8.7,0.8,0.5,21.94,$4500,4.88
Robin Lopez (C- NY),UTAH,27.3,9.7,7.1,1.4,0.3,21.92,$4700,4.66
Marcus Smart (PG- BOS),TOR,29.3,10.0,4.3,3.3,1.5,21.91,$5400,4.06
Arron Afflalo (GF- NY),UTAH,33,14.1,3.6,2.0,0.5,21.72,$5300,4.1
Joe Johnson (GF- BKN),CLE,34.7,12.3,3.8,3.4,0.7,21.66,$5500,3.94
Roy Hibbert (C- LAL),SAC,25.5,8.3,7.3,1.3,0.4,21.41,$3900,5.49
Gorgui Dieng (FC- MIN),DAL,25.1,8.2,6.9,1.3,1.1,21.23,$4700,4.52
Jeremy Lin (G- CHA),OKC,26.8,12.1,2.9,3.3,0.7,21.03,$5300,3.97
Evan Turner (GF- BOS),TOR,27.3,9.3,4.3,4.0,1.0,20.96,$4800,4.37
Marvin Williams (F- CHA),OKC,30,9.7,6,1.3,0.6,20.95,$5000,4.19
Ersan Ilyasova (F- DET),HOU,27.2,11.6,5.2,1.2,0.6,20.84,$5800,3.59
Avery Bradley (G- BOS),TOR,29.7,13.2,2.8,1.9,1.2,20.81,$5400,3.85
Enes Kanter (C- OKC),CHA,22.8,9.9,7,0.6,0.3,20.8,$4300,4.84
Andrew Bogut (C- GS),CHI,23.9,6.4,7.4,1.4,0.4,20.78,$4300,4.83
Andre Iguodala (GF- GS),CHI,28.7,8.3,4.2,3.6,1.4,20.74,$4400,4.71
Cody Zeller (FC- CHA),OKC,25,9.2,6.3,1.1,0.8,20.61,$4900,4.21
Harrison Barnes (F- GS),CHI,28.3,11.5,4.4,1.5,0.9,20.53,$4700,4.37
Taj Gibson (FC- CHI),GS,26,8.1,7.2,1.2,0.6,20.44,$4900,4.17
Zach LaVine (G- MIN),DAL,25.1,11.9,2.9,3.5,0.7,20.23,$4100,4.93
Kosta Koufos (FC- SAC),LAL,22.6,8.0,6.8,0.5,0.6,20.21,$3500,5.77
Terrence Jones (F- HOU),DET,25.1,10.5,5.8,1.0,0.4,20.16,$4400,4.58
Luis Scola (FC- TOR),BOS,23.9,9.8,6,1.0,0.7,20.1,$4000,5.03
Wesley Matthews (GF- DAL),MIN,32.1,12.8,2.9,1.8,0.9,20.08,$4800,4.18
Patrick Beverley (G- HOU),DET,28.5,10.4,2.9,3.3,1.2,20.03,$4100,4.89
Raymond Felton (G- DAL),MIN,27.3,9.9,3.3,3.6,0.9,19.96,$4200,4.75
Ed Davis (FC- POR),ATL,23.1,7.3,7.7,1.0,0.6,19.94,$4200,4.75
Matthew Dellavedova (G- CLE),BKN,26.9,9.3,2.5,4.9,0.7,19.85,$4100,4.84
Festus Ezeli (C- GS),CHI,20.8,8.1,6.4,0.7,0.4,19.83,$4000,4.96
Clint Capela (FC- HOU),DET,20.9,8.0,6.7,0.7,0.7,19.79,$4600,4.3
Jerami Grant (F- PHI),ORL,25.8,9.2,5,1.2,0.6,19.7,$3900,5.05
Kelly Olynyk (C- BOS),TOR,21.5,9.9,4.6,1.5,0.9,19.47,$4800,4.06
J.R. Smith (GF- CLE),BKN,28,11.3,3.1,1.7,1.0,19.37,$4900,3.95
Nene Hilario (FC- WSH),MIA,20.3,9.4,4.8,2.0,0.9,19.26,$4100,4.7
Trey Burke (PG- UTAH),NY,25.2,12.4,2.2,2.9,0.6,19.19,$4900,3.92
Chandler Parsons (F- DAL),MIN,27.8,11.2,3.7,2.1,0.6,19.09,$5400,3.54
Steven Adams (C- OKC),CHA,23.9,7.1,6.7,0.5,0.4,18.69,$4300,4.35
Amir Johnson (FC- BOS),TOR,23.9,7.0,5.8,1.3,0.7,18.61,$5100,3.65
Juan Jose Barea (PG- DAL),MIN,22.9,10.0,2.1,4.2,0.6,18.52,$3900,4.75
Luol Deng (F- MIA),WSH,30.1,9.9,4,1.5,0.8,18.35,$4300,4.27
Meyers Leonard (FC- POR),ATL,24.8,9.2,5.5,1.3,0.2,17.95,$3900,4.6
Allen Crabbe (G- POR),ATL,27.8,11.0,3.1,1.4,0.8,17.92,$4600,3.9
Jeremy Lamb (GF- CHA),OKC,21.8,10.4,4.2,1.2,0.5,17.84,$4600,3.88
Cory Joseph (PG- TOR),BOS,26.2,9.4,2.4,3.0,0.9,17.78,$3700,4.81
Tyler Johnson (G- MIA),WSH,24.8,9.2,3,2.5,0.9,17.65,$4500,3.92
Jose Calderon (PG- NY),UTAH,27.2,7.8,2.5,4.0,0.9,17.6,$4700,3.74
Ramon Sessions (G- WSH),MIA,22.6,9.7,2.6,2.9,0.7,17.57,$4400,3.99
Bismack Biyombo (C- TOR),BOS,22.4,5.9,7.9,0.5,0.2,17.43,$4300,4.05
Jared Dudley (GF- WSH),MIA,29.1,8.9,3.9,1.7,0.9,17.33,$4400,3.94
Dwight Powell (PF- DAL),MIN,19.6,7.9,5.6,0.8,0.6,17.32,$3600,4.81
Aaron Gordon (F- ORL),PHI,19.9,7.5,5.2,1.1,0.6,17.29,$4200,4.12
Thabo Sefolosha (GF- ATL),POR,23.1,7.3,4.1,1.4,1.4,17.22,$4400,3.91
Donald Sloan (G- BKN),CLE,23.4,7.2,2.7,4.7,0.5,16.89,$4400,3.84
Gerald Green (GF- MIA),WSH,27.2,11.3,2.6,1.1,0.6,16.87,$3700,4.56
Dion Waiters (GF- OKC),CHA,26.2,9.2,2.9,2.3,1.0,16.73,$4200,3.98
Kyle Korver (GF- ATL),POR,28.7,9.0,3.2,1.9,0.8,16.69,$3800,4.39
Isaiah Canaan (PG- PHI),ORL,25.3,9.9,2.2,2.5,0.7,16.49,$3800,4.34
Shane Larkin (PG- BKN),CLE,22.3,6.6,2.3,4.1,1.2,16.41,$4000,4.1
Marco Belinelli (GF- SAC),LAL,26,11.0,2.1,2.0,0.4,16.32,$4000,4.08
Ty Lawson (PG- HOU),DET,24.4,6.8,2,4.4,1.0,16.3,$3600,4.53
Trevor Booker (PF- UTAH),NY,22.5,5.5,6.3,0.9,0.9,16.21,$4300,3.77
Frank Kaminsky (FC- CHA),OKC,22.7,8.1,4.3,1.1,0.5,16.01,$4300,3.72
Langston Galloway (G- NY),UTAH,24.6,8.0,3.3,2.1,0.7,16.01,$3800,4.21
Brandon Bass (FC- LAL),SAC,18.8,7.1,4.9,1.0,0.5,15.98,$3900,4.1
Shabazz Muhammad (GF- MIN),DAL,22.5,10.7,3.2,1.0,0.4,15.94,$3800,4.19
Gary Neal (G- WSH),MIA,22.6,10.4,2.4,1.3,0.7,15.93,$3900,4.08
Willie Cauley-Stein (C- SAC),LAL,18.6,5.6,5.2,0.6,0.5,15.84,$3600,4.4
Aaron Brooks (PG- CHI),GS,19.1,9.4,2,2.9,0.4,15.75,$3700,4.26
Iman Shumpert (GF- CLE),BKN,24.9,7.3,3.1,1.9,1.0,15.67,$3800,4.12
Timofey Mozgov (C- CLE),BKN,19.3,6.9,4.9,0.5,0.4,15.33,$3500,4.38
Corey Brewer (GF- HOU),DET,21.3,7.9,2.8,1.6,1.1,14.96,$3700,4.04
Justise Winslow (F- MIA),WSH,26.3,6.3,4.5,1.5,0.8,14.95,$3500,4.27
