PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (6300037),Russell Westbrook,6300037,10800,OKC@Mil 03:30PM ET,OKC,
,,,,,,,,,PG,Stephen Curry (6300051),Stephen Curry,6300051,10600,GS@LAL 03:30PM ET,GS,
,,,,,,,,,SG,James Harden (6300082),James Harden,6300082,10500,Hou@Tor 06:30PM ET,Hou,
,,,,,,,,,SF,Kevin Durant (6300116),Kevin Durant,6300116,10400,OKC@Mil 03:30PM ET,OKC,
,,,,,,,,,PG,Damian Lillard (6300075),Damian Lillard,6300075,9200,Por@Det 06:00PM ET,Por,
,,,,,,,,,PG,Kyle Lowry (6300045),Kyle Lowry,6300045,8800,Hou@Tor 06:30PM ET,Tor,
,,,,,,,,,PF,Draymond Green (6300175),Draymond Green,6300175,8500,GS@LAL 03:30PM ET,GS,
,,,,,,,,,C,Hassan Whiteside (6300227),Hassan Whiteside,6300227,8400,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Eric Bledsoe (6300094),Eric Bledsoe,6300094,8100,Pho@Mem 04:00PM ET,Pho,
,,,,,,,,,SF,Giannis Antetokounmpo (6300119),Giannis Antetokounmpo,6300119,8100,OKC@Mil 03:30PM ET,Mil,
,,,,,,,,,C,Dwight Howard (6300209),Dwight Howard,6300209,7900,Hou@Tor 06:30PM ET,Hou,
,,,,,,,,,C,Andre Drummond (6300240),Andre Drummond,6300240,7700,Por@Det 06:00PM ET,Det,
,,,,,,,,,SG,DeMar DeRozan (6300083),DeMar DeRozan,6300083,7600,Hou@Tor 06:30PM ET,Tor,
,,,,,,,,,SG,Klay Thompson (6300090),Klay Thompson,6300090,7500,GS@LAL 03:30PM ET,GS,
,,,,,,,,,SG,Khris Middleton (6300078),Khris Middleton,6300078,7500,OKC@Mil 03:30PM ET,Mil,
,,,,,,,,,SG,Dwyane Wade (6300098),Dwyane Wade,6300098,7200,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Goran Dragic (6300062),Goran Dragic,6300062,7000,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,C,Marc Gasol (6300223),Marc Gasol,6300223,6900,Pho@Mem 04:00PM ET,Mem,
,,,,,,,,,SG,C.J. McCollum (6300111),C.J. McCollum,6300111,6900,Por@Det 06:00PM ET,Por,
,,,,,,,,,PG,Brandon Knight (6300059),Brandon Knight,6300059,6900,Pho@Mem 04:00PM ET,Pho,
,,,,,,,,,SF,Chandler Parsons (6300148),Chandler Parsons,6300148,6800,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PF,Chris Bosh (6300185),Chris Bosh,6300185,6700,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Mike Conley (6300057),Mike Conley,6300057,6700,Pho@Mem 04:00PM ET,Mem,
,,,,,,,,,PG,Reggie Jackson (6300074),Reggie Jackson,6300074,6600,Por@Det 06:00PM ET,Det,
,,,,,,,,,PF,Zach Randolph (6300180),Zach Randolph,6300180,6500,Pho@Mem 04:00PM ET,Mem,
,,,,,,,,,PF,Jabari Parker (6300165),Jabari Parker,6300165,6500,OKC@Mil 03:30PM ET,Mil,
,,,,,,,,,PG,D'Angelo Russell (6300054),D'Angelo Russell,6300054,6500,GS@LAL 03:30PM ET,LAL,
,,,,,,,,,PG,Ish Smith (6300061),Ish Smith,6300061,6400,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Danilo Gallinari (6300149),Danilo Gallinari,6300149,6400,Dal@Den 05:00PM ET,Den,
,,,,,,,,,C,Greg Monroe (6300206),Greg Monroe,6300206,6300,OKC@Mil 03:30PM ET,Mil,
,,,,,,,,,PF,Dirk Nowitzki (6300192),Dirk Nowitzki,6300192,6200,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Tobias Harris (6300156),Tobias Harris,6300156,6200,Por@Det 06:00PM ET,Det,
,,,,,,,,,C,Alex Len (6300224),Alex Len,6300224,6100,Pho@Mem 04:00PM ET,Pho,
,,,,,,,,,PF,Julius Randle (6300178),Julius Randle,6300178,6100,GS@LAL 03:30PM ET,LAL,
,,,,,,,,,SF,Trevor Ariza (6300121),Trevor Ariza,6300121,6000,Hou@Tor 06:30PM ET,Hou,
,,,,,,,,,PF,Kenneth Faried (6300196),Kenneth Faried,6300196,6000,Dal@Den 05:00PM ET,Den,
,,,,,,,,,SF,Luol Deng (6300142),Luol Deng,6300142,5900,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PF,Serge Ibaka (6300161),Serge Ibaka,6300161,5900,OKC@Mil 03:30PM ET,OKC,
,,,,,,,,,SG,Will Barton (6300107),Will Barton,6300107,5900,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PF,Nerlens Noel (6300190),Nerlens Noel,6300190,5900,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,C,Nikola Jokic (6300235),Nikola Jokic,6300235,5800,Dal@Den 05:00PM ET,Den,
,,,,,,,,,C,Jahlil Okafor (6300229),Jahlil Okafor,6300229,5800,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Robert Covington (6300143),Robert Covington,6300143,5700,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,PG,Jordan Clarkson (6300052),Jordan Clarkson,6300052,5700,GS@LAL 03:30PM ET,LAL,
,,,,,,,,,PG,Emmanuel Mudiay (6300071),Emmanuel Mudiay,6300071,5700,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PG,Deron Williams (6300068),Deron Williams,6300068,5600,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Joe Johnson (6300141),Joe Johnson,6300141,5500,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SF,Wilson Chandler (6300146),Wilson Chandler,6300146,5400,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PG,Michael Carter-Williams (6300041),Michael Carter-Williams,6300041,5400,OKC@Mil 03:30PM ET,Mil,
,,,,,,,,,SG,Kobe Bryant (6300086),Kobe Bryant,6300086,5300,GS@LAL 03:30PM ET,LAL,
,,,,,,,,,C,Zaza Pachulia (6300230),Zaza Pachulia,6300230,5200,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Mirza Teletovic (6300139),Mirza Teletovic,6300139,5200,Pho@Mem 04:00PM ET,Pho,
,,,,,,,,,SF,Marcus Morris (6300154),Marcus Morris,6300154,5100,Por@Det 06:00PM ET,Det,
,,,,,,,,,SF,Harrison Barnes (6300133),Harrison Barnes,6300133,5100,GS@LAL 03:30PM ET,GS,
,,,,,,,,,C,Jonas Valanciunas (6300210),Jonas Valanciunas,6300210,5100,Hou@Tor 06:30PM ET,Tor,
,,,,,,,,,SF,Jerami Grant (6300144),Jerami Grant,6300144,5100,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Matt Barnes (6300134),Matt Barnes,6300134,5000,Pho@Mem 04:00PM ET,Mem,
