PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,DeMarcus Cousins (6159833),DeMarcus Cousins,6159833,11200,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,PG,Chris Paul (6159749),Chris Paul,6159749,9400,LAC@Mia 02:00PM ET,LAC,
,,,,,,,,,PF,Blake Griffin (6159827),Blake Griffin,6159827,8600,LAC@Mia 02:00PM ET,LAC,
,,,,,,,,,SF,Carmelo Anthony (6159814),Carmelo Anthony,6159814,8500,Den@NY 01:00PM ET,NY,
,,,,,,,,,PG,Rajon Rondo (6159753),Rajon Rondo,6159753,8000,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,PF,Paul Millsap (6159837),Paul Millsap,6159837,7900,Atl@Orl 01:00PM ET,Atl,
,,,,,,,,,C,DeAndre Jordan (6159850),DeAndre Jordan,6159850,7800,LAC@Mia 02:00PM ET,LAC,
,,,,,,,,,PG,Isaiah Thomas (6159755),Isaiah Thomas,6159755,7500,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,C,Hassan Whiteside (6159852),Hassan Whiteside,6159852,7400,LAC@Mia 02:00PM ET,Mia,
,,,,,,,,,C,Nikola Vucevic (6159860),Nikola Vucevic,6159860,7300,Atl@Orl 01:00PM ET,Orl,
,,,,,,,,,SG,Dwyane Wade (6159772),Dwyane Wade,6159772,7200,LAC@Mia 02:00PM ET,Mia,
,,,,,,,,,PF,Chris Bosh (6159822),Chris Bosh,6159822,7100,LAC@Mia 02:00PM ET,Mia,
,,,,,,,,,PF,Kristaps Porzingis (6159848),Kristaps Porzingis,6159848,7000,Den@NY 01:00PM ET,NY,
,,,,,,,,,SF,Danilo Gallinari (6159817),Danilo Gallinari,6159817,6900,Den@NY 01:00PM ET,Den,
,,,,,,,,,SG,Victor Oladipo (6159790),Victor Oladipo,6159790,6900,Atl@Orl 01:00PM ET,Orl,
,,,,,,,,,SF,Rudy Gay (6159806),Rudy Gay,6159806,6800,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,C,Al Horford (6159858),Al Horford,6159858,6600,Atl@Orl 01:00PM ET,Atl,
,,,,,,,,,C,Nikola Jokic (6159867),Nikola Jokic,6159867,6500,Den@NY 01:00PM ET,Den,
,,,,,,,,,PG,Jeff Teague (6159760),Jeff Teague,6159760,6000,Atl@Orl 01:00PM ET,Atl,
,,,,,,,,,SF,Jae Crowder (6159809),Jae Crowder,6159809,5800,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,SG,Will Barton (6159797),Will Barton,6159797,5700,Den@NY 01:00PM ET,Den,
,,,,,,,,,PF,Kenneth Faried (6159845),Kenneth Faried,6159845,5600,Den@NY 01:00PM ET,Den,
,,,,,,,,,SF,Tobias Harris (6159812),Tobias Harris,6159812,5600,Atl@Orl 01:00PM ET,Orl,
,,,,,,,,,PG,Emmanuel Mudiay (6159770),Emmanuel Mudiay,6159770,5600,Den@NY 01:00PM ET,Den,
,,,,,,,,,SF,Wilson Chandler (6159815),Wilson Chandler,6159815,5500,Den@NY 01:00PM ET,Den,
,,,,,,,,,SG,Avery Bradley (6159782),Avery Bradley,6159782,5500,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,PF,Aaron Gordon (6159841),Aaron Gordon,6159841,5500,Atl@Orl 01:00PM ET,Orl,
,,,,,,,,,SG,Evan Turner (6159780),Evan Turner,6159780,5400,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,PG,Goran Dragic (6159751),Goran Dragic,6159751,5400,LAC@Mia 02:00PM ET,Mia,
,,,,,,,,,C,Robin Lopez (6159864),Robin Lopez,6159864,5300,Den@NY 01:00PM ET,NY,
,,,,,,,,,SF,Kent Bazemore (6159811),Kent Bazemore,6159811,5200,Atl@Orl 01:00PM ET,Atl,
,,,,,,,,,SF,Omri Casspi (6159807),Omri Casspi,6159807,5200,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,SG,Arron Afflalo (6159795),Arron Afflalo,6159795,5100,Den@NY 01:00PM ET,NY,
,,,,,,,,,C,Willie Cauley-Stein (6159857),Willie Cauley-Stein,6159857,5100,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,SG,Langston Galloway (6159796),Langston Galloway,6159796,5000,Den@NY 01:00PM ET,NY,
,,,,,,,,,C,Jared Sullinger (6159856),Jared Sullinger,6159856,5000,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,PG,Elfrid Payton (6159764),Elfrid Payton,6159764,5000,Atl@Orl 01:00PM ET,Orl,
,,,,,,,,,PG,Marcus Smart (6159757),Marcus Smart,6159757,5000,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,PG,Dennis Schroder (6159765),Dennis Schroder,6159765,5000,Atl@Orl 01:00PM ET,Atl,
,,,,,,,,,SG,J.J. Redick (6159773),J.J. Redick,6159773,4900,LAC@Mia 02:00PM ET,LAC,
,,,,,,,,,SG,Jamal Crawford (6159771),Jamal Crawford,6159771,4800,LAC@Mia 02:00PM ET,LAC,
,,,,,,,,,PG,Darren Collison (6159754),Darren Collison,6159754,4800,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,SF,Derrick Williams (6159818),Derrick Williams,6159818,4700,Den@NY 01:00PM ET,NY,
,,,,,,,,,SF,Luol Deng (6159800),Luol Deng,6159800,4600,LAC@Mia 02:00PM ET,Mia,
,,,,,,,,,PF,Amir Johnson (6159830),Amir Johnson,6159830,4600,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,SG,Marco Belinelli (6159779),Marco Belinelli,6159779,4600,Sac@Bos 01:00PM ET,Sac,
,,,,,,,,,SG,Evan Fournier (6159791),Evan Fournier,6159791,4500,Atl@Orl 01:00PM ET,Orl,
,,,,,,,,,PG,Jose Calderon (6159768),Jose Calderon,6159768,4400,Den@NY 01:00PM ET,NY,
,,,,,,,,,C,Kelly Olynyk (6159855),Kelly Olynyk,6159855,4400,Sac@Bos 01:00PM ET,Bos,
,,,,,,,,,SG,Gary Harris (6159798),Gary Harris,6159798,4400,Den@NY 01:00PM ET,Den,
,,,,,,,,,SF,Justise Winslow (6159804),Justise Winslow,6159804,4300,LAC@Mia 02:00PM ET,Mia,
