PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,Thomas Robinson (6252866),Thomas Robinson,6252866,3000,Bkn@Uta 09:30PM ET,Bkn,
,,,,,,,,,C,Tibor Pleiss (6252877),Tibor Pleiss,6252877,3000,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,SG,Joe Ingles (6252841),Joe Ingles,6252841,3000,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,SG,James Ennis (6252849),James Ennis,6252849,3000,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,SF,Sergey Karasev (6252854),Sergey Karasev,6252854,3000,Bkn@Uta 09:30PM ET,Bkn,
,,,,,,,,,SG,Jordan Adams (6252850),Jordan Adams,6252850,3000,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,PF,Jarell Martin (6252874),Jarell Martin,6252874,3000,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,PG,Danté Exum (6252831),Danté Exum,6252831,3000,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,PF,Trey Lyles (6252867),Trey Lyles,6252867,3000,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,PF,Chris McCullough (6252868),Chris McCullough,6252868,3000,Bkn@Uta 09:30PM ET,Bkn,
