Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
32,349515496,MunySquad (3/9),0,300.25,PG Michael Carter-Williams SG Kentavious Caldwell-Pope SF Andre Iguodala PF Serge Ibaka C Steven Adams F Kevin Durant G Reggie Jackson UTIL Andre Drummond
34,349520865,CZYX (44/50),0,300,PG Michael Carter-Williams SG Klay Thompson SF Andre Iguodala PF Draymond Green C Aron Baynes F Kevin Durant G Andre Roberson UTIL Andre Drummond
34,349523951,gryan (5/50),0,300,PG Russell Westbrook SG Klay Thompson SF Andre Iguodala PF Serge Ibaka C Steven Adams F Kevin Durant G O.J. Mayo UTIL Andre Roberson
36,349487337,hoaglanr (10/50),0,299.5,PG Reggie Jackson SG Klay Thompson SF Kevin Durant PF Draymond Green C Steven Adams F Marcus Morris G Dion Waiters UTIL Miles Plumlee
36,349523972,gryan (26/50),0,299.5,PG Stephen Curry SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Andrew Bogut F Kevin Durant G Khris Middleton UTIL Steven Adams
38,349506248,hegotgame1980,0,299.25,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Reggie Bullock PF Serge Ibaka C Miles Plumlee F Andre Iguodala G Stephen Curry UTIL Reggie Jackson
39,349507303,jpwilson1993 (1/2),0,299,PG Stephen Curry SG O.J. Mayo SF Marcus Morris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Randy Foye UTIL Draymond Green
39,349530695,jpwilson1993 (2/2),0,299,PG Stephen Curry SG O.J. Mayo SF Marcus Morris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Randy Foye UTIL Draymond Green
41,349513021,bravepacker,0,298.75,PG Michael Carter-Williams SG Khris Middleton SF Kevin Durant PF Draymond Green C Miles Plumlee F Reggie Bullock G Kentavious Caldwell-Pope UTIL Klay Thompson
42,349507419,tayman47 (1/4),0,298.5,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Andre Iguodala PF Serge Ibaka C Steven Adams F Marcus Morris G Stephen Curry UTIL Miles Plumlee
42,349513762,Shaffner (32/50),0,298.5,PG Reggie Jackson SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Anderson Varejao F Andre Iguodala G Stephen Curry UTIL Steven Adams
42,349530828,Pinkman187 (11/50),0,298.5,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Marcus Morris PF Serge Ibaka C Miles Plumlee F Andre Iguodala G Stephen Curry UTIL Steven Adams
45,349511867,Roberto123321,0,298.25,PG Stephen Curry SG Klay Thompson SF Marcus Morris PF Serge Ibaka C Enes Kanter F Draymond Green G Dion Waiters UTIL Miles Plumlee
46,349504736,moehlecl (1/4),0,297.5,PG Russell Westbrook SG Klay Thompson SF Kevin Durant PF Serge Ibaka C Marreese Speights F Marcus Morris G Shaun Livingston UTIL Miles Plumlee
47,349501506,BC13BC13,0,297.25,PG Stephen Curry SG O.J. Mayo SF Kevin Durant PF Draymond Green C Miles Plumlee F Reggie Bullock G Leandro Barbosa UTIL Reggie Jackson
47,349507911,Alsweets (1/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349507922,Alsweets (2/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349507930,Alsweets (3/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349507935,Alsweets (4/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349507949,Alsweets (5/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515442,Alsweets (6/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515445,Alsweets (7/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515448,Alsweets (8/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515458,Alsweets (9/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515464,Alsweets (10/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515466,Alsweets (11/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349515469,Alsweets (12/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349523276,Alsweets (13/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349523287,Alsweets (14/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349523290,Alsweets (15/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349531305,Alsweets (16/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349531307,Alsweets (17/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349531329,Alsweets (18/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349531331,Alsweets (19/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
47,349531347,Alsweets (20/20),0,297.25,PG Stephen Curry SG Dion Waiters SF Tobias Harris PF Serge Ibaka C Steven Adams F Reggie Bullock G Khris Middleton UTIL Draymond Green
68,349511007,gizmoyo03 (3/3),0,296.75,PG Stephen Curry SG O.J. Mayo SF Andre Iguodala PF Serge Ibaka C Miles Plumlee F Marcus Morris G Michael Carter-Williams UTIL Kevin Durant
69,349495988,Kennethroberts,0,296.25,PG Reggie Jackson SG Khris Middleton SF Kevin Durant PF Draymond Green C Miles Plumlee F Andre Iguodala G Dion Waiters UTIL Marcus Morris
69,349515546,Popp1nbottl3z,0,296.25,PG Reggie Jackson SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Marreese Speights F Andre Iguodala G Stephen Curry UTIL O.J. Mayo
69,349520841,CZYX (20/50),0,296.25,PG Russell Westbrook SG Khris Middleton SF Tobias Harris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Andre Roberson UTIL Steven Adams
