PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Stephen Curry (6302728),Stephen Curry,6302728,10600,Orl@GS 10:30PM ET,GS,
,,,,,,,,,PF,DeMarcus Cousins (6302930),DeMarcus Cousins,6302930,10200,Sac@NO 08:00PM ET,Sac,
,,,,,,,,,PF,Anthony Davis (6302932),Anthony Davis,6302932,10000,Sac@NO 08:00PM ET,NO,
,,,,,,,,,PG,Chris Paul (6302757),Chris Paul,6302757,9700,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,SF,LeBron James (6302867),LeBron James,6302867,9600,Mem@Cle 07:00PM ET,Cle,
,,,,,,,,,PF,Draymond Green (6302924),Draymond Green,6302924,8500,Orl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Jimmy Butler (6302786),Jimmy Butler,6302786,8400,Mil@Chi 08:00PM ET,Chi,
,,,,,,,,,C,Pau Gasol (6302984),Pau Gasol,6302984,8300,Mil@Chi 08:00PM ET,Chi,
,,,,,,,,,PF,Blake Griffin (6302957),Blake Griffin,6302957,8300,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,C,Karl-Anthony Towns (6303016),Karl-Anthony Towns,6303016,8300,Min@Cha 07:00PM ET,Min,
,,,,,,,,,SF,Kawhi Leonard (6302873),Kawhi Leonard,6302873,8200,SA@Ind 07:00PM ET,SA,
,,,,,,,,,SF,Giannis Antetokounmpo (6302851),Giannis Antetokounmpo,6302851,8200,Mil@Chi 08:00PM ET,Mil,
,,,,,,,,,SF,Paul George (6302871),Paul George,6302871,8100,SA@Ind 07:00PM ET,Ind,
,,,,,,,,,PG,Rajon Rondo (6302732),Rajon Rondo,6302732,8000,Sac@NO 08:00PM ET,Sac,
,,,,,,,,,PG,Kemba Walker (6302749),Kemba Walker,6302749,8000,Min@Cha 07:00PM ET,Cha,
,,,,,,,,,PG,Jrue Holiday (6302736),Jrue Holiday,6302736,7700,Sac@NO 08:00PM ET,NO,
,,,,,,,,,C,DeAndre Jordan (6303019),DeAndre Jordan,6303019,7600,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,C,Nikola Vucevic (6302993),Nikola Vucevic,6302993,7500,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,SG,Klay Thompson (6302790),Klay Thompson,6302790,7500,Orl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Khris Middleton (6302787),Khris Middleton,6302787,7500,Mil@Chi 08:00PM ET,Mil,
,,,,,,,,,PG,Kyrie Irving (6302742),Kyrie Irving,6302742,7400,Mem@Cle 07:00PM ET,Cle,
,,,,,,,,,SG,Victor Oladipo (6302792),Victor Oladipo,6302792,7100,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,C,Marc Gasol (6303003),Marc Gasol,6303003,6900,Mem@Cle 07:00PM ET,Mem,
,,,,,,,,,PF,Kevin Love (6302936),Kevin Love,6302936,6900,Mem@Cle 07:00PM ET,Cle,
,,,,,,,,,PF,LaMarcus Aldridge (6302943),LaMarcus Aldridge,6302943,6800,SA@Ind 07:00PM ET,SA,
,,,,,,,,,SF,Chandler Parsons (6302886),Chandler Parsons,6302886,6800,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,SG,Nicolas Batum (6302814),Nicolas Batum,6302814,6800,Min@Cha 07:00PM ET,Cha,
,,,,,,,,,PG,Mike Conley (6302740),Mike Conley,6302740,6700,Mem@Cle 07:00PM ET,Mem,
,,,,,,,,,SG,Tyreke Evans (6302798),Tyreke Evans,6302798,6700,Sac@NO 08:00PM ET,NO,
,,,,,,,,,PG,Derrick Rose (6302722),Derrick Rose,6302722,6600,Mil@Chi 08:00PM ET,Chi,
,,,,,,,,,PF,Zach Randolph (6302933),Zach Randolph,6302933,6500,Mem@Cle 07:00PM ET,Mem,
,,,,,,,,,PG,Ricky Rubio (6302750),Ricky Rubio,6302750,6500,Min@Cha 07:00PM ET,Min,
