"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",11400,"Sac@Mem 08:00PM ET",50.770,"Sac"
"PG","Stephen Curry",10600,"GS@Phi 05:00PM ET",52.188,"GS"
"SG","James Harden",10100,"Was@Hou 08:00PM ET",49.607,"Hou"
"PF","Anthony Davis",9800,"Bkn@NO 07:00PM ET",45.731,"NO"
"SF","LeBron James",9500,"SA@Cle 08:30PM ET",46.784,"Cle"
"PG","John Wall",9400,"Was@Hou 08:00PM ET",44.563,"Was"
"SF","Paul George",8900,"Den@Ind 07:00PM ET",42.641,"Ind"
"PF","Draymond Green",8800,"GS@Phi 05:00PM ET",42.711,"GS"
"PG","Kyle Lowry",8700,"Det@Tor 06:30PM ET",42.603,"Tor"
"C","Andre Drummond",8600,"Det@Tor 06:30PM ET",43.947,"Det"
"PG","Rajon Rondo",8500,"Sac@Mem 08:00PM ET",41.119,"Sac"
"SF","Kawhi Leonard",8200,"SA@Cle 08:30PM ET",38.102,"SA"
"SG","DeMar DeRozan",8000,"Det@Tor 06:30PM ET",36.755,"Tor"
"C","Dwight Howard",7500,"Was@Hou 08:00PM ET",36.083,"Hou"
"C","Marc Gasol",7500,"Sac@Mem 08:00PM ET",35.133,"Mem"
"SG","Tyreke Evans",7400,"Bkn@NO 07:00PM ET",34.210,"NO"
"SG","Klay Thompson",7300,"GS@Phi 05:00PM ET",32.381,"GS"
"PF","LaMarcus Aldridge",7200,"SA@Cle 08:30PM ET",31.131,"SA"
"SF","Danilo Gallinari",7200,"Den@Ind 07:00PM ET",32.774,"Den"
"PG","Ish Smith",7100,"GS@Phi 05:00PM ET",27.686,"Phi"
"C","Brook Lopez",7100,"Bkn@NO 07:00PM ET",37.431,"Bkn"
"PF","Kevin Love",7100,"SA@Cle 08:30PM ET",36.550,"Cle"
"PG","Jrue Holiday",7100,"Bkn@NO 07:00PM ET",28.147,"NO"
"C","Marcin Gortat",7000,"Was@Hou 08:00PM ET",32.118,"Was"
"PG","Reggie Jackson",7000,"Det@Tor 06:30PM ET",34.745,"Det"
"PF","Ryan Anderson",6900,"Bkn@NO 07:00PM ET",29.064,"NO"
"SF","Rudy Gay",6800,"Sac@Mem 08:00PM ET",31.976,"Sac"
"SG","Monta Ellis",6800,"Den@Ind 07:00PM ET",28.761,"Ind"
"PF","Nerlens Noel",6700,"GS@Phi 05:00PM ET",28.591,"Phi"
"PG","Kyrie Irving",6400,"SA@Cle 08:30PM ET",27.447,"Cle"
"PG","Jarrett Jack",6300,"Bkn@NO 07:00PM ET",31.078,"Bkn"
"PF","Thaddeus Young",6300,"Bkn@NO 07:00PM ET",32.266,"Bkn"
"SG","Bradley Beal",6300,"Was@Hou 08:00PM ET",30.348,"Was"
"SF","Otto Porter",6300,"Was@Hou 08:00PM ET",26.392,"Was"
"PG","Mike Conley",6200,"Sac@Mem 08:00PM ET",30.585,"Mem"
"C","Jonas Valanciunas",6200,"Det@Tor 06:30PM ET",28.647,"Tor"
"C","Jahlil Okafor",6100,"GS@Phi 05:00PM ET",30.713,"Phi"
"SF","Robert Covington",6000,"GS@Phi 05:00PM ET",25.079,"Phi"
"SG","Will Barton",5900,"Den@Ind 07:00PM ET",29.612,"Den"
"PF","Zach Randolph",5800,"Sac@Mem 08:00PM ET",27.185,"Mem"
"PF","Kenneth Faried",5800,"Den@Ind 07:00PM ET",27.850,"Den"
"SF","Omri Casspi",5700,"Sac@Mem 08:00PM ET",25.043,"Sac"
"SG","Kentavious Caldwell-Pope",5700,"Det@Tor 06:30PM ET",26.160,"Det"
"PG","Emmanuel Mudiay",5700,"Den@Ind 07:00PM ET",25.629,"Den"
"PG","Norris Cole",5600,"Bkn@NO 07:00PM ET",18.714,"NO"
"SF","Trevor Ariza",5500,"Was@Hou 08:00PM ET",25.568,"Hou"
"SG","J.R. Smith",5500,"SA@Cle 08:30PM ET",22.061,"Cle"
"PF","Ersan Ilyasova",5500,"Det@Tor 06:30PM ET",22.761,"Det"
"SF","Wilson Chandler",5500,"Den@Ind 07:00PM ET",0,"Den"
"PF","Clint Capela",5500,"Was@Hou 08:00PM ET",21.385,"Hou"
"SF","Marcus Morris",5400,"Det@Tor 06:30PM ET",25.489,"Det"
"PG","Tony Parker",5300,"SA@Cle 08:30PM ET",24.976,"SA"
"C","Myles Turner",5300,"Den@Ind 07:00PM ET",17.698,"Ind"
"PG","George Hill",5200,"Den@Ind 07:00PM ET",25.872,"Ind"
"PF","Tristan Thompson",5200,"SA@Cle 08:30PM ET",22.144,"Cle"
"C","Willie Cauley-Stein",5200,"Sac@Mem 08:00PM ET",17.070,"Sac"
"C","Tim Duncan",5100,"SA@Cle 08:30PM ET",26.655,"SA"
"SF","Tony Allen",5000,"Sac@Mem 08:00PM ET",17.656,"Mem"
"SF","Jeff Green",5000,"Sac@Mem 08:00PM ET",21.649,"Mem"
"C","Ian Mahinmi",5000,"Den@Ind 07:00PM ET",22.909,"Ind"
"SF","Joe Johnson",4900,"Bkn@NO 07:00PM ET",23.287,"Bkn"
"SF","Matt Barnes",4900,"Sac@Mem 08:00PM ET",21.898,"Mem"
"C","Nikola Jokic",4900,"Den@Ind 07:00PM ET",21.300,"Den"
"SF","DeMarre Carroll",4800,"Det@Tor 06:30PM ET",23.261,"Tor"
"PG","Donald Sloan",4800,"Bkn@NO 07:00PM ET",15.361,"Bkn"
"SF","Harrison Barnes",4800,"GS@Phi 05:00PM ET",22.625,"GS"
"SG","Garrett Temple",4700,"Was@Hou 08:00PM ET",17.065,"Was"
"PG","Mario Chalmers",4700,"Sac@Mem 08:00PM ET",21.250,"Mem"
"SG","Manu Ginobili",4600,"SA@Cle 08:30PM ET",21.250,"SA"
"PF","Nene Hilario",4600,"Was@Hou 08:00PM ET",18.406,"Was"
"SF","Andre Iguodala",4600,"GS@Phi 05:00PM ET",21.196,"GS"
"SG","Eric Gordon",4600,"Bkn@NO 07:00PM ET",24.537,"NO"
"SF","Jerami Grant",4600,"GS@Phi 05:00PM ET",21.261,"Phi"
"SG","Gary Harris",4600,"Den@Ind 07:00PM ET",19.957,"Den"
"SG","Rondae Hollis-Jefferson",4600,"Bkn@NO 07:00PM ET",18.289,"Bkn"
"C","Andrew Bogut",4500,"GS@Phi 05:00PM ET",20.859,"GS"
"SF","Jared Dudley",4500,"Was@Hou 08:00PM ET",18.738,"Was"
"SF","C.J. Miles",4400,"Den@Ind 07:00PM ET",21.738,"Ind"
"SG","Danny Green",4400,"SA@Cle 08:30PM ET",17.761,"SA"
"SF","Alonzo Gee",4400,"Bkn@NO 07:00PM ET",11.861,"NO"
"PF","Terrence Jones",4400,"Was@Hou 08:00PM ET",19.029,"Hou"
"PF","David West",4300,"SA@Cle 08:30PM ET",16.144,"SA"
"PG","Jameer Nelson",4300,"Den@Ind 07:00PM ET",20.723,"Den"
"PF","Josh Smith",4300,"Was@Hou 08:00PM ET",16.304,"Hou"
"PG","Darren Collison",4300,"Sac@Mem 08:00PM ET",23.085,"Sac"
"SG","Rodney Stuckey",4200,"Den@Ind 07:00PM ET",19.386,"Ind"
"PF","Darrell Arthur",4200,"Den@Ind 07:00PM ET",16.864,"Den"
"PG","Patrick Beverley",4200,"Was@Hou 08:00PM ET",19.783,"Hou"
"PF","Luis Scola",4100,"Det@Tor 06:30PM ET",20.201,"Tor"
"PF","Jordan Hill",4100,"Den@Ind 07:00PM ET",21.077,"Ind"
"PG","Matthew Dellavedova",4100,"SA@Cle 08:30PM ET",20.295,"Cle"
"SG","Terrence Ross",4100,"Det@Tor 06:30PM ET",15.725,"Tor"
"SG","Courtney Lee",4000,"Sac@Mem 08:00PM ET",18.183,"Mem"
"SF","Stanley Johnson",4000,"Det@Tor 06:30PM ET",17.202,"Det"
"PG","Ramon Sessions",3900,"Was@Hou 08:00PM ET",18.665,"Was"
"SG","Marco Belinelli",3900,"Sac@Mem 08:00PM ET",17.087,"Sac"
"PG","Isaiah Canaan",3900,"GS@Phi 05:00PM ET",17.880,"Phi"
"SG","Ben McLemore",3900,"Sac@Mem 08:00PM ET",13.864,"Sac"
"C","Jusuf Nurkic",3900,"Den@Ind 07:00PM ET",15.600,"Den"
"SF","Corey Brewer",3800,"Was@Hou 08:00PM ET",14.857,"Hou"
"PF","Patrick Patterson",3800,"Det@Tor 06:30PM ET",15.908,"Tor"
"PG","Brandon Jennings",3800,"Det@Tor 06:30PM ET",14.516,"Det"
"C","Bismack Biyombo",3800,"Det@Tor 06:30PM ET",19.120,"Tor"
"PF","Boris Diaw",3700,"SA@Cle 08:30PM ET",15.620,"SA"
"PG","Ty Lawson",3700,"Was@Hou 08:00PM ET",16.339,"Hou"
"C","Lavoy Allen",3700,"Den@Ind 07:00PM ET",15.433,"Ind"
"C","Festus Ezeli",3700,"GS@Phi 05:00PM ET",19.050,"GS"
"SG","Iman Shumpert",3700,"SA@Cle 08:30PM ET",15.207,"Cle"
"PG","Cory Joseph",3700,"Det@Tor 06:30PM ET",17.962,"Tor"
"C","Boban Marjanovic",3700,"SA@Cle 08:30PM ET",12.339,"SA"
"SG","Bojan Bogdanovic",3700,"Bkn@NO 07:00PM ET",16.133,"Bkn"
"SG","Nik Stauskas",3700,"GS@Phi 05:00PM ET",14.921,"Phi"
"PG","Toney Douglas",3600,"Bkn@NO 07:00PM ET",13.229,"NO"
"SF","Marcus Thornton",3600,"Was@Hou 08:00PM ET",17.298,"Hou"
"PG","Patty Mills",3600,"SA@Cle 08:30PM ET",15.696,"SA"
"SG","Hollis Thompson",3600,"GS@Phi 05:00PM ET",16.394,"Phi"
"SG","Gary Neal",3500,"Was@Hou 08:00PM ET",15.986,"Was"
