PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF,LeBron James (6201242),LeBron James,6201242,9800,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PG,Chris Paul (6201223),Chris Paul,6201223,9000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,C,Pau Gasol (6201265),Pau Gasol,6201265,8700,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PF,Blake Griffin (6201264),Blake Griffin,6201264,8500,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SG,Jimmy Butler (6201231),Jimmy Butler,6201231,8500,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PG,Kyrie Irving (6201221),Kyrie Irving,6201221,8000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,C,DeAndre Jordan (6201272),DeAndre Jordan,6201272,7600,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Kawhi Leonard (6201248),Kawhi Leonard,6201248,7500,SA@LAC 10:30PM ET,SA,
,,,,,,,,,PF,Kevin Love (6201253),Kevin Love,6201253,7400,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PG,Derrick Rose (6201219),Derrick Rose,6201219,7300,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PF,LaMarcus Aldridge (6201261),LaMarcus Aldridge,6201261,6900,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SG,J.R. Smith (6201228),J.R. Smith,6201228,5500,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,C,Joakim Noah (6201267),Joakim Noah,6201267,5400,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,SG,E'Twaun Moore (6201229),E'Twaun Moore,6201229,5400,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PF,Taj Gibson (6201252),Taj Gibson,6201252,5300,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PF,Tristan Thompson (6201255),Tristan Thompson,6201255,5200,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,SG,Jamal Crawford (6201234),Jamal Crawford,6201234,5100,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,C,Tim Duncan (6201271),Tim Duncan,6201271,5000,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SG,J.J. Redick (6201236),J.J. Redick,6201236,4900,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,PG,Tony Parker (6201222),Tony Parker,6201222,4800,SA@LAC 10:30PM ET,SA,
,,,,,,,,,PF,Nikola Mirotic (6201256),Nikola Mirotic,6201256,4800,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,SG,Danny Green (6201237),Danny Green,6201237,4700,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SF,Wesley Johnson (6201246),Wesley Johnson,6201246,4600,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,PG,Patty Mills (6201224),Patty Mills,6201224,4500,SA@LAC 10:30PM ET,SA,
,,,,,,,,,PF,Bobby Portis (6201257),Bobby Portis,6201257,4400,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,SG,Manu Ginobili (6201233),Manu Ginobili,6201233,4000,SA@LAC 10:30PM ET,SA,
,,,,,,,,,PF,David West (6201259),David West,6201259,3900,SA@LAC 10:30PM ET,SA,
,,,,,,,,,PG,Matthew Dellavedova (6201220),Matthew Dellavedova,6201220,3800,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PG,Aaron Brooks (6201218),Aaron Brooks,6201218,3700,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,SG,Iman Shumpert (6201230),Iman Shumpert,6201230,3600,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PF,Boris Diaw (6201260),Boris Diaw,6201260,3500,SA@LAC 10:30PM ET,SA,
,,,,,,,,,C,Timofey Mozgov (6201269),Timofey Mozgov,6201269,3500,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,SF,Paul Pierce (6201245),Paul Pierce,6201245,3400,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,C,Boban Marjanovic (6201274),Boban Marjanovic,6201274,3300,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SF,Doug McDermott (6201244),Doug McDermott,6201244,3300,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,C,Cole Aldrich (6201273),Cole Aldrich,6201273,3200,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Tony Snell (6201243),Tony Snell,6201243,3200,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PG,Kirk Hinrich (6201216),Kirk Hinrich,6201216,3100,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,SF,Lance Stephenson (6201247),Lance Stephenson,6201247,3100,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Jonathon Simmons (6201249),Jonathon Simmons,6201249,3100,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SF,Kyle Anderson (6201251),Kyle Anderson,6201251,3100,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SF,Richard Jefferson (6201240),Richard Jefferson,6201240,3000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PF,Matt Bonner (6201258),Matt Bonner,6201258,3000,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SG,James Jones (6201227),James Jones,6201227,3000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PG,Mo Williams (6201217),Mo Williams,6201217,3000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,SG,Rasual Butler (6201235),Rasual Butler,6201235,3000,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SF,Mike Dunleavy (6201241),Mike Dunleavy,6201241,3000,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,C,Anderson Varejao (6201266),Anderson Varejao,6201266,3000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,C,Sasha Kaun (6201268),Sasha Kaun,6201268,3000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PF,Jeff Ayres (6201262),Jeff Ayres,6201262,3000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,PF,Luc Richard Mbah a Moute (6201263),Luc Richard Mbah a Moute,6201263,3000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SG,C.J. Wilcox (6201238),C.J. Wilcox,6201238,3000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SG,Jared Cunningham (6201232),Jared Cunningham,6201232,3000,Chi@Cle 08:00PM ET,Cle,
,,,,,,,,,PF,Cameron Bairstow (6201254),Cameron Bairstow,6201254,3000,Chi@Cle 08:00PM ET,Chi,
,,,,,,,,,PG,Pablo Prigioni (6201225),Pablo Prigioni,6201225,3000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,PG,Ray McCallum (6201226),Ray McCallum,6201226,3000,SA@LAC 10:30PM ET,SA,
,,,,,,,,,SG,Austin Rivers (6201239),Austin Rivers,6201239,3000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Branden Dawson (6201250),Branden Dawson,6201250,3000,SA@LAC 10:30PM ET,LAC,
,,,,,,,,,C,Cristiano Felicio (6201270),Cristiano Felicio,6201270,3000,Chi@Cle 08:00PM ET,Chi,
