"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10700,"Ind@Sac 10:30PM ET",49.750,"Sac"
"PF","Anthony Davis",10000,"Mil@NO 07:00PM ET",46.358,"NO"
"SF","LeBron James",9700,"Chi@Cle 08:30PM ET",46.706,"Cle"
"PG","Damian Lillard",9200,"LAL@Por 10:30PM ET",42.967,"Por"
"SF","Paul George",9000,"Ind@Sac 10:30PM ET",43.310,"Ind"
"C","Andre Drummond",8900,"Det@Den 09:30PM ET",45.093,"Det"
"C","Pau Gasol",8500,"Chi@Cle 08:30PM ET",39.923,"Chi"
"SG","Jimmy Butler",8500,"Chi@Cle 08:30PM ET",39.787,"Chi"
"PF","Paul Millsap",8400,"Atl@Pho 09:00PM ET",40.869,"Atl"
"PG","Rajon Rondo",8400,"Ind@Sac 10:30PM ET",40.656,"Sac"
"SF","Carmelo Anthony",8300,"NY@Cha 07:00PM ET",38.963,"NY"
"PG","Kemba Walker",8300,"NY@Cha 07:00PM ET",36.970,"Cha"
"SG","Eric Bledsoe",8300,"Atl@Pho 09:00PM ET",39.056,"Pho"
"C","Marc Gasol",7800,"Mem@Min 08:00PM ET",35.193,"Mem"
"SG","Tyreke Evans",7700,"Mil@NO 07:00PM ET",35.707,"NO"
"SF","Giannis Antetokounmpo",7400,"Mil@NO 07:00PM ET",32.256,"Mil"
"SG","Khris Middleton",7300,"Mil@NO 07:00PM ET",30.563,"Mil"
"SG","C.J. McCollum",7300,"LAL@Por 10:30PM ET",34.698,"Por"
"PF","Kristaps Porzingis",7300,"NY@Cha 07:00PM ET",31.523,"NY"
"PF","Kevin Love",7200,"Chi@Cle 08:30PM ET",36.567,"Cle"
"PG","Brandon Knight",7200,"Atl@Pho 09:00PM ET",34.756,"Pho"
"PG","Reggie Jackson",7100,"Det@Den 09:30PM ET",34.965,"Det"
"C","Greg Monroe",7000,"Mil@NO 07:00PM ET",35.214,"Mil"
"C","Karl-Anthony Towns",7000,"Mem@Min 08:00PM ET",34.665,"Min"
"SG","Monta Ellis",6900,"Ind@Sac 10:30PM ET",28.274,"Ind"
