"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10800,"Hou@OKC 08:00PM ET",52.938,"OKC"
"SF","Kevin Durant",10100,"Hou@OKC 08:00PM ET",48.341,"OKC"
"SG","James Harden",10000,"Hou@OKC 08:00PM ET",49.438,"Hou"
"PG","Chris Paul",9800,"LAL@LAC 10:30PM ET",42.524,"LAC"
"SF","LeBron James",9700,"Cle@Det 07:30PM ET",46.831,"Cle"
"PG","Damian Lillard",9300,"Cha@Por 10:00PM ET",43.069,"Por"
"PG","Kemba Walker",8700,"Cha@Por 10:00PM ET",37.908,"Cha"
"PF","Blake Griffin",8600,"LAL@LAC 10:30PM ET",43.567,"LAC"
"C","Andre Drummond",8600,"Cle@Det 07:30PM ET",44.076,"Det"
"SG","Eric Bledsoe",8300,"Pho@NY 07:30PM ET",39.056,"Pho"
"SF","Carmelo Anthony",8200,"Pho@NY 07:30PM ET",38.349,"NY"
"PG","Isaiah Thomas",7800,"Orl@Bos 07:30PM ET",37.495,"Bos"
"PF","Chris Bosh",7700,"Mia@Mil 08:00PM ET",35.859,"Mia"
"C","Nikola Vucevic",7600,"Orl@Bos 07:30PM ET",35.463,"Orl"
"C","Dwight Howard",7500,"Hou@OKC 08:00PM ET",36.388,"Hou"
"C","DeAndre Jordan",7500,"LAL@LAC 10:30PM ET",36.045,"LAC"
"SF","Gordon Hayward",7500,"Min@Uta 09:00PM ET",34.422,"Uta"
"C","Hassan Whiteside",7500,"Mia@Mil 08:00PM ET",35.384,"Mia"
"SG","C.J. McCollum",7400,"Cha@Por 10:00PM ET",34.622,"Por"
"PF","Kevin Love",7300,"Cle@Det 07:30PM ET",36.392,"Cle"
"PF","Kristaps Porzingis",7300,"Pho@NY 07:30PM ET",31.218,"NY"
"SG","Khris Middleton",7200,"Mia@Mil 08:00PM ET",31.203,"Mil"
"PG","Brandon Knight",7200,"Pho@NY 07:30PM ET",34.756,"Pho"
"C","Brook Lopez",7100,"Bkn@Dal 08:30PM ET",37.027,"Bkn"
"SF","Giannis Antetokounmpo",7100,"Mia@Mil 08:00PM ET",32.005,"Mil"
"C","Karl-Anthony Towns",7100,"Min@Uta 09:00PM ET",35.266,"Min"
"PG","Reggie Jackson",7000,"Cle@Det 07:30PM ET",34.957,"Det"
"C","Greg Monroe",7000,"Mia@Mil 08:00PM ET",35.500,"Mil"
"SG","Victor Oladipo",6900,"Orl@Bos 07:30PM ET",29.194,"Orl"
"SF","Nicolas Batum",6800,"Cha@Por 10:00PM ET",33.434,"Cha"
"SG","Dwyane Wade",6700,"Mia@Mil 08:00PM ET",32.407,"Mia"
"SF","Chandler Parsons",6700,"Bkn@Dal 08:30PM ET",22.400,"Dal"
"C","Rudy Gobert",6700,"Min@Uta 09:00PM ET",31.050,"Uta"
"PF","Derrick Favors",6600,"Min@Uta 09:00PM ET",33.929,"Uta"
"PG","Michael Carter-Williams",6500,"Mia@Mil 08:00PM ET",29.494,"Mil"
"SG","Andrew Wiggins",6500,"Min@Uta 09:00PM ET",30.266,"Min"
"PG","Kyrie Irving",6400,"Cle@Det 07:30PM ET",26.889,"Cle"
"PF","Dirk Nowitzki",6300,"Bkn@Dal 08:30PM ET",31.581,"Dal"
"PG","Jarrett Jack",6300,"Bkn@Dal 08:30PM ET",31.078,"Bkn"
"PF","Thaddeus Young",6300,"Bkn@Dal 08:30PM ET",32.196,"Bkn"
"SF","Jae Crowder",6300,"Orl@Bos 07:30PM ET",28.723,"Bos"
"SF","Tobias Harris",6300,"Orl@Bos 07:30PM ET",29.131,"Orl"
"PG","Ricky Rubio",6200,"Min@Uta 09:00PM ET",31.823,"Min"
"SG","Rodney Hood",6100,"Min@Uta 09:00PM ET",24.436,"Uta"
"PG","Deron Williams",6000,"Bkn@Dal 08:30PM ET",28.013,"Dal"
"SG","Avery Bradley",6000,"Orl@Bos 07:30PM ET",25.518,"Bos"
"PG","Elfrid Payton",6000,"Orl@Bos 07:30PM ET",26.688,"Orl"
"SG","Lou Williams",5900,"LAL@LAC 10:30PM ET",25.411,"LAL"
"PF","Julius Randle",5900,"LAL@LAC 10:30PM ET",27.043,"LAL"
"C","Zaza Pachulia",5800,"Bkn@Dal 08:30PM ET",29.157,"Dal"
"C","Al Jefferson",5700,"Cha@Por 10:00PM ET",26.053,"Cha"
"PF","Serge Ibaka",5700,"Hou@OKC 08:00PM ET",27.719,"OKC"
"SF","Derrick Williams",5700,"Pho@NY 07:30PM ET",16.484,"NY"
"PG","Jordan Clarkson",5700,"LAL@LAC 10:30PM ET",25.880,"LAL"
"SG","Kentavious Caldwell-Pope",5700,"Cle@Det 07:30PM ET",25.951,"Det"
"PG","Goran Dragic",5600,"Mia@Mil 08:00PM ET",25.635,"Mia"
"SG","Archie Goodwin",5600,"Pho@NY 07:30PM ET",14.009,"Pho"
"SF","Trevor Ariza",5500,"Hou@OKC 08:00PM ET",25.356,"Hou"
"SG","J.R. Smith",5500,"Cle@Det 07:30PM ET",22.313,"Cle"
"PF","Ersan Ilyasova",5500,"Cle@Det 07:30PM ET",22.864,"Det"
"PF","Clint Capela",5500,"Hou@OKC 08:00PM ET",21.463,"Hou"
"SG","Devin Booker",5500,"Pho@NY 07:30PM ET",15.049,"Pho"
"SG","Kobe Bryant",5400,"LAL@LAC 10:30PM ET",27.763,"LAL"
"PG","Jeremy Lin",5400,"Cha@Por 10:00PM ET",23.494,"Cha"
