PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Jeff Teague (6161845),Jeff Teague,6161845,6000,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,SF,Robert Covington (6162024),Robert Covington,6162024,6000,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Jonas Valanciunas (6162214),Jonas Valanciunas,6162214,6000,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,SG,Devin Booker (6161938),Devin Booker,6161938,6000,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,PF,Ryan Anderson (6162091),Ryan Anderson,6162091,5900,NO@Min 08:00PM ET,NO,
,,,,,,,,,PG,Norris Cole (6161793),Norris Cole,6161793,5900,NO@Min 08:00PM ET,NO,
,,,,,,,,,SG,Archie Goodwin (6161937),Archie Goodwin,6161937,5900,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,SF,Stanley Johnson (6162034),Stanley Johnson,6162034,5900,Tor@Det 07:30PM ET,Det,
,,,,,,,,,PF,Taj Gibson (6162136),Taj Gibson,6162136,5800,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,PG,George Hill (6161814),George Hill,6161814,5700,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,PF,Kenneth Faried (6162110),Kenneth Faried,6162110,5700,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,SG,Will Barton (6161908),Will Barton,6161908,5700,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,C,Al Jefferson (6162224),Al Jefferson,6162224,5600,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,PF,Jordan Hill (6162115),Jordan Hill,6162115,5600,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,PF,Serge Ibaka (6162131),Serge Ibaka,6162131,5600,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,SF,Tobias Harris (6162051),Tobias Harris,6162051,5600,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,SG,Kentavious Caldwell-Pope (6161929),Kentavious Caldwell-Pope,6161929,5600,Tor@Det 07:30PM ET,Det,
,,,,,,,,,PG,Emmanuel Mudiay (6161813),Emmanuel Mudiay,6161813,5600,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,SG,J.R. Smith (6161893),J.R. Smith,6161893,5500,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PF,Marvin Williams (6162134),Marvin Williams,6162134,5500,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,Jeff Green (6162004),Jeff Green,6162004,5500,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,SF,Wilson Chandler (6162010),Wilson Chandler,6162010,5500,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PF,Aaron Gordon (6162145),Aaron Gordon,6162145,5500,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,SF,Joe Johnson (6162009),Joe Johnson,6162009,5400,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,C,Joakim Noah (6162225),Joakim Noah,6162225,5400,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SF,Michael Kidd-Gilchrist (6162047),Michael Kidd-Gilchrist,6162047,5400,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,P.J. Tucker (6162036),P.J. Tucker,6162036,5300,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Lou Williams (6161917),Lou Williams,6161917,5300,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,SF,Omri Casspi (6162000),Omri Casspi,6162000,5300,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,PG,Jordan Clarkson (6161815),Jordan Clarkson,6161815,5300,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,PG,Jeremy Lin (6161839),Jeremy Lin,6161839,5200,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,Kent Bazemore (6162050),Kent Bazemore,6162050,5200,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,SF,Al-Farouq Aminu (6162005),Al-Farouq Aminu,6162005,5200,Por@Mem 08:00PM ET,Por,
,,,,,,,,,SF,Marcus Morris (6162030),Marcus Morris,6162030,5200,Tor@Det 07:30PM ET,Det,
,,,,,,,,,PF,Tristan Thompson (6162098),Tristan Thompson,6162098,5200,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PG,Zach LaVine (6161796),Zach LaVine,6161796,5200,NO@Min 08:00PM ET,Min,
,,,,,,,,,C,Mason Plumlee (6162194),Mason Plumlee,6162194,5100,Por@Mem 08:00PM ET,Por,
,,,,,,,,,C,Willie Cauley-Stein (6162190),Willie Cauley-Stein,6162190,5100,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,PF,Ersan Ilyasova (6162128),Ersan Ilyasova,6162128,5000,Tor@Det 07:30PM ET,Det,
,,,,,,,,,PF,Nikola Mirotic (6162138),Nikola Mirotic,6162138,5000,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,PG,Elfrid Payton (6161849),Elfrid Payton,6161849,5000,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,PG,Dennis Schroder (6161850),Dennis Schroder,6161850,5000,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,SG,Jamal Crawford (6161919),Jamal Crawford,6161919,4900,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,SF,Matt Barnes (6162002),Matt Barnes,6162002,4900,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,SG,J.J. Redick (6161920),J.J. Redick,6161920,4900,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,SG,E'Twaun Moore (6161939),E'Twaun Moore,6161939,4900,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,C,Enes Kanter (6162220),Enes Kanter,6162220,4900,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,C,Cody Zeller (6162227),Cody Zeller,6162227,4900,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,DeMarre Carroll (6162028),DeMarre Carroll,6162028,4800,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,PG,Darren Collison (6161800),Darren Collison,6161800,4800,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,C,Tyson Chandler (6162218),Tyson Chandler,6162218,4700,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,C,Ian Mahinmi (6162202),Ian Mahinmi,6162202,4700,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,SG,Marco Belinelli (6161894),Marco Belinelli,6161894,4600,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SG,Eric Gordon (6161888),Eric Gordon,6161888,4600,NO@Min 08:00PM ET,NO,
,,,,,,,,,SG,Rondae Hollis-Jefferson (6161912),Rondae Hollis-Jefferson,6161912,4600,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PG,D'Angelo Russell (6161817),D'Angelo Russell,6161817,4600,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,C,Spencer Hawes (6162226),Spencer Hawes,6162226,4500,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SG,Bryce Dejean-Jones (6161890),Bryce Dejean-Jones,6161890,4500,NO@Min 08:00PM ET,NO,
,,,,,,,,,SG,Dion Waiters (6161935),Dion Waiters,6161935,4500,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,SG,Evan Fournier (6161947),Evan Fournier,6161947,4500,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,SF,Jerami Grant (6162027),Jerami Grant,6162027,4500,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,SF,Tony Allen (6162003),Tony Allen,6162003,4400,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,PG,Mario Chalmers (6161804),Mario Chalmers,6161804,4400,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,SG,Wayne Ellington (6161907),Wayne Ellington,6161907,4400,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PG,Donald Sloan (6161811),Donald Sloan,6161811,4400,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PF,Larry Nance Jr. (6162116),Larry Nance Jr.,6162116,4400,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,C,Alex Len (6162221),Alex Len,6162221,4400,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,SG,Gary Harris (6161911),Gary Harris,6161911,4400,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,SF,Wesley Johnson (6162022),Wesley Johnson,6162022,4300,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,PG,Isaiah Canaan (6161820),Isaiah Canaan,6161820,4300,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Cory Joseph (6161828),Cory Joseph,6161828,4300,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,C,Steven Adams (6162222),Steven Adams,6162222,4300,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,PF,Bobby Portis (6162139),Bobby Portis,6162139,4300,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SF,C.J. Miles (6162014),C.J. Miles,6162014,4200,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,PF,Ed Davis (6162103),Ed Davis,6162103,4200,Por@Mem 08:00PM ET,Por,
,,,,,,,,,SG,Terrence Ross (6161927),Terrence Ross,6161927,4200,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,C,Meyers Leonard (6162195),Meyers Leonard,6162195,4200,Por@Mem 08:00PM ET,Por,
,,,,,,,,,SG,Jeremy Lamb (6161941),Jeremy Lamb,6161941,4200,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SG,Kyle Korver (6161942),Kyle Korver,6161942,4100,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,SG,Courtney Lee (6161900),Courtney Lee,6161900,4100,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,SG,Allen Crabbe (6161903),Allen Crabbe,6161903,4100,Por@Mem 08:00PM ET,Por,
,,,,,,,,,PG,T.J. McConnell (6161821),T.J. McConnell,6161821,4100,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Jameer Nelson (6161808),Jameer Nelson,6161808,4000,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PF,Luis Scola (6162125),Luis Scola,6162125,4000,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,SG,Rodney Stuckey (6161915),Rodney Stuckey,6161915,4000,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,SG,Gerald Henderson (6161901),Gerald Henderson,6161901,4000,Por@Mem 08:00PM ET,Por,
,,,,,,,,,PG,Matthew Dellavedova (6161802),Matthew Dellavedova,6161802,4000,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,SF,Mirza Teletovic (6162041),Mirza Teletovic,6162041,4000,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,SF,T.J. Warren (6162042),T.J. Warren,6162042,4000,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,SF,Shabazz Muhammad (6161994),Shabazz Muhammad,6161994,4000,NO@Min 08:00PM ET,Min,
,,,,,,,,,SF,Thabo Sefolosha (6162049),Thabo Sefolosha,6162049,3900,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,PF,Darrell Arthur (6162108),Darrell Arthur,6162108,3900,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PF,Jon Leuer (6162130),Jon Leuer,6162130,3900,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,PF,Patrick Patterson (6162129),Patrick Patterson,6162129,3900,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,C,Lavoy Allen (6162204),Lavoy Allen,6162204,3900,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,PG,Brandon Jennings (6161827),Brandon Jennings,6161827,3900,Tor@Det 07:30PM ET,Det,
,,,,,,,,,C,Bismack Biyombo (6162215),Bismack Biyombo,6162215,3900,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,C,Frank Kaminsky (6162228),Frank Kaminsky,6162228,3900,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,PG,Shane Larkin (6161812),Shane Larkin,6161812,3900,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Nik Stauskas (6161924),Nik Stauskas,6161924,3900,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,PF,Brandon Bass (6162114),Brandon Bass,6162114,3800,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,C,Cole Aldrich (6162210),Cole Aldrich,6162210,3700,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,SG,Hollis Thompson (6161922),Hollis Thompson,6161922,3700,LAC@Phi 07:00PM ET,Phi,
