"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",11000,"Sac@Por 10:00PM ET",51.160,"Sac"
"PG","Damian Lillard",9300,"Sac@Por 10:00PM ET",43.077,"Por"
"PG","Rajon Rondo",8400,"Sac@Por 10:00PM ET",41.065,"Sac"
"C","Nikola Vucevic",7600,"Orl@Mil 08:00PM ET",35.375,"Orl"
"SG","Khris Middleton",7300,"Orl@Mil 08:00PM ET",30.821,"Mil"
"SG","C.J. McCollum",7300,"Sac@Por 10:00PM ET",34.801,"Por"
"SG","Victor Oladipo",7200,"Orl@Mil 08:00PM ET",29.154,"Orl"
"SF","Giannis Antetokounmpo",7200,"Orl@Mil 08:00PM ET",32.017,"Mil"
"C","Greg Monroe",7000,"Orl@Mil 08:00PM ET",35.557,"Mil"
"SF","Rudy Gay",6800,"Sac@Por 10:00PM ET",31.976,"Sac"
"PG","Michael Carter-Williams",6700,"Orl@Mil 08:00PM ET",30.128,"Mil"
"SF","Tobias Harris",6400,"Orl@Mil 08:00PM ET",29.169,"Orl"
"PF","Dirk Nowitzki",6300,"Dal@LAL 10:30PM ET",31.810,"Dal"
"SF","Chandler Parsons",6300,"Dal@LAL 10:30PM ET",21.684,"Dal"
"PG","Elfrid Payton",6300,"Orl@Mil 08:00PM ET",27.013,"Orl"
"PG","Deron Williams",6200,"Dal@LAL 10:30PM ET",28.401,"Dal"
"SF","Omri Casspi",6000,"Sac@Por 10:00PM ET",25.288,"Sac"
"SG","Lou Williams",5900,"Dal@LAL 10:30PM ET",25.375,"LAL"
"C","Zaza Pachulia",5800,"Dal@LAL 10:30PM ET",29.157,"Dal"
"PF","Julius Randle",5800,"Dal@LAL 10:30PM ET",26.783,"LAL"
"PG","Jordan Clarkson",5600,"Dal@LAL 10:30PM ET",25.625,"LAL"
"SG","Kobe Bryant",5500,"Dal@LAL 10:30PM ET",27.875,"LAL"
"SG","Wesley Matthews",5300,"Dal@LAL 10:30PM ET",22.887,"Dal"
"C","Mason Plumlee",5300,"Sac@Por 10:00PM ET",26.005,"Por"
"SG","Evan Fournier",5300,"Orl@Mil 08:00PM ET",24.366,"Orl"
"PF","Jabari Parker",5100,"Orl@Mil 08:00PM ET",21.150,"Mil"
"PG","D'Angelo Russell",5000,"Dal@LAL 10:30PM ET",24.227,"LAL"
"SF","Al-Farouq Aminu",4900,"Sac@Por 10:00PM ET",24.098,"Por"
"PF","Larry Nance Jr.",4900,"Dal@LAL 10:30PM ET",15.331,"LAL"
"C","Willie Cauley-Stein",4800,"Sac@Por 10:00PM ET",16.775,"Sac"
"SF","Aaron Gordon",4800,"Orl@Mil 08:00PM ET",17.845,"Orl"
"PG","Darren Collison",4500,"Sac@Por 10:00PM ET",23.583,"Sac"
"PF","Ed Davis",4300,"Sac@Por 10:00PM ET",20.167,"Por"
"SG","O.J. Mayo",4200,"Orl@Mil 08:00PM ET",19.431,"Mil"
"PF","Brandon Bass",4100,"Dal@LAL 10:30PM ET",15.750,"LAL"
"PG","Jerryd Bayless",4100,"Orl@Mil 08:00PM ET",21.848,"Mil"
"SG","Allen Crabbe",4100,"Sac@Por 10:00PM ET",18.353,"Por"
"SG","Marco Belinelli",4000,"Sac@Por 10:00PM ET",17.114,"Sac"
"SG","Raymond Felton",3900,"Dal@LAL 10:30PM ET",20.178,"Dal"
"C","Roy Hibbert",3900,"Dal@LAL 10:30PM ET",19.413,"LAL"
"PF","John Henson",3900,"Orl@Mil 08:00PM ET",16.982,"Mil"
"C","Meyers Leonard",3900,"Sac@Por 10:00PM ET",18.449,"Por"
"SG","Ben McLemore",3800,"Sac@Por 10:00PM ET",13.381,"Sac"
"PG","J.J. Barea",3600,"Dal@LAL 10:30PM ET",18.344,"Dal"
"PG","Greivis Vasquez",3500,"Orl@Mil 08:00PM ET",17.047,"Mil"
"C","Kosta Koufos",3500,"Sac@Por 10:00PM ET",17.599,"Sac"
"C","Salah Mejri",3500,"Dal@LAL 10:30PM ET",10.313,"Dal"
"PF","Channing Frye",3300,"Orl@Mil 08:00PM ET",13.487,"Orl"
"PF","Dwight Powell",3300,"Dal@LAL 10:30PM ET",15.977,"Dal"
"PG","Devin Harris",3200,"Dal@LAL 10:30PM ET",15.313,"Dal"
