PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Stephen Curry (6302775),Stephen Curry,6302775,10600,Orl@GS 10:30PM ET,GS,
,,,,,,,,,PG,Chris Paul (6302782),Chris Paul,6302782,9700,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,PF,Draymond Green (6302974),Draymond Green,6302974,8500,Orl@GS 10:30PM ET,GS,
,,,,,,,,,PF,Blake Griffin (6302982),Blake Griffin,6302982,8300,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,C,DeAndre Jordan (6303040),DeAndre Jordan,6303040,7600,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,C,Nikola Vucevic (6303036),Nikola Vucevic,6303036,7500,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,SG,Klay Thompson (6302836),Klay Thompson,6302836,7500,Orl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Victor Oladipo (6302838),Victor Oladipo,6302838,7100,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,SF,Chandler Parsons (6302911),Chandler Parsons,6302911,6800,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,PF,Aaron Gordon (6302976),Aaron Gordon,6302976,6500,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,PF,Dirk Nowitzki (6302978),Dirk Nowitzki,6302978,6100,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,Elfrid Payton (6302778),Elfrid Payton,6302778,5700,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,PG,Deron Williams (6302780),Deron Williams,6302780,5600,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,SG,Evan Fournier (6302839),Evan Fournier,6302839,5600,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,C,Zaza Pachulia (6303038),Zaza Pachulia,6303038,5200,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,SF,Harrison Barnes (6302904),Harrison Barnes,6302904,5100,Orl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Jamal Crawford (6302841),Jamal Crawford,6302841,5000,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,SG,J.J. Redick (6302842),J.J. Redick,6302842,4900,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,SG,Wesley Matthews (6302844),Wesley Matthews,6302844,4900,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,PF,David Lee (6302979),David Lee,6302979,4800,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,SF,Jeff Green (6302907),Jeff Green,6302907,4700,LAC@Dal 08:30PM ET,LAC,
,,,,,,,,,C,Andrew Bogut (6303032),Andrew Bogut,6303032,4600,Orl@GS 10:30PM ET,GS,
,,,,,,,,,SG,Raymond Felton (6302843),Raymond Felton,6302843,4200,LAC@Dal 08:30PM ET,Dal,
,,,,,,,,,SG,Mario Hezonja (6302840),Mario Hezonja,6302840,4200,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,SF,Andre Iguodala (6302903),Andre Iguodala,6302903,4100,Orl@GS 10:30PM ET,GS,
,,,,,,,,,PF,Ersan Ilyasova (6302972),Ersan Ilyasova,6302972,4100,Orl@GS 10:30PM ET,Orl,
,,,,,,,,,SF,Wesley Johnson (6302908),Wesley Johnson,6302908,4100,LAC@Dal 08:30PM ET,LAC,
