C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Tyler Seguin (6215550),Tyler Seguin,6215550,8600,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,LW,Jamie Benn (6215597),Jamie Benn,6215597,8400,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Tuukka Rask (6215720),Tuukka Rask,6215720,8100,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,G,Jonathan Quick (6215714),Jonathan Quick,6215714,8000,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,G,Pekka Rinne (6215713),Pekka Rinne,6215713,7500,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Carter Hutton (6215716),Carter Hutton,6215716,7300,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,C,Patrice Bergeron (6215544),Patrice Bergeron,6215544,7200,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,G,Jhonas Enroth (6215715),Jhonas Enroth,6215715,7200,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,G,Kari Lehtonen (6215719),Kari Lehtonen,6215719,7100,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Antti Niemi (6215721),Antti Niemi,6215721,7000,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,D,Roman Josi (6215657),Roman Josi,6215657,6900,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Jonas Gustavsson (6215722),Jonas Gustavsson,6215722,6800,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,LW,Brad Marchand (6215595),Brad Marchand,6215595,6700,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,LW,Patrick Sharp (6215593),Patrick Sharp,6215593,6600,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Peter Budaj (6215712),Peter Budaj,6215712,6400,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,C,Anze Kopitar (6215535),Anze Kopitar,6215535,6400,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,D,John Klingberg (6215671),John Klingberg,6215671,6300,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,D,Drew Doughty (6215652),Drew Doughty,6215652,6200,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,D,Shea Weber (6215650),Shea Weber,6215650,6000,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,C,David Krejci (6215546),David Krejci,6215546,6000,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,RW,Tyler Toffoli (6215620),Tyler Toffoli,6215620,6000,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,G,John Muse (6215723),John Muse,6215723,6000,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,G,Malcolm Subban (6215724),Malcolm Subban,6215724,6000,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,G,Juuse Saros (6215717),Juuse Saros,6215717,6000,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Patrik Bartosak (6215718),Patrik Bartosak,6215718,6000,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,C,Jason Spezza (6215543),Jason Spezza,6215543,5900,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,C,Jeff Carter (6215534),Jeff Carter,6215534,5900,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,RW,James Neal (6215618),James Neal,6215618,5900,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,C,Ryan Johansen (6215539),Ryan Johansen,6215539,5700,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,LW,Filip Forsberg (6215590),Filip Forsberg,6215590,5700,LA@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,D,Torey Krug (6215677),Torey Krug,6215677,5600,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,RW,Loui Eriksson (6215625),Loui Eriksson,6215625,5400,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,D,Zdeno Chara (6215663),Zdeno Chara,6215663,5300,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,D,Jake Muzzin (6215656),Jake Muzzin,6215656,5100,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,RW,Marian Gaborik (6215617),Marian Gaborik,6215617,4800,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,C,Ryan Spooner (6215551),Ryan Spooner,6215551,4800,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,D,Alex Goligoski (6215667),Alex Goligoski,6215667,4600,Bos@Dal 08:00PM ET,Dal,
,,,,,,,,,,LW,Milan Lucic (6215584),Milan Lucic,6215584,4600,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,D,Alec Martinez (6215651),Alec Martinez,6215651,4500,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,LW,Dustin Brown (6215583),Dustin Brown,6215583,4200,LA@Nsh 08:00PM ET,LA,
,,,,,,,,,,LW,Matt Beleskey (6215596),Matt Beleskey,6215596,4200,Bos@Dal 08:00PM ET,Bos,
,,,,,,,,,,RW,Craig Smith (6215621),Craig Smith,6215621,4100,LA@Nsh 08:00PM ET,Nsh,
