PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (6340435),Russell Westbrook,6340435,10800,OKC@SA 08:30PM ET,OKC,
,,,,,,,,,SG,James Harden (6340515),James Harden,6340515,10600,Hou@Cha 07:00PM ET,Hou,
,,,,,,,,,SF,Kevin Durant (6340548),Kevin Durant,6340548,10500,OKC@SA 08:30PM ET,OKC,
,,,,,,,,,PG,Stephen Curry (6340420),Stephen Curry,6340420,10300,Pho@GS 10:30PM ET,GS,
,,,,,,,,,PG,Damian Lillard (6340473),Damian Lillard,6340473,9800,Orl@Por 10:30PM ET,Por,
,,,,,,,,,PF,Anthony Davis (6340605),Anthony Davis,6340605,9800,NO@Mil 07:30PM ET,NO,
,,,,,,,,,PG,John Wall (6340452),John Wall,6340452,9500,Was@Den 09:30PM ET,Was,
,,,,,,,,,SF,Giannis Antetokounmpo (6340546),Giannis Antetokounmpo,6340546,8700,NO@Mil 07:30PM ET,Mil,
,,,,,,,,,PG,Kyle Lowry (6340438),Kyle Lowry,6340438,8600,Mia@Tor 07:00PM ET,Tor,
,,,,,,,,,PG,Kemba Walker (6340459),Kemba Walker,6340459,8600,Hou@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,Kawhi Leonard (6340550),Kawhi Leonard,6340550,8500,OKC@SA 08:30PM ET,SA,
,,,,,,,,,PG,Jrue Holiday (6340429),Jrue Holiday,6340429,8300,NO@Mil 07:30PM ET,NO,
,,,,,,,,,C,Hassan Whiteside (6340678),Hassan Whiteside,6340678,8200,Mia@Tor 07:00PM ET,Mia,
,,,,,,,,,C,Dwight Howard (6340691),Dwight Howard,6340691,8100,Hou@Cha 07:00PM ET,Hou,
