PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,Eric Bledsoe (6222744),Eric Bledsoe,6222744,8300,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,PG,Isaiah Thomas (6222705),Isaiah Thomas,6222705,7800,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SF,Kawhi Leonard (6222768),Kawhi Leonard,6222768,7500,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PG,Brandon Knight (6222712),Brandon Knight,6222712,7200,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SF,Danilo Gallinari (6222765),Danilo Gallinari,6222765,6900,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PF,LaMarcus Aldridge (6222799),LaMarcus Aldridge,6222799,6800,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PG,Archie Goodwin (6222714),Archie Goodwin,6222714,6000,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SG,Devin Booker (6222746),Devin Booker,6222746,6000,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,PF,Kenneth Faried (6222792),Kenneth Faried,6222792,5800,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PG,Emmanuel Mudiay (6222708),Emmanuel Mudiay,6222708,5800,Bos@Den 05:00PM ET,Den,
,,,,,,,,,SG,Will Barton (6222736),Will Barton,6222736,5700,Bos@Den 05:00PM ET,Den,
,,,,,,,,,SF,Jae Crowder (6222766),Jae Crowder,6222766,5700,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,C,Jared Sullinger (6222823),Jared Sullinger,6222823,5700,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SF,Wilson Chandler (6222764),Wilson Chandler,6222764,5500,Bos@Den 05:00PM ET,Den,
,,,,,,,,,SG,Avery Bradley (6222735),Avery Bradley,6222735,5200,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,C,Nikola Jokic (6222826),Nikola Jokic,6222826,5200,Bos@Den 05:00PM ET,Den,
,,,,,,,,,SF,P.J. Tucker (6222767),P.J. Tucker,6222767,5100,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SG,Evan Turner (6222734),Evan Turner,6222734,5100,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,C,Tim Duncan (6222827),Tim Duncan,6222827,5000,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PG,Tony Parker (6222709),Tony Parker,6222709,4900,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PG,Marcus Smart (6222706),Marcus Smart,6222706,4800,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SG,Danny Green (6222742),Danny Green,6222742,4600,SA@Pho 05:00PM ET,SA,
,,,,,,,,,C,Alex Len (6222831),Alex Len,6222831,4600,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,PG,Patty Mills (6222711),Patty Mills,6222711,4500,SA@Pho 05:00PM ET,SA,
,,,,,,,,,SF,Mirza Teletovic (6222770),Mirza Teletovic,6222770,4500,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SG,Gary Harris (6222738),Gary Harris,6222738,4500,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PF,Jon Leuer (6222800),Jon Leuer,6222800,4400,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,C,Tyson Chandler (6222828),Tyson Chandler,6222828,4300,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,C,Kelly Olynyk (6222822),Kelly Olynyk,6222822,4300,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SG,Manu Ginobili (6222740),Manu Ginobili,6222740,4000,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PF,Amir Johnson (6222790),Amir Johnson,6222790,4000,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SF,T.J. Warren (6222771),T.J. Warren,6222771,4000,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SF,Kyle Anderson (6222772),Kyle Anderson,6222772,4000,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PF,David West (6222796),David West,6222796,3900,SA@Pho 05:00PM ET,SA,
,,,,,,,,,C,Jusuf Nurkic (6222825),Jusuf Nurkic,6222825,3900,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PF,Darrell Arthur (6222791),Darrell Arthur,6222791,3800,Bos@Den 05:00PM ET,Den,
,,,,,,,,,C,Tyler Zeller (6222821),Tyler Zeller,6222821,3800,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,C,Joffrey Lauvergne (6222824),Joffrey Lauvergne,6222824,3800,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PG,Jameer Nelson (6222703),Jameer Nelson,6222703,3700,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PF,Kris Humphries (6222798),Kris Humphries,6222798,3700,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,PF,Boris Diaw (6222797),Boris Diaw,6222797,3500,SA@Pho 05:00PM ET,SA,
,,,,,,,,,C,Boban Marjanovic (6222830),Boban Marjanovic,6222830,3300,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PF,Jonas Jerebko (6222793),Jonas Jerebko,6222793,3100,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SG,Jordan McRae (6222745),Jordan McRae,6222745,3100,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SF,Jonathon Simmons (6222769),Jonathon Simmons,6222769,3100,SA@Pho 05:00PM ET,SA,
,,,,,,,,,SG,Mike Miller (6222733),Mike Miller,6222733,3000,Bos@Den 05:00PM ET,Den,
,,,,,,,,,PF,Matt Bonner (6222795),Matt Bonner,6222795,3000,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PG,Ronnie Price (6222710),Ronnie Price,6222710,3000,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,SG,Rasual Butler (6222741),Rasual Butler,6222741,3000,SA@Pho 05:00PM ET,SA,
,,,,,,,,,PG,D.J. Augustin (6222704),D.J. Augustin,6222704,3000,Bos@Den 05:00PM ET,Den,
,,,,,,,,,SG,Sonny Weems (6222743),Sonny Weems,6222743,3000,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,C,DeJuan Blair (6222829),DeJuan Blair,6222829,3000,SA@Pho 05:00PM ET,Pho,
,,,,,,,,,PG,Ray McCallum (6222713),Ray McCallum,6222713,3000,SA@Pho 05:00PM ET,SA,
,,,,,,,,,SG,R.J. Hunter (6222737),R.J. Hunter,6222737,3000,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,PF,Jordan Mickey (6222794),Jordan Mickey,6222794,3000,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,PG,Terry Rozier (6222707),Terry Rozier,6222707,3000,Bos@Den 05:00PM ET,Bos,
,,,,,,,,,SG,James Young (6222739),James Young,6222739,3000,Bos@Den 05:00PM ET,Bos,
