PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (6252580),Russell Westbrook,6252580,11000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PG,Stephen Curry (6252581),Stephen Curry,6252581,10700,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SF,Kevin Durant (6252603),Kevin Durant,6252603,10100,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PF,Draymond Green (6252614),Draymond Green,6252614,8400,GS@OKC 08:30PM ET,GS,
,,,,,,,,,C,Andre Drummond (6252621),Andre Drummond,6252621,8200,Det@Mil 08:30PM ET,Det,
,,,,,,,,,SF,Giannis Antetokounmpo (6252599),Giannis Antetokounmpo,6252599,7800,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,SG,Klay Thompson (6252591),Klay Thompson,6252591,7300,GS@OKC 08:30PM ET,GS,
,,,,,,,,,C,Greg Monroe (6252620),Greg Monroe,6252620,7200,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,SG,Khris Middleton (6252585),Khris Middleton,6252585,7100,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,PG,Reggie Jackson (6252573),Reggie Jackson,6252573,6800,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PF,Jabari Parker (6252612),Jabari Parker,6252612,6500,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,SF,Tobias Harris (6252598),Tobias Harris,6252598,6400,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PF,Serge Ibaka (6252613),Serge Ibaka,6252613,5700,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,SF,Marcus Morris (6252596),Marcus Morris,6252596,5500,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PG,Michael Carter-Williams (6252575),Michael Carter-Williams,6252575,5500,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,SG,Kentavious Caldwell-Pope (6252587),Kentavious Caldwell-Pope,6252587,5100,Det@Mil 08:30PM ET,Det,
,,,,,,,,,SF,Harrison Barnes (6252606),Harrison Barnes,6252606,5000,GS@OKC 08:30PM ET,GS,
,,,,,,,,,C,Enes Kanter (6252627),Enes Kanter,6252627,4800,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,C,Andrew Bogut (6252623),Andrew Bogut,6252623,4500,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SF,Stanley Johnson (6252601),Stanley Johnson,6252601,4500,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PG,Jerryd Bayless (6252572),Jerryd Bayless,6252572,4400,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,C,Steven Adams (6252628),Steven Adams,6252628,4300,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,SF,Andre Iguodala (6252602),Andre Iguodala,6252602,4200,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SG,O.J. Mayo (6252584),O.J. Mayo,6252584,4200,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,SG,Dion Waiters (6252594),Dion Waiters,6252594,4200,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PF,John Henson (6252610),John Henson,6252610,3900,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,C,Festus Ezeli (6252626),Festus Ezeli,6252626,3700,GS@OKC 08:30PM ET,GS,
,,,,,,,,,PF,Anthony Tolliver (6252607),Anthony Tolliver,6252607,3600,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PG,Greivis Vasquez (6252571),Greivis Vasquez,6252571,3400,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,C,Miles Plumlee (6252619),Miles Plumlee,6252619,3400,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,PG,Cameron Payne (6252582),Cameron Payne,6252582,3400,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,C,Aron Baynes (6252618),Aron Baynes,6252618,3300,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PG,Shaun Livingston (6252579),Shaun Livingston,6252579,3200,GS@OKC 08:30PM ET,GS,
,,,,,,,,,C,Marreese Speights (6252625),Marreese Speights,6252625,3200,GS@OKC 08:30PM ET,GS,
,,,,,,,,,PG,Randy Foye (6252577),Randy Foye,6252577,3100,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PG,Leandro Barbosa (6252578),Leandro Barbosa,6252578,3100,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SG,Brandon Rush (6252590),Brandon Rush,6252590,3100,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SF,Reggie Bullock (6252597),Reggie Bullock,6252597,3100,Det@Mil 08:30PM ET,Det,
,,,,,,,,,SG,Darrun Hilliard (6252586),Darrun Hilliard,6252586,3100,Det@Mil 08:30PM ET,Det,
,,,,,,,,,C,Nick Collison (6252622),Nick Collison,6252622,3000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PG,Steve Blake (6252570),Steve Blake,6252570,3000,Det@Mil 08:30PM ET,Det,
,,,,,,,,,SF,Steve Novak (6252595),Steve Novak,6252595,3000,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,C,Anderson Varejao (6252624),Anderson Varejao,6252624,3000,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SG,Anthony Morrow (6252589),Anthony Morrow,6252589,3000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PF,Joel Anthony (6252608),Joel Anthony,6252608,3000,Det@Mil 08:30PM ET,Det,
,,,,,,,,,SG,Jodie Meeks (6252583),Jodie Meeks,6252583,3000,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PF,Justin Harper (6252609),Justin Harper,6252609,3000,Det@Mil 08:30PM ET,Det,
,,,,,,,,,SF,Kyle Singler (6252604),Kyle Singler,6252604,3000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,SG,Ian Clark (6252592),Ian Clark,6252592,3000,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SG,Andre Roberson (6252593),Andre Roberson,6252593,3000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,SF,Josh Huestis (6252605),Josh Huestis,6252605,3000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PG,Spencer Dinwiddie (6252574),Spencer Dinwiddie,6252574,3000,Det@Mil 08:30PM ET,Det,
,,,,,,,,,PF,Johnny O'Bryant (6252611),Johnny O'Bryant,6252611,3000,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,PF,James Michael McAdoo (6252615),James Michael McAdoo,6252615,3000,GS@OKC 08:30PM ET,GS,
,,,,,,,,,PF,Mitch McGary (6252616),Mitch McGary,6252616,3000,GS@OKC 08:30PM ET,OKC,
,,,,,,,,,PG,Tyler Ennis (6252576),Tyler Ennis,6252576,3000,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,SF,Damien Inglis (6252600),Damien Inglis,6252600,3000,Det@Mil 08:30PM ET,Mil,
,,,,,,,,,PF,Kevon Looney (6252617),Kevon Looney,6252617,3000,GS@OKC 08:30PM ET,GS,
,,,,,,,,,SG,Rashad Vaughn (6252588),Rashad Vaughn,6252588,3000,Det@Mil 08:30PM ET,Mil,
