PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (6176467),Russell Westbrook,6176467,11200,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,Kevin Durant (6176493),Kevin Durant,6176493,10400,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,John Wall (6176462),John Wall,6176462,10000,Was@Mil 08:00PM ET,Was,
,,,,,,,,,PF,Anthony Davis (6176507),Anthony Davis,6176507,9700,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SF,Giannis Antetokounmpo (6176487),Giannis Antetokounmpo,6176487,7100,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,C,Greg Monroe (6176512),Greg Monroe,6176512,7000,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,SG,Khris Middleton (6176475),Khris Middleton,6176475,6900,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,PG,Jrue Holiday (6176469),Jrue Holiday,6176469,6800,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SG,Tyreke Evans (6176481),Tyreke Evans,6176481,6800,NO@OKC 08:00PM ET,NO,
,,,,,,,,,C,Marcin Gortat (6176509),Marcin Gortat,6176509,6700,Was@Mil 08:00PM ET,Was,
,,,,,,,,,SG,Bradley Beal (6176477),Bradley Beal,6176477,6500,Was@Mil 08:00PM ET,Was,
,,,,,,,,,PG,Michael Carter-Williams (6176463),Michael Carter-Williams,6176463,5900,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,PF,Ryan Anderson (6176505),Ryan Anderson,6176505,5700,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SF,Otto Porter (6176486),Otto Porter,6176486,5500,Was@Mil 08:00PM ET,Was,
,,,,,,,,,PG,Norris Cole (6176468),Norris Cole,6176468,5400,NO@OKC 08:00PM ET,NO,
,,,,,,,,,PF,Serge Ibaka (6176506),Serge Ibaka,6176506,5300,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,C,Enes Kanter (6176517),Enes Kanter,6176517,5100,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,PF,Jabari Parker (6176504),Jabari Parker,6176504,5000,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,SG,Eric Gordon (6176480),Eric Gordon,6176480,4600,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SG,Dion Waiters (6176484),Dion Waiters,6176484,4600,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,Jared Dudley (6176485),Jared Dudley,6176485,4500,Was@Mil 08:00PM ET,Was,
,,,,,,,,,PG,Jerryd Bayless (6176461),Jerryd Bayless,6176461,4400,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,C,Steven Adams (6176518),Steven Adams,6176518,4300,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,SG,Garrett Temple (6176473),Garrett Temple,6176473,4200,Was@Mil 08:00PM ET,Was,
,,,,,,,,,PF,Nene Hilario (6176499),Nene Hilario,6176499,4100,Was@Mil 08:00PM ET,Was,
,,,,,,,,,SG,O.J. Mayo (6176474),O.J. Mayo,6176474,4000,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,PF,John Henson (6176502),John Henson,6176502,3900,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,PG,Ramon Sessions (6176459),Ramon Sessions,6176459,3800,Was@Mil 08:00PM ET,Was,
,,,,,,,,,SG,Bryce Dejean-Jones (6176483),Bryce Dejean-Jones,6176483,3700,NO@OKC 08:00PM ET,NO,
,,,,,,,,,PG,Cameron Payne (6176470),Cameron Payne,6176470,3500,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Greivis Vasquez (6176460),Greivis Vasquez,6176460,3400,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,C,Omer Asik (6176516),Omer Asik,6176516,3300,NO@OKC 08:00PM ET,NO,
,,,,,,,,,C,Miles Plumlee (6176511),Miles Plumlee,6176511,3300,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,SG,Gary Neal (6176472),Gary Neal,6176472,3200,Was@Mil 08:00PM ET,Was,
,,,,,,,,,SF,Alonzo Gee (6176492),Alonzo Gee,6176492,3200,NO@OKC 08:00PM ET,NO,
,,,,,,,,,PF,Kris Humphries (6176501),Kris Humphries,6176501,3100,Was@Mil 08:00PM ET,Was,
,,,,,,,,,SF,Dante Cunningham (6176491),Dante Cunningham,6176491,3100,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SF,Kyle Singler (6176495),Kyle Singler,6176495,3100,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,C,Nick Collison (6176513),Nick Collison,6176513,3000,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,SG,Alan Anderson (6176471),Alan Anderson,6176471,3000,Was@Mil 08:00PM ET,Was,
,,,,,,,,,PF,Drew Gooden (6176498),Drew Gooden,6176498,3000,Was@Mil 08:00PM ET,Was,
,,,,,,,,,SF,Steve Novak (6176490),Steve Novak,6176490,3000,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,PF,Chris Copeland (6176500),Chris Copeland,6176500,3000,Was@Mil 08:00PM ET,Mil,
,,,,,,,,,C,Kendrick Perkins (6176514),Kendrick Perkins,6176514,3000,NO@OKC 08:00PM ET,NO,
,,,,,,,,,PG,Toney Douglas (6176465),Toney Douglas,6176465,3000,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SG,Anthony Morrow (6176479),Anthony Morrow,6176479,3000,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,D.J. Augustin (6176466),D.J. Augustin,6176466,3000,NO@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,Quincy Pondexter (6176494),Quincy Pondexter,6176494,3000,NO@OKC 08:00PM ET,NO,
,,,,,,,,,C,DeJuan Blair (6176510),DeJuan Blair,6176510,3000,Was@Mil 08:00PM ET,Was,
,,,,,,,,,C,Alexis Ajinca (6176515),Alexis Ajinca,6176515,3000,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SF,Luke Babbitt (6176496),Luke Babbitt,6176496,3000,NO@OKC 08:00PM ET,NO,
,,,,,,,,,SG,Andre Roberson (6176482),Andre Roberson,6176482,3000,NO@OKC 08:00PM ET,OKC,
