PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,C,Pau Gasol (6149469),Pau Gasol,6149469,8700,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,SG,Jimmy Butler (6149417),Jimmy Butler,6149417,8600,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,SF,Kawhi Leonard (6149444),Kawhi Leonard,6149444,7800,SA@Dal 09:30PM ET,SA,
,,,,,,,,,SF,Gordon Hayward (6149439),Gordon Hayward,6149439,7400,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,LaMarcus Aldridge (6149467),LaMarcus Aldridge,6149467,7100,SA@Dal 09:30PM ET,SA,
,,,,,,,,,SF,Giannis Antetokounmpo (6149440),Giannis Antetokounmpo,6149440,7100,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,PF,Derrick Favors (6149457),Derrick Favors,6149457,7000,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Danilo Gallinari (6149435),Danilo Gallinari,6149435,6900,Chi@Den 09:00PM ET,Den,
,,,,,,,,,SG,Khris Middleton (6149422),Khris Middleton,6149422,6900,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,C,Greg Monroe (6149477),Greg Monroe,6149477,6800,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,C,Rudy Gobert (6149479),Rudy Gobert,6149479,6700,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Chandler Parsons (6149443),Chandler Parsons,6149443,6400,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,PG,Derrick Rose (6149399),Derrick Rose,6149399,6200,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,PG,Michael Carter-Williams (6149405),Michael Carter-Williams,6149405,6100,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,PF,Dirk Nowitzki (6149462),Dirk Nowitzki,6149462,5900,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,SG,Rodney Hood (6149425),Rodney Hood,6149425,5900,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Nikola Jokic (6149473),Nikola Jokic,6149473,5900,Chi@Den 09:00PM ET,Den,
,,,,,,,,,PF,Taj Gibson (6149448),Taj Gibson,6149448,5800,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,C,Zaza Pachulia (6149481),Zaza Pachulia,6149481,5700,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,SG,Will Barton (6149419),Will Barton,6149419,5700,Chi@Den 09:00PM ET,Den,
,,,,,,,,,PG,Deron Williams (6149411),Deron Williams,6149411,5600,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,PF,Kenneth Faried (6149451),Kenneth Faried,6149451,5600,Chi@Den 09:00PM ET,Den,
,,,,,,,,,SF,Wilson Chandler (6149434),Wilson Chandler,6149434,5500,Chi@Den 09:00PM ET,Den,
,,,,,,,,,C,Joakim Noah (6149470),Joakim Noah,6149470,5400,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,PF,Jabari Parker (6149460),Jabari Parker,6149460,5300,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,PG,Emmanuel Mudiay (6149400),Emmanuel Mudiay,6149400,5300,Chi@Den 09:00PM ET,Den,
,,,,,,,,,PG,J.J. Barea (6149412),J.J. Barea,6149412,5200,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,C,Tim Duncan (6149480),Tim Duncan,6149480,5000,SA@Dal 09:30PM ET,SA,
,,,,,,,,,PF,Nikola Mirotic (6149453),Nikola Mirotic,6149453,5000,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,PG,Tony Parker (6149409),Tony Parker,6149409,4900,SA@Dal 09:30PM ET,SA,
,,,,,,,,,SG,Raymond Felton (6149429),Raymond Felton,6149429,4800,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,SG,Danny Green (6149431),Danny Green,6149431,4600,SA@Dal 09:30PM ET,SA,
,,,,,,,,,SG,Wesley Matthews (6149430),Wesley Matthews,6149430,4500,SA@Dal 09:30PM ET,Dal,
,,,,,,,,,SG,Gary Harris (6149420),Gary Harris,6149420,4400,Chi@Den 09:00PM ET,Den,
,,,,,,,,,PF,David West (6149464),David West,6149464,4300,SA@Dal 09:30PM ET,SA,
,,,,,,,,,PG,Jerryd Bayless (6149402),Jerryd Bayless,6149402,4200,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,SG,E'Twaun Moore (6149416),E'Twaun Moore,6149416,4200,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,SG,Alec Burks (6149423),Alec Burks,6149423,4200,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Manu Ginobili (6149427),Manu Ginobili,6149427,4100,SA@Dal 09:30PM ET,SA,
,,,,,,,,,PG,Trey Burke (6149404),Trey Burke,6149404,4100,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Jameer Nelson (6149396),Jameer Nelson,6149396,4000,Chi@Den 09:00PM ET,Den,
,,,,,,,,,PF,Trevor Booker (6149456),Trevor Booker,6149456,4000,Mil@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,O.J. Mayo (6149421),O.J. Mayo,6149421,4000,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,PF,Bobby Portis (6149454),Bobby Portis,6149454,4000,Chi@Den 09:00PM ET,Chi,
,,,,,,,,,PF,Darrell Arthur (6149449),Darrell Arthur,6149449,3900,Chi@Den 09:00PM ET,Den,
,,,,,,,,,PF,John Henson (6149458),John Henson,6149458,3900,Mil@Uta 09:00PM ET,Mil,
,,,,,,,,,PG,Patty Mills (6149413),Patty Mills,6149413,3700,SA@Dal 09:30PM ET,SA,
,,,,,,,,,C,Boban Marjanovic (6149483),Boban Marjanovic,6149483,3700,SA@Dal 09:30PM ET,SA,
,,,,,,,,,PF,Boris Diaw (6149465),Boris Diaw,6149465,3600,SA@Dal 09:30PM ET,SA,
,,,,,,,,,PG,Kirk Hinrich (6149395),Kirk Hinrich,6149395,3500,Chi@Den 09:00PM ET,Chi,
