PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,DeMarcus Cousins (6126356),DeMarcus Cousins,6126356,11100,Mil@Sac 10:00PM ET,Sac,
,,,,,,,,,PG,Russell Westbrook (6126216),Russell Westbrook,6126216,11000,Was@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,Kevin Durant (6126328),Kevin Durant,6126328,10400,Was@OKC 08:00PM ET,OKC,
,,,,,,,,,PF,Anthony Davis (6126337),Anthony Davis,6126337,9800,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF,LeBron James (6126304),LeBron James,6126304,9700,Cle@Ind 07:00PM ET,Cle,
,,,,,,,,,PG,John Wall (6126217),John Wall,6126217,9400,Was@OKC 08:00PM ET,Was,
,,,,,,,,,C,Pau Gasol (6126410),Pau Gasol,6126410,8800,Chi@Uta 09:00PM ET,Chi,
,,,,,,,,,SG,Jimmy Butler (6126253),Jimmy Butler,6126253,8800,Chi@Uta 09:00PM ET,Chi,
,,,,,,,,,PG,Kyle Lowry (6126204),Kyle Lowry,6126204,8700,Tor@Den 09:00PM ET,Tor,
,,,,,,,,,SF,Paul George (6126307),Paul George,6126307,8700,Cle@Ind 07:00PM ET,Ind,
,,,,,,,,,C,Andre Drummond (6126398),Andre Drummond,6126398,8600,Det@Bkn 07:30PM ET,Det,
,,,,,,,,,PG,Rajon Rondo (6126184),Rajon Rondo,6126184,8400,Mil@Sac 10:00PM ET,Sac,
,,,,,,,,,SF,Kawhi Leonard (6126286),Kawhi Leonard,6126286,8300,Orl@SA 08:30PM ET,SA,
,,,,,,,,,PF,Paul Millsap (6126378),Paul Millsap,6126378,8200,Dal@Atl 08:00PM ET,Atl,
,,,,,,,,,SG,DeMar DeRozan (6126258),DeMar DeRozan,6126258,8100,Tor@Den 09:00PM ET,Tor,
,,,,,,,,,C,Marc Gasol (6126388),Marc Gasol,6126388,7700,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,C,Nikola Vucevic (6126392),Nikola Vucevic,6126392,7500,Orl@SA 08:30PM ET,Orl,
,,,,,,,,,C,Brook Lopez (6126397),Brook Lopez,6126397,7400,Det@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PG,Jrue Holiday (6126169),Jrue Holiday,6126169,7400,Mem@NO 08:00PM ET,NO,
,,,,,,,,,PF,Kevin Love (6126361),Kevin Love,6126361,7300,Cle@Ind 07:00PM ET,Cle,
,,,,,,,,,SF,Giannis Antetokounmpo (6126301),Giannis Antetokounmpo,6126301,7300,Mil@Sac 10:00PM ET,Mil,
,,,,,,,,,SG,Tyreke Evans (6126222),Tyreke Evans,6126222,7200,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF,Gordon Hayward (6126312),Gordon Hayward,6126312,7200,Chi@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Danilo Gallinari (6126318),Danilo Gallinari,6126318,7100,Tor@Den 09:00PM ET,Den,
,,,,,,,,,SG,Khris Middleton (6126242),Khris Middleton,6126242,7100,Mil@Sac 10:00PM ET,Mil,
,,,,,,,,,PF,LaMarcus Aldridge (6126344),LaMarcus Aldridge,6126344,7000,Orl@SA 08:30PM ET,SA,
,,,,,,,,,SG,Monta Ellis (6126248),Monta Ellis,6126248,7000,Cle@Ind 07:00PM ET,Ind,
,,,,,,,,,SF,Chandler Parsons (6126323),Chandler Parsons,6126323,7000,Dal@Atl 08:00PM ET,Dal,
,,,,,,,,,PG,Reggie Jackson (6126180),Reggie Jackson,6126180,7000,Det@Bkn 07:30PM ET,Det,
,,,,,,,,,C,Greg Monroe (6126401),Greg Monroe,6126401,7000,Mil@Sac 10:00PM ET,Mil,
,,,,,,,,,C,Marcin Gortat (6126430),Marcin Gortat,6126430,6900,Was@OKC 08:00PM ET,Was,
,,,,,,,,,PF,Ryan Anderson (6126335),Ryan Anderson,6126335,6900,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF,Rudy Gay (6126298),Rudy Gay,6126298,6800,Mil@Sac 10:00PM ET,Sac,
,,,,,,,,,C,Al Horford (6126423),Al Horford,6126423,6700,Dal@Atl 08:00PM ET,Atl,
,,,,,,,,,C,Rudy Gobert (6126414),Rudy Gobert,6126414,6700,Chi@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Derrick Favors (6126366),Derrick Favors,6126366,6600,Chi@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Kyrie Irving (6126194),Kyrie Irving,6126194,6600,Cle@Ind 07:00PM ET,Cle,
,,,,,,,,,SG,Victor Oladipo (6126229),Victor Oladipo,6126229,6500,Orl@SA 08:30PM ET,Orl,
,,,,,,,,,PG,Michael Carter-Williams (6126189),Michael Carter-Williams,6126189,6400,Mil@Sac 10:00PM ET,Mil,
,,,,,,,,,PF,Dirk Nowitzki (6126376),Dirk Nowitzki,6126376,6300,Dal@Atl 08:00PM ET,Dal,
