C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,LW,Zach Parise (6191446),Zach Parise,6191446,7600,Min@Van 10:00PM ET,Min,
,,,,,,,,,,G,Ryan Miller (6191937),Ryan Miller,6191937,7200,Min@Van 10:00PM ET,Van,
,,,,,,,,,,G,Devan Dubnyk (6191938),Devan Dubnyk,6191938,7200,Min@Van 10:00PM ET,Min,
,,,,,,,,,,G,Darcy Kuemper (6191941),Darcy Kuemper,6191941,7100,Min@Van 10:00PM ET,Min,
,,,,,,,,,,G,Mike Condon (6191936),Mike Condon,6191936,7100,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,G,Carey Price (6191932),Carey Price,6191932,7000,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,LW,Max Pacioretty (6191436),Max Pacioretty,6191436,7000,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,G,Ben Scrivens (6191933),Ben Scrivens,6191933,6900,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,G,Jacob Markstrom (6191942),Jacob Markstrom,6191942,6900,Min@Van 10:00PM ET,Van,
,,,,,,,,,,G,Richard Bachman (6191940),Richard Bachman,6191940,6500,Min@Van 10:00PM ET,Van,
,,,,,,,,,,G,Louis Domingue (6191935),Louis Domingue,6191935,6500,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,G,Anders Lindback (6191934),Anders Lindback,6191934,6400,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,G,Mike Smith (6191931),Mike Smith,6191931,6300,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Ryan Suter (6191826),Ryan Suter,6191826,6300,Min@Van 10:00PM ET,Min,
,,,,,,,,,,D,P.K. Subban (6191813),P.K. Subban,6191813,6300,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,LW,Daniel Sedin (6191444),Daniel Sedin,6191444,6200,Min@Van 10:00PM ET,Van,
,,,,,,,,,,G,Niklas Backstrom (6191939),Niklas Backstrom,6191939,6200,Min@Van 10:00PM ET,Min,
,,,,,,,,,,G,Joe Cannata (6191943),Joe Cannata,6191943,6000,Min@Van 10:00PM ET,Van,
,,,,,,,,,,D,Oliver Ekman-Larsson (6191815),Oliver Ekman-Larsson,6191815,5900,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Brendan Gallagher (6191565),Brendan Gallagher,6191565,5900,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,C,Tomas Plekanec (6191279),Tomas Plekanec,6191279,5000,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,D,Alexander Edler (6191827),Alexander Edler,6191827,5000,Min@Van 10:00PM ET,Van,
,,,,,,,,,,C,Henrik Sedin (6191290),Henrik Sedin,6191290,4800,Min@Van 10:00PM ET,Van,
,,,,,,,,,,RW,Radim Vrbata (6191568),Radim Vrbata,6191568,4700,Min@Van 10:00PM ET,Van,
,,,,,,,,,,LW,Thomas Vanek (6191445),Thomas Vanek,6191445,4600,Min@Van 10:00PM ET,Min,
,,,,,,,,,,LW,Max Domi (6191440),Max Domi,6191440,4600,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Shane Doan (6191560),Shane Doan,6191560,4500,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,C,Mikko Koivu (6191292),Mikko Koivu,6191292,4500,Min@Van 10:00PM ET,Min,
,,,,,,,,,,LW,Mikkel Boedker (6191437),Mikkel Boedker,6191437,4500,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,LW,Jason Zucker (6191448),Jason Zucker,6191448,4500,Min@Van 10:00PM ET,Min,
,,,,,,,,,,D,Jared Spurgeon (6191835),Jared Spurgeon,6191835,4500,Min@Van 10:00PM ET,Min,
,,,,,,,,,,C,Alex Galchenyuk (6191288),Alex Galchenyuk,6191288,4500,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,RW,Tobias Rieder (6191566),Tobias Rieder,6191566,4400,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Jason Pominville (6191569),Jason Pominville,6191569,4300,Min@Van 10:00PM ET,Min,
,,,,,,,,,,C,Brandon Sutter (6191294),Brandon Sutter,6191294,4200,Min@Van 10:00PM ET,Van,
,,,,,,,,,,D,Michael Stone (6191814),Michael Stone,6191814,4200,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Andrei Markov (6191808),Andrei Markov,6191808,4100,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,C,Martin Hanzal (6191282),Martin Hanzal,6191282,4000,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Jannik Hansen (6191572),Jannik Hansen,6191572,4000,Min@Van 10:00PM ET,Van,
,,,,,,,,,,D,Marco Scandella (6191830),Marco Scandella,6191830,4000,Min@Van 10:00PM ET,Min,
,,,,,,,,,,D,Jeff Petry (6191816),Jeff Petry,6191816,4000,Mon@Ari 09:00PM ET,Mon,
,,,,,,,,,,C,Mikael Granlund (6191295),Mikael Granlund,6191295,4000,Min@Van 10:00PM ET,Min,
,,,,,,,,,,C,Charlie Coyle (6191296),Charlie Coyle,6191296,4000,Min@Van 10:00PM ET,Min,
,,,,,,,,,,D,Matt Dumba (6191838),Matt Dumba,6191838,4000,Min@Van 10:00PM ET,Min,
,,,,,,,,,,C,Bo Horvat (6191299),Bo Horvat,6191299,4000,Min@Van 10:00PM ET,Van,
,,,,,,,,,,RW,Nino Niederreiter (6191574),Nino Niederreiter,6191574,3800,Min@Van 10:00PM ET,Min,
,,,,,,,,,,LW,Anthony Duclair (6191442),Anthony Duclair,6191442,3800,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,C,Antoine Vermette (6191278),Antoine Vermette,6191278,3700,Mon@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Dale Weise (6191563),Dale Weise,6191563,3700,Mon@Ari 09:00PM ET,Mon,
